cm-1,A
4000.0,0.0085
3999.0,0.0086
3998.0,0.0087
3997.0,0.0087
3996.0,0.0088
3995.0,0.0088
3994.0,0.0089
3993.0,0.0089
3992.0,0.0089
3991.0,0.0089
3990.0,0.0088
3989.0,0.0088
3988.0,0.0088
3987.0,0.0088
3986.0,0.0088
3985.0,0.0088
3984.0,0.0088
3983.0,0.0088
3982.0,0.0087
3981.0,0.0086
3980.0,0.0086
3979.0,0.0085
3978.0,0.0086
3977.0,0.0086
3976.0,0.0087
3975.0,0.0088
3974.0,0.0088
3973.0,0.0088
3972.0,0.0088
3971.0,0.0087
3970.0,0.0087
3969.0,0.0087
3968.0,0.0088
3967.0,0.0088
3966.0,0.0089
3965.0,0.0089
3964.0,0.0089
3963.0,0.0089
3962.0,0.0089
3961.0,0.0087
3960.0,0.0087
3959.0,0.0086
3958.0,0.0086
3957.0,0.0087
3956.0,0.0088
3955.0,0.0088
3954.0,0.0088
3953.0,0.0088
3952.0,0.0087
3951.0,0.0086
3950.0,0.0086
3949.0,0.0086
3948.0,0.0086
3947.0,0.0086
3946.0,0.0086
3945.0,0.0086
3944.0,0.0086
3943.0,0.0087
3942.0,0.0087
3941.0,0.0087
3940.0,0.0088
3939.0,0.0089
3938.0,0.009
3937.0,0.0089
3936.0,0.0089
3935.0,0.0088
3934.0,0.0088
3933.0,0.0088
3932.0,0.0088
3931.0,0.0088
3930.0,0.0088
3929.0,0.0087
3928.0,0.0087
3927.0,0.0088
3926.0,0.0089
3925.0,0.0089
3924.0,0.0088
3923.0,0.0086
3922.0,0.0085
3921.0,0.0085
3920.0,0.0086
3919.0,0.0088
3918.0,0.009
3917.0,0.0091
3916.0,0.0092
3915.0,0.0092
3914.0,0.0092
3913.0,0.0093
3912.0,0.0093
3911.0,0.0093
3910.0,0.0092
3909.0,0.009
3908.0,0.0088
3907.0,0.0087
3906.0,0.0086
3905.0,0.0086
3904.0,0.0086
3903.0,0.0085
3902.0,0.0084
3901.0,0.0086
3900.0,0.0088
3899.0,0.0089
3898.0,0.0089
3897.0,0.0089
3896.0,0.0088
3895.0,0.0087
3894.0,0.0086
3893.0,0.0085
3892.0,0.0086
3891.0,0.0086
3890.0,0.0086
3889.0,0.0086
3888.0,0.0087
3887.0,0.009
3886.0,0.0091
3885.0,0.0089
3884.0,0.0086
3883.0,0.0084
3882.0,0.0085
3881.0,0.0088
3880.0,0.0088
3879.0,0.0086
3878.0,0.0085
3877.0,0.0086
3876.0,0.0087
3875.0,0.0088
3874.0,0.0086
3873.0,0.0084
3872.0,0.0084
3871.0,0.0086
3870.0,0.0088
3869.0,0.0087
3868.0,0.0086
3867.0,0.0086
3866.0,0.0089
3865.0,0.0092
3864.0,0.0092
3863.0,0.009
3862.0,0.0089
3861.0,0.0088
3860.0,0.0088
3859.0,0.0088
3858.0,0.0086
3857.0,0.0083
3856.0,0.008
3855.0,0.008
3854.0,0.0084
3853.0,0.0086
3852.0,0.0085
3851.0,0.0087
3850.0,0.0092
3849.0,0.0095
3848.0,0.0095
3847.0,0.0094
3846.0,0.0092
3845.0,0.0091
3844.0,0.009
3843.0,0.0087
3842.0,0.0085
3841.0,0.0083
3840.0,0.0083
3839.0,0.0085
3838.0,0.0085
3837.0,0.0085
3836.0,0.0086
3835.0,0.0087
3834.0,0.0089
3833.0,0.0091
3832.0,0.0092
3831.0,0.0092
3830.0,0.0092
3829.0,0.0092
3828.0,0.0092
3827.0,0.0092
3826.0,0.009
3825.0,0.0087
3824.0,0.0084
3823.0,0.0085
3822.0,0.0088
3821.0,0.0089
3820.0,0.0086
3819.0,0.0083
3818.0,0.0085
3817.0,0.009
3816.0,0.0095
3815.0,0.0097
3814.0,0.0096
3813.0,0.0097
3812.0,0.0098
3811.0,0.0097
3810.0,0.0095
3809.0,0.0094
3808.0,0.0094
3807.0,0.0095
3806.0,0.0093
3805.0,0.009
3804.0,0.0088
3803.0,0.009
3802.0,0.0093
3801.0,0.0094
3800.0,0.0092
3799.0,0.0092
3798.0,0.0096
3797.0,0.0098
3796.0,0.0099
3795.0,0.0097
3794.0,0.0097
3793.0,0.0099
3792.0,0.01
3791.0,0.0101
3790.0,0.01
3789.0,0.0099
3788.0,0.0097
3787.0,0.0097
3786.0,0.0097
3785.0,0.0097
3784.0,0.0096
3783.0,0.0094
3782.0,0.0093
3781.0,0.0094
3780.0,0.0095
3779.0,0.0096
3778.0,0.0096
3777.0,0.0096
3776.0,0.0097
3775.0,0.0098
3774.0,0.0097
3773.0,0.0096
3772.0,0.0096
3771.0,0.0097
3770.0,0.0097
3769.0,0.0096
3768.0,0.0095
3767.0,0.0096
3766.0,0.0098
3765.0,0.0099
3764.0,0.0099
3763.0,0.0098
3762.0,0.0098
3761.0,0.0099
3760.0,0.0099
3759.0,0.0098
3758.0,0.0095
3757.0,0.0093
3756.0,0.0091
3755.0,0.0091
3754.0,0.009
3753.0,0.0091
3752.0,0.0093
3751.0,0.0095
3750.0,0.0095
3749.0,0.0094
3748.0,0.0094
3747.0,0.0096
3746.0,0.01
3745.0,0.0104
3744.0,0.0104
3743.0,0.0101
3742.0,0.01
3741.0,0.0103
3740.0,0.0104
3739.0,0.0102
3738.0,0.0099
3737.0,0.0099
3736.0,0.01
3735.0,0.0101
3734.0,0.0101
3733.0,0.0102
3732.0,0.0104
3731.0,0.0105
3730.0,0.0106
3729.0,0.0107
3728.0,0.0109
3727.0,0.0109
3726.0,0.0109
3725.0,0.0108
3724.0,0.0108
3723.0,0.0109
3722.0,0.0109
3721.0,0.0108
3720.0,0.0107
3719.0,0.0106
3718.0,0.0105
3717.0,0.0105
3716.0,0.0105
3715.0,0.0104
3714.0,0.0102
3713.0,0.0101
3712.0,0.0102
3711.0,0.0104
3710.0,0.0104
3709.0,0.0105
3708.0,0.0106
3707.0,0.0108
3706.0,0.0109
3705.0,0.011
3704.0,0.0111
3703.0,0.0111
3702.0,0.0112
3701.0,0.0112
3700.0,0.0111
3699.0,0.0112
3698.0,0.0113
3697.0,0.0113
3696.0,0.0113
3695.0,0.0111
3694.0,0.011
3693.0,0.0108
3692.0,0.0109
3691.0,0.0111
3690.0,0.0113
3689.0,0.0114
3688.0,0.0113
3687.0,0.0113
3686.0,0.0115
3685.0,0.0118
3684.0,0.0119
3683.0,0.0119
3682.0,0.0118
3681.0,0.0116
3680.0,0.0113
3679.0,0.0109
3678.0,0.0107
3677.0,0.0109
3676.0,0.0115
3675.0,0.0117
3674.0,0.0114
3673.0,0.0113
3672.0,0.0116
3671.0,0.0122
3670.0,0.0125
3669.0,0.0126
3668.0,0.0125
3667.0,0.0126
3666.0,0.0129
3665.0,0.0131
