cm-1,A
4000.0,0.002
3999.0,0.002
3998.0,0.0021
3997.0,0.0021
3996.0,0.0021
3995.0,0.0021
3994.0,0.002
3993.0,0.002
3992.0,0.002
3991.0,0.002
3990.0,0.002
3989.0,0.0021
3988.0,0.0021
3987.0,0.0021
3986.0,0.0021
3985.0,0.002
3984.0,0.002
3983.0,0.002
3982.0,0.0019
3981.0,0.0019
3980.0,0.0019
3979.0,0.0019
3978.0,0.002
3977.0,0.002
3976.0,0.002
3975.0,0.002
3974.0,0.0019
3973.0,0.0019
3972.0,0.0019
3971.0,0.002
3970.0,0.002
3969.0,0.002
3968.0,0.002
3967.0,0.002
3966.0,0.002
3965.0,0.0021
3964.0,0.0021
3963.0,0.0021
3962.0,0.0021
3961.0,0.0021
3960.0,0.0021
3959.0,0.0021
3958.0,0.002
3957.0,0.0019
3956.0,0.0018
3955.0,0.0018
3954.0,0.0019
3953.0,0.0019
3952.0,0.002
3951.0,0.0021
3950.0,0.0022
3949.0,0.0022
3948.0,0.0023
3947.0,0.0022
3946.0,0.0022
3945.0,0.002
3944.0,0.0019
3943.0,0.0019
3942.0,0.002
3941.0,0.0021
3940.0,0.0022
3939.0,0.0022
3938.0,0.0022
3937.0,0.0021
3936.0,0.002
3935.0,0.002
3934.0,0.0019
3933.0,0.002
3932.0,0.002
3931.0,0.0021
3930.0,0.0022
3929.0,0.0022
3928.0,0.0022
3927.0,0.0023
3926.0,0.0023
3925.0,0.0023
3924.0,0.0022
3923.0,0.0021
3922.0,0.0021
3921.0,0.0022
3920.0,0.0022
3919.0,0.0022
3918.0,0.0022
3917.0,0.0022
3916.0,0.0021
3915.0,0.002
3914.0,0.0019
3913.0,0.0019
3912.0,0.0018
3911.0,0.0018
3910.0,0.0018
3909.0,0.0019
3908.0,0.0019
3907.0,0.0019
3906.0,0.002
3905.0,0.0021
3904.0,0.0023
3903.0,0.0023
3902.0,0.0023
3901.0,0.0022
3900.0,0.0021
3899.0,0.0021
3898.0,0.0021
3897.0,0.002
3896.0,0.002
3895.0,0.002
3894.0,0.002
3893.0,0.0021
3892.0,0.0021
3891.0,0.0021
3890.0,0.0021
3889.0,0.0021
3888.0,0.0021
3887.0,0.0021
3886.0,0.0022
3885.0,0.0023
3884.0,0.0024
3883.0,0.0024
3882.0,0.0024
3881.0,0.0024
3880.0,0.0023
3879.0,0.0023
3878.0,0.0024
3877.0,0.0024
3876.0,0.0023
3875.0,0.0023
3874.0,0.0022
3873.0,0.0022
3872.0,0.0022
3871.0,0.0023
3870.0,0.0024
3869.0,0.0024
3868.0,0.0024
3867.0,0.0024
3866.0,0.0024
3865.0,0.0025
3864.0,0.0026
3863.0,0.0026
3862.0,0.0026
3861.0,0.0024
3860.0,0.0023
3859.0,0.0022
3858.0,0.0021
3857.0,0.002
3856.0,0.002
3855.0,0.0021
3854.0,0.0021
3853.0,0.002
3852.0,0.002
3851.0,0.0021
3850.0,0.0022
3849.0,0.0022
3848.0,0.0022
3847.0,0.0022
3846.0,0.0023
3845.0,0.0023
3844.0,0.0023
3843.0,0.0023
3842.0,0.0022
3841.0,0.0021
3840.0,0.002
3839.0,0.0019
3838.0,0.002
3837.0,0.0021
3836.0,0.0022
3835.0,0.0023
3834.0,0.0023
3833.0,0.0023
3832.0,0.0022
3831.0,0.0023
3830.0,0.0024
3829.0,0.0025
3828.0,0.0026
3827.0,0.0026
3826.0,0.0026
3825.0,0.0026
3824.0,0.0026
3823.0,0.0027
3822.0,0.0028
3821.0,0.0028
3820.0,0.0027
3819.0,0.0025
3818.0,0.0023
3817.0,0.0021
3816.0,0.002
3815.0,0.002
3814.0,0.0021
3813.0,0.0022
3812.0,0.0023
3811.0,0.0024
3810.0,0.0024
3809.0,0.0024
3808.0,0.0024
3807.0,0.0024
3806.0,0.0023
3805.0,0.0023
3804.0,0.0023
3803.0,0.0023
3802.0,0.0024
3801.0,0.0025
3800.0,0.0025
3799.0,0.0026
3798.0,0.0026
3797.0,0.0026
3796.0,0.0025
3795.0,0.0025
3794.0,0.0024
3793.0,0.0024
3792.0,0.0024
3791.0,0.0024
3790.0,0.0024
3789.0,0.0024
3788.0,0.0025
3787.0,0.0025
3786.0,0.0025
3785.0,0.0026
3784.0,0.0026
3783.0,0.0026
3782.0,0.0026
3781.0,0.0026
3780.0,0.0026
3779.0,0.0025
3778.0,0.0025
3777.0,0.0024
3776.0,0.0024
3775.0,0.0024
3774.0,0.0024
3773.0,0.0024
3772.0,0.0024
3771.0,0.0024
3770.0,0.0024
3769.0,0.0024
3768.0,0.0024
3767.0,0.0024
3766.0,0.0024
3765.0,0.0024
3764.0,0.0025
3763.0,0.0025
3762.0,0.0025
3761.0,0.0026
3760.0,0.0026
3759.0,0.0026
3758.0,0.0025
3757.0,0.0025
3756.0,0.0024
3755.0,0.0023
3754.0,0.0023
3753.0,0.0022
3752.0,0.0021
3751.0,0.002
3750.0,0.002
3749.0,0.002
3748.0,0.0021
3747.0,0.0021
3746.0,0.0021
3745.0,0.0021
3744.0,0.002
3743.0,0.0021
3742.0,0.0022
3741.0,0.0023
3740.0,0.0023
3739.0,0.0024
3738.0,0.0024
3737.0,0.0024
3736.0,0.0024
3735.0,0.0023
3734.0,0.0022
3733.0,0.002
3732.0,0.0019
3731.0,0.0019
3730.0,0.0019
3729.0,0.0019
3728.0,0.0019
3727.0,0.0019
3726.0,0.0019
3725.0,0.002
3724.0,0.0021
3723.0,0.002
3722.0,0.002
3721.0,0.002
3720.0,0.002
3719.0,0.0021
3718.0,0.0022
3717.0,0.0023
3716.0,0.0022
3715.0,0.0022
3714.0,0.0021
3713.0,0.0021
3712.0,0.0021
3711.0,0.0022
3710.0,0.0022
3709.0,0.0021
3708.0,0.0021
3707.0,0.002
3706.0,0.002
3705.0,0.002
3704.0,0.002
3703.0,0.002
3702.0,0.002
3701.0,0.0019
3700.0,0.0019
3699.0,0.0018
3698.0,0.0018
3697.0,0.0018
3696.0,0.0017
3695.0,0.0016
3694.0,0.0015
3693.0,0.0015
3692.0,0.0016
3691.0,0.0017
3690.0,0.0018
3689.0,0.0018
3688.0,0.0018
3687.0,0.0018
3686.0,0.0018
3685.0,0.0018
3684.0,0.0017
3683.0,0.0017
3682.0,0.0017
3681.0,0.0017
3680.0,0.0017
3679.0,0.0016
3678.0,0.0016
3677.0,0.0017
3676.0,0.0018
3675.0,0.0019
3674.0,0.0019
3673.0,0.0018
3672.0,0.0017
3671.0,0.0016
3670.0,0.0015
3669.0,0.0015
3668.0,0.0014
3667.0,0.0014
3666.0,0.0013
3665.0,0.0012
3664.0,0.0011
3663.0,0.001
3662.0,0.0009
3661.0,0.0008
3660.0,0.0007
3659.0,0.0005
3658.0,0.0005
3657.0,0.0004
3656.0,0.0004
3655.0,0.0004
3654.0,0.0004
3653.0,0.0003
3652.0,0.0003
3651.0,0.0003
3650.0,0.0003
3649.0,0.0003
3648.0,0.0001
3647.0,-0.0
3646.0,-0.0002
3645.0,-0.0003
3644.0,-0.0004
3643.0,-0.0006
3642.0,-0.0009
3641.0,-0.001
3640.0,-0.0012
3639.0,-0.0013
3638.0,-0.0014
3637.0,-0.0016
3636.0,-0.0017
3635.0,-0.0019
3634.0,-0.0021
3633.0,-0.0023
3632.0,-0.0025
3631.0,-0.0028
3630.0,-0.003
3629.0,-0.0031
3628.0,-0.0031
3627.0,-0.0032
3626.0,-0.0032
3625.0,-0.0033
3624.0,-0.0034
3623.0,-0.0034
3622.0,-0.0034
3621.0,-0.0034
3620.0,-0.0034
3619.0,-0.0035
3618.0,-0.0035
3617.0,-0.0035
3616.0,-0.0036
3615.0,-0.0037
3614.0,-0.0039
3613.0,-0.0043
3612.0,-0.0047
3611.0,-0.0051
3610.0,-0.0053
3609.0,-0.0055
3608.0,-0.0055
3607.0,-0.0055
3606.0,-0.0056
3605.0,-0.0057
3604.0,-0.0058
3603.0,-0.006
3602.0,-0.0062
3601.0,-0.0064
3600.0,-0.0066
3599.0,-0.0069
3598.0,-0.007
3597.0,-0.0071
3596.0,-0.0072
3595.0,-0.0073
3594.0,-0.0074
3593.0,-0.0076
3592.0,-0.0079
3591.0,-0.0081
3590.0,-0.0083
3589.0,-0.0084
3588.0,-0.0085
3587.0,-0.0086
3586.0,-0.0087
3585.0,-0.0088
3584.0,-0.0089
3583.0,-0.0089
3582.0,-0.009
3581.0,-0.0092
3580.0,-0.0094
3579.0,-0.0096
3578.0,-0.0098
3577.0,-0.01
3576.0,-0.01
3575.0,-0.0101
3574.0,-0.0101
3573.0,-0.0102
3572.0,-0.0104
3571.0,-0.0106
3570.0,-0.0109
3569.0,-0.0111
3568.0,-0.0112
3567.0,-0.0113
3566.0,-0.0114
3565.0,-0.0115
3564.0,-0.0117
3563.0,-0.012
3562.0,-0.0122
3561.0,-0.0124
3560.0,-0.0126
3559.0,-0.0127
3558.0,-0.0128
3557.0,-0.0128
3556.0,-0.0128
3555.0,-0.0129
3554.0,-0.0129
3553.0,-0.013
3552.0,-0.0132
3551.0,-0.0134
3550.0,-0.0136
