cm-1,A
4000.0,-0.0015
3999.0,-0.0015
3998.0,-0.0015
3997.0,-0.0015
3996.0,-0.0015
3995.0,-0.0014
3994.0,-0.0014
3993.0,-0.0014
3992.0,-0.0014
3991.0,-0.0014
3990.0,-0.0015
3989.0,-0.0015
3988.0,-0.0015
3987.0,-0.0014
3986.0,-0.0013
3985.0,-0.0013
3984.0,-0.0013
3983.0,-0.0014
3982.0,-0.0014
3981.0,-0.0014
3980.0,-0.0013
3979.0,-0.0012
3978.0,-0.0012
3977.0,-0.0012
3976.0,-0.0012
3975.0,-0.0013
3974.0,-0.0013
3973.0,-0.0014
3972.0,-0.0014
3971.0,-0.0014
3970.0,-0.0014
3969.0,-0.0014
3968.0,-0.0014
3967.0,-0.0014
3966.0,-0.0014
3965.0,-0.0013
3964.0,-0.0013
3963.0,-0.0013
3962.0,-0.0012
3961.0,-0.0012
3960.0,-0.0012
3959.0,-0.0012
3958.0,-0.0012
3957.0,-0.0012
3956.0,-0.0012
3955.0,-0.0012
3954.0,-0.0012
3953.0,-0.0013
3952.0,-0.0013
3951.0,-0.0013
3950.0,-0.0012
3949.0,-0.0012
3948.0,-0.0011
3947.0,-0.0012
3946.0,-0.0013
3945.0,-0.0013
3944.0,-0.0013
3943.0,-0.0013
3942.0,-0.0012
3941.0,-0.0012
3940.0,-0.0012
3939.0,-0.0012
3938.0,-0.0013
3937.0,-0.0013
3936.0,-0.0014
3935.0,-0.0014
3934.0,-0.0014
3933.0,-0.0014
3932.0,-0.0013
3931.0,-0.0012
3930.0,-0.0012
3929.0,-0.0012
3928.0,-0.0012
3927.0,-0.0012
3926.0,-0.0011
3925.0,-0.001
3924.0,-0.001
3923.0,-0.0011
3922.0,-0.0011
3921.0,-0.0012
3920.0,-0.0012
3919.0,-0.0012
3918.0,-0.0012
3917.0,-0.0013
3916.0,-0.0013
3915.0,-0.0014
3914.0,-0.0013
3913.0,-0.0012
3912.0,-0.0011
3911.0,-0.0011
3910.0,-0.0011
3909.0,-0.0012
3908.0,-0.0013
3907.0,-0.0013
3906.0,-0.0013
3905.0,-0.0013
3904.0,-0.0012
3903.0,-0.0012
3902.0,-0.0012
3901.0,-0.0012
3900.0,-0.0011
3899.0,-0.001
3898.0,-0.0011
3897.0,-0.0011
3896.0,-0.0012
3895.0,-0.0012
3894.0,-0.0013
3893.0,-0.0012
3892.0,-0.0012
3891.0,-0.0013
3890.0,-0.0013
3889.0,-0.0013
3888.0,-0.0013
3887.0,-0.0012
3886.0,-0.0011
3885.0,-0.001
3884.0,-0.001
3883.0,-0.001
3882.0,-0.001
3881.0,-0.0009
3880.0,-0.0009
3879.0,-0.001
3878.0,-0.0011
3877.0,-0.0011
3876.0,-0.0012
3875.0,-0.0012
3874.0,-0.0012
3873.0,-0.0012
3872.0,-0.0013
3871.0,-0.0012
3870.0,-0.0012
3869.0,-0.0012
3868.0,-0.0012
3867.0,-0.0013
3866.0,-0.0013
3865.0,-0.0013
3864.0,-0.0013
3863.0,-0.0013
3862.0,-0.0013
3861.0,-0.0013
3860.0,-0.0012
3859.0,-0.0012
3858.0,-0.0012
3857.0,-0.0012
3856.0,-0.0011
3855.0,-0.0011
3854.0,-0.001
3853.0,-0.0011
3852.0,-0.0011
3851.0,-0.0012
3850.0,-0.0012
3849.0,-0.0012
3848.0,-0.0012
3847.0,-0.0012
3846.0,-0.0012
3845.0,-0.0012
3844.0,-0.0012
3843.0,-0.0011
3842.0,-0.001
3841.0,-0.001
3840.0,-0.001
3839.0,-0.0011
3838.0,-0.0012
3837.0,-0.0012
3836.0,-0.0012
3835.0,-0.0012
3834.0,-0.0013
3833.0,-0.0013
3832.0,-0.0014
3831.0,-0.0014
3830.0,-0.0014
3829.0,-0.0014
3828.0,-0.0013
3827.0,-0.0012
3826.0,-0.0011
3825.0,-0.001
3824.0,-0.001
3823.0,-0.001
3822.0,-0.0011
3821.0,-0.0013
3820.0,-0.0014
3819.0,-0.0014
3818.0,-0.0014
3817.0,-0.0013
3816.0,-0.0012
3815.0,-0.0012
3814.0,-0.0012
3813.0,-0.0012
3812.0,-0.0012
3811.0,-0.0012
3810.0,-0.0011
3809.0,-0.0011
3808.0,-0.001
3807.0,-0.001
3806.0,-0.0011
3805.0,-0.0011
3804.0,-0.0012
3803.0,-0.0012
3802.0,-0.0013
3801.0,-0.0013
3800.0,-0.0014
3799.0,-0.0014
3798.0,-0.0014
3797.0,-0.0013
3796.0,-0.0012
3795.0,-0.0011
3794.0,-0.001
3793.0,-0.001
3792.0,-0.001
3791.0,-0.0011
3790.0,-0.0011
3789.0,-0.0012
3788.0,-0.0012
3787.0,-0.0012
3786.0,-0.0012
3785.0,-0.0011
3784.0,-0.001
3783.0,-0.0009
3782.0,-0.0009
3781.0,-0.0009
3780.0,-0.001
3779.0,-0.001
3778.0,-0.001
3777.0,-0.001
3776.0,-0.001
3775.0,-0.001
3774.0,-0.0011
3773.0,-0.0011
3772.0,-0.0011
3771.0,-0.001
3770.0,-0.0009
3769.0,-0.0009
3768.0,-0.0009
3767.0,-0.001
3766.0,-0.001
3765.0,-0.0011
3764.0,-0.001
3763.0,-0.0011
3762.0,-0.0011
3761.0,-0.0011
3760.0,-0.0011
3759.0,-0.0011
3758.0,-0.001
3757.0,-0.001
3756.0,-0.001
3755.0,-0.001
3754.0,-0.0011
3753.0,-0.0012
3752.0,-0.0013
3751.0,-0.0014
3750.0,-0.0014
3749.0,-0.0012
3748.0,-0.0011
3747.0,-0.0009
3746.0,-0.0009
3745.0,-0.0009
3744.0,-0.0009
3743.0,-0.0008
3742.0,-0.0007
3741.0,-0.0005
3740.0,-0.0005
3739.0,-0.0004
3738.0,-0.0004
3737.0,-0.0004
3736.0,-0.0004
3735.0,-0.0004
3734.0,-0.0004
3733.0,-0.0004
3732.0,-0.0005
3731.0,-0.0005
3730.0,-0.0004
3729.0,-0.0004
3728.0,-0.0003
3727.0,-0.0003
3726.0,-0.0003
3725.0,-0.0003
3724.0,-0.0004
3723.0,-0.0005
3722.0,-0.0006
3721.0,-0.0007
3720.0,-0.0007
3719.0,-0.0007
3718.0,-0.0008
3717.0,-0.0009
3716.0,-0.001
3715.0,-0.001
3714.0,-0.0009
3713.0,-0.0006
3712.0,-0.0004
3711.0,-0.0004
3710.0,-0.0004
3709.0,-0.0005
3708.0,-0.0005
3707.0,-0.0005
3706.0,-0.0005
3705.0,-0.0005
3704.0,-0.0005
3703.0,-0.0005
3702.0,-0.0005
3701.0,-0.0005
3700.0,-0.0005
3699.0,-0.0005
3698.0,-0.0005
3697.0,-0.0005
3696.0,-0.0006
3695.0,-0.0007
3694.0,-0.0008
3693.0,-0.0007
3692.0,-0.0007
3691.0,-0.0006
3690.0,-0.0007
3689.0,-0.0009
3688.0,-0.001
3687.0,-0.0009
3686.0,-0.0008
3685.0,-0.0007
3684.0,-0.0007
3683.0,-0.0007
3682.0,-0.0007
3681.0,-0.0007
3680.0,-0.0007
