cm-1,A
4000.0,-0.027104865879351348
3999.0,-0.027104865879351348
3998.0,-0.027064062151045398
3997.0,-0.027023254588703693
3996.0,-0.027064062151045398
3995.0,-0.027186461836735898
3994.0,-0.027349607774756368
3993.0,-0.027431157766903524
3992.0,-0.027471927021277764
3991.0,-0.027390384684969238
3990.0,-0.027349607774756368
3989.0,-0.027268042466618514
3988.0,-0.027268042466618514
3987.0,-0.027268042466618514
3986.0,-0.027227254067255124
3985.0,-0.027186461836735898
3984.0,-0.027104865879351348
3983.0,-0.027064062151045398
3982.0,-0.027064062151045398
3981.0,-0.027104865879351348
3980.0,-0.02714566577434141
3979.0,-0.027186461836735898
3978.0,-0.027227254067255124
3977.0,-0.027268042466618514
3976.0,-0.027227254067255124
3975.0,-0.02714566577434141
3974.0,-0.027104865879351348
3973.0,-0.027104865879351348
3972.0,-0.02714566577434141
3971.0,-0.02714566577434141
3970.0,-0.02714566577434141
3969.0,-0.02714566577434141
3968.0,-0.027227254067255124
3967.0,-0.027308827035545935
3966.0,-0.027431157766903524
3965.0,-0.027431157766903524
3964.0,-0.027390384684969238
3963.0,-0.027308827035545935
3962.0,-0.027227254067255124
3961.0,-0.027186461836735898
3960.0,-0.02714566577434141
3959.0,-0.027104865879351348
3958.0,-0.027104865879351348
3957.0,-0.027064062151045398
3956.0,-0.027023254588703693
3955.0,-0.026982443191605032
3954.0,-0.026982443191605032
3953.0,-0.027064062151045398
3952.0,-0.02714566577434141
3951.0,-0.027186461836735898
3950.0,-0.027227254067255124
3949.0,-0.027186461836735898
3948.0,-0.027186461836735898
3947.0,-0.027227254067255124
3946.0,-0.027268042466618514
3945.0,-0.027308827035545935
3944.0,-0.027268042466618514
3943.0,-0.027186461836735898
3942.0,-0.027104865879351348
3941.0,-0.027064062151045398
3940.0,-0.027064062151045398
3939.0,-0.027104865879351348
3938.0,-0.027186461836735898
3937.0,-0.027308827035545935
3936.0,-0.027431157766903524
3935.0,-0.027471927021277764
3934.0,-0.027390384684969238
3933.0,-0.027227254067255124
3932.0,-0.027064062151045398
3931.0,-0.027023254588703693
3930.0,-0.02714566577434141
3929.0,-0.027268042466618514
3928.0,-0.027308827035545935
3927.0,-0.027268042466618514
3926.0,-0.027104865879351348
3925.0,-0.026982443191605032
3924.0,-0.026982443191605032
3923.0,-0.027104865879351348
3922.0,-0.027268042466618514
3921.0,-0.027431157766903524
3920.0,-0.027471927021277764
3919.0,-0.027471927021277764
3918.0,-0.027471927021277764
3917.0,-0.027471927021277764
3916.0,-0.027471927021277764
3915.0,-0.027431157766903524
3914.0,-0.027349607774756368
3913.0,-0.027227254067255124
3912.0,-0.027186461836735898
3911.0,-0.027186461836735898
3910.0,-0.027308827035545935
3909.0,-0.027471927021277764
3908.0,-0.02767571590489304
3907.0,-0.027879409207207217
3906.0,-0.028001579346857763
3905.0,-0.028042295090749736
3904.0,-0.028001579346857763
3903.0,-0.027920136405802598
3902.0,-0.02779794335029928
3901.0,-0.02771646220899049
3900.0,-0.027634965777544096
3899.0,-0.02759421182622601
3898.0,-0.027553454050220694
3897.0,-0.027431157766903524
3896.0,-0.027349607774756368
3895.0,-0.027308827035545935
3894.0,-0.027349607774756368
3893.0,-0.027431157766903524
3892.0,-0.027512692448810938
3891.0,-0.02759421182622601
3890.0,-0.02767571590489304
3889.0,-0.02767571590489304
3888.0,-0.02759421182622601
3887.0,-0.027431157766903524
3886.0,-0.027308827035545935
3885.0,-0.027268042466618514
3884.0,-0.027349607774756368
3883.0,-0.027471927021277764
3882.0,-0.027512692448810938
3881.0,-0.027512692448810938
3880.0,-0.02759421182622601
3879.0,-0.02767571590489304
3878.0,-0.02767571590489304
3877.0,-0.02759421182622601
3876.0,-0.027431157766903524
3875.0,-0.027308827035545935
3874.0,-0.027268042466618514
3873.0,-0.027349607774756368
3872.0,-0.027471927021277764
3871.0,-0.027553454050220694
3870.0,-0.02767571590489304
3869.0,-0.027879409207207217
3868.0,-0.028042295090749736
3867.0,-0.028042295090749736
3866.0,-0.027838678188945032
3865.0,-0.02759421182622601
3864.0,-0.027390384684969238
3863.0,-0.027390384684969238
3862.0,-0.027471927021277764
3861.0,-0.027553454050220694
3860.0,-0.02767571590489304
3859.0,-0.027838678188945032
3858.0,-0.028123715128840043
3857.0,-0.02853058651132878
3856.0,-0.028855809390444076
3855.0,-0.028855809390444076
3854.0,-0.028489916521889924
3853.0,-0.02828650942627764
3852.0,-0.028367883697061558
3851.0,-0.028245816572473714
3850.0,-0.02779794335029928
3849.0,-0.027431157766903524
3848.0,-0.027308827035545935
3847.0,-0.027308827035545935
3846.0,-0.027349607774756368
3845.0,-0.027349607774756368
3844.0,-0.027431157766903524
3843.0,-0.02759421182622601
3842.0,-0.02779794335029928
3841.0,-0.028001579346857763
3840.0,-0.02808300701783839
3839.0,-0.02796085978544749
3838.0,-0.027879409207207217
3837.0,-0.027838678188945032
3836.0,-0.02779794335029928
3835.0,-0.02767571590489304
3834.0,-0.027431157766903524
3833.0,-0.027227254067255124
3832.0,-0.02714566577434141
3831.0,-0.027186461836735898
3830.0,-0.027268042466618514
3829.0,-0.027349607774756368
3828.0,-0.027349607774756368
3827.0,-0.027349607774756368
3826.0,-0.027471927021277764
3825.0,-0.02775720469055365
3824.0,-0.02808300701783839
3823.0,-0.028327198467568593
3822.0,-0.028245816572473714
3821.0,-0.028042295090749736
3820.0,-0.028001579346857763
3819.0,-0.028042295090749736
3818.0,-0.02796085978544749
3817.0,-0.02775720469055365
3816.0,-0.027553454050220694
3815.0,-0.027431157766903524
3814.0,-0.027308827035545935
3813.0,-0.02714566577434141
3812.0,-0.026941627959029546
3811.0,-0.02685998598456152
3810.0,-0.026900808890255146
3809.0,-0.026941627959029546
3808.0,-0.027023254588703693
3807.0,-0.02714566577434141
3806.0,-0.027431157766903524
3805.0,-0.02775720469055365
3804.0,-0.027879409207207217
3803.0,-0.02779794335029928
3802.0,-0.027471927021277764
3801.0,-0.027308827035545935
3800.0,-0.027431157766903524
3799.0,-0.027553454050220694
3798.0,-0.027512692448810938
3797.0,-0.027431157766903524
3796.0,-0.027349607774756368
3795.0,-0.027268042466618514
3794.0,-0.02714566577434141
3793.0,-0.027023254588703693
3792.0,-0.026941627959029546
3791.0,-0.02685998598456152
3790.0,-0.02685998598456152
3789.0,-0.026900808890255146
3788.0,-0.026982443191605032
3787.0,-0.027064062151045398
3786.0,-0.027104865879351348
3785.0,-0.027104865879351348
3784.0,-0.027104865879351348
3783.0,-0.02714566577434141
3782.0,-0.027104865879351348
3781.0,-0.026982443191605032
3780.0,-0.02685998598456152
3779.0,-0.02677832865952956
3778.0,-0.026819159241226576
3777.0,-0.026900808890255146
3776.0,-0.026982443191605032
3775.0,-0.027023254588703693
3774.0,-0.027064062151045398
3773.0,-0.027064062151045398
3772.0,-0.027064062151045398
3771.0,-0.026982443191605032
3770.0,-0.026982443191605032
3769.0,-0.027023254588703693
3768.0,-0.027104865879351348
3767.0,-0.027104865879351348
3766.0,-0.027064062151045398
3765.0,-0.027064062151045398
3764.0,-0.02714566577434141
3763.0,-0.027308827035545935
3762.0,-0.027431157766903524
3761.0,-0.027471927021277764
3760.0,-0.027431157766903524
3759.0,-0.027390384684969238
3758.0,-0.027431157766903524
3757.0,-0.027512692448810938
3756.0,-0.027553454050220694
3755.0,-0.02767571590489304
3754.0,-0.027838678188945032
3753.0,-0.02796085978544749
3752.0,-0.027920136405802598
3751.0,-0.02779794335029928
3750.0,-0.02779794335029928
3749.0,-0.027879409207207217
3748.0,-0.027920136405802598
3747.0,-0.027838678188945032
