nm,Intensity
526.547,831.9
526.684,832.2
526.821,833.55
526.958,833.15
527.095,832.3
527.232,832.6
527.368,833.2
527.505,833.45
527.642,833.0
527.779,833.2
527.916,832.1
528.052,832.6
528.189,833.4
528.326,833.55
528.463,832.45
528.599,832.65
528.736,832.3
528.873,832.4
529.009,832.6
529.146,832.95
529.283,831.95
529.419,833.8
529.556,831.85
529.693,833.0
529.829,832.6
529.966,833.5
530.103,832.95
530.239,833.0
530.376,832.85
530.512,832.7
530.649,832.25
530.785,833.5
530.922,833.3
531.059,832.6
531.195,833.95
531.332,832.5
531.468,832.25
531.605,833.8
531.741,832.8
531.878,832.8
532.014,835.7
532.151,852.85
532.287,847.65
532.423,835.5
532.56,832.1
532.696,832.3
532.833,833.4
532.969,832.25
533.106,832.85
533.242,832.75
533.378,832.65
533.515,836.5
533.651,855.75
533.787,1012.25
533.924,1583.15
534.06,2204.3
534.196,2397.95
534.333,2351.5
534.469,2263.3
534.605,2206.75
534.742,2155.9
534.878,2085.25
535.014,2004.95
535.15,1937.15
535.287,1905.2
535.423,1874.4
535.559,1848.25
535.695,1812.2
535.832,1786.6
535.968,1756.15
536.104,1736.95
536.24,1712.55
536.376,1693.8
536.513,1684.2
536.649,1672.95
536.785,1679.55
536.921,1669.9
537.057,1652.9
537.193,1661.8
537.329,1657.05
537.465,1656.9
537.602,1651.6
537.738,1659.15
537.874,1658.25
538.01,1659.5
538.146,1665.55
538.282,1675.3
538.418,1666.3
538.554,1665.75
538.69,1673.15
538.826,1680.0
538.962,1672.6
539.098,1672.1
539.234,1688.25
539.37,1695.65
539.506,1693.5
539.642,1704.0
539.778,1720.35
539.914,1726.15
540.05,1737.55
540.186,1733.5
540.322,1738.6
540.458,1718.15
540.594,1715.45
540.729,1704.4
540.865,1713.65
541.001,1713.35
541.137,1711.25
541.273,1713.95
541.409,1711.6
541.545,1718.2
541.68,1710.5
541.816,1717.95
541.952,1729.45
542.088,1730.0
542.224,1730.05
542.36,1735.35
542.495,1727.55
542.631,1741.75
542.767,1742.15
542.903,1746.95
543.038,1750.5
543.174,1745.3
543.31,1761.75
543.446,1764.1
543.581,1760.0
543.717,1764.8
543.853,1780.1
543.988,1776.6
544.124,1780.55
544.26,1763.85
544.395,1776.55
544.531,1780.05
544.667,1793.35
544.802,1788.8
544.938,1801.45
545.074,1801.95
545.209,1802.1
545.345,1808.4
545.481,1814.05
545.616,1808.3
545.752,1820.05
545.887,1819.55
546.023,1819.2
546.158,1825.5
546.294,1819.8
546.43,1826.05
546.565,1830.15
546.701,1835.65
546.836,1845.0
546.972,1843.85
547.107,1844.75
547.243,1847.25
547.378,1850.05
547.514,1848.3
547.649,1845.85
547.785,1853.2
547.92,1843.95
548.056,1865.3
548.191,1862.7
548.326,1864.1
548.462,1866.9
548.597,1867.75
548.733,1877.85
548.868,1889.7
549.004,1884.65
549.139,1890.9
549.274,1895.9
549.41,1887.75
549.545,1890.65
549.68,1899.75
549.816,1899.35
549.951,1894.1
550.086,1902.35
550.222,1911.9
550.357,1907.15
550.492,1951.65
550.628,2108.6
550.763,2184.0
550.898,2004.95
551.034,1931.4
551.169,1929.8
551.304,1942.25
551.439,1937.45
551.575,1935.9
551.71,1942.25
551.845,1948.65
551.98,1945.95
552.116,1962.75
552.251,1962.7
552.386,1952.05
552.521,1954.35
552.656,1979.15
552.792,2019.8
552.927,2036.3
553.062,2008.4
553.197,1978.7
553.332,1967.85
553.467,1983.1
553.603,1981.85
553.738,1997.75
553.873,1997.65
554.008,1998.75
554.143,1994.95
554.278,1998.95
554.413,2003.3
554.548,2010.2
554.683,2010.85
554.819,2023.45
554.954,2016.25
555.089,2018.7
555.224,2034.35
555.359,2032.6
555.494,2062.55
555.629,2075.8
555.764,2095.85
555.899,2074.95
556.034,2070.75
556.169,2074.25
556.304,2089.1
556.439,2098.3
556.574,2101.7
556.709,2106.35
556.844,2121.45
556.979,2131.7
557.114,2138.55
557.249,2188.55
557.384,2259.55
557.519,2375.4
557.653,2482.9
557.788,2407.85
557.923,2251.9
558.058,2172.5
558.193,2150.95
558.328,2163.95
558.463,2138.0
558.598,2137.6
558.733,2132.85
558.867,2130.9
559.002,2120.8
559.137,2122.45
559.272,2120.05
559.407,2114.15
559.542,2118.75
559.677,2117.5
559.811,2129.15
559.946,2132.65
560.081,2135.0
560.216,2139.1
560.351,2146.75
560.485,2152.6
560.62,2157.5
560.755,2153.5
560.89,2153.95
561.024,2157.25
561.159,2162.15
561.294,2176.7
561.429,2181.35
561.563,2186.05
561.698,2204.65
561.833,2213.95
561.967,2230.05
562.102,2258.0
562.237,2254.9
562.371,2248.9
562.506,2235.7
562.641,2224.65
562.775,2225.5
562.91,2232.85
563.045,2241.4
563.179,2245.3
563.314,2255.2
563.449,2247.4
563.583,2255.75
563.718,2265.35
563.853,2268.4
563.987,2274.2
564.122,2275.8
564.256,2288.1
564.391,2298.1
564.525,2316.5
564.66,2339.55
564.795,2369.35
564.929,2426.55
565.064,2491.0
565.198,2513.85
565.333,2464.5
565.467,2445.8
565.602,2451.55
565.736,2463.7
565.871,2488.6
566.005,2474.95
566.14,2428.7
566.274,2389.45
566.409,2377.65
566.543,2345.9
566.678,2341.1
566.812,2336.1
566.947,2325.15
567.081,2331.8
567.216,2340.4
567.35,2331.0
567.484,2368.5
567.619,2399.6
567.753,2423.3
