nm,Intensity
528.65,1847.4
528.734,1848.1
528.819,1848.95
528.903,1849.05
528.987,1850.65
529.071,1848.0
529.155,1849.45
529.239,1847.55
529.324,1848.05
529.408,1848.9
529.492,1847.55
529.576,1850.95
529.66,1850.4
529.745,1849.95
529.829,1848.55
529.913,1850.9
529.997,1850.15
530.081,1848.75
530.165,1848.15
530.25,1848.2
530.334,1850.3
530.418,1849.0
530.502,1848.75
530.586,1849.6
530.67,1851.25
530.754,1848.55
530.839,1847.25
530.923,1848.6
531.007,1848.95
531.091,1851.05
531.175,1849.7
531.259,1851.25
531.344,1850.1
531.428,1852.45
531.512,1854.85
531.596,1856.45
531.68,1867.7
531.764,1924.05
531.848,2149.0
531.933,2629.85
532.017,3064.5
532.101,3033.65
532.185,2681.05
532.269,2187.9
532.353,1920.05
532.437,1857.55
532.521,1850.8
532.606,1852.75
532.69,1851.75
532.774,1852.15
532.858,1850.35
532.942,1853.75
533.026,1852.8
533.11,1853.4
533.194,1854.9
533.279,1856.1
533.363,1861.8
533.447,1882.75
533.531,1941.7
533.615,2096.7
533.699,2412.0
533.783,2785.95
533.867,3202.0
533.951,3604.9
534.036,3817.8
534.12,3926.5
534.204,3990.2
534.288,3950.95
534.372,3956.05
534.456,3940.05
534.54,3897.9
534.624,3889.8
534.708,3917.35
534.792,3957.7
534.877,3989.25
534.961,3973.6
535.045,3905.9
535.129,3936.85
535.213,3973.95
535.297,3976.55
535.381,3966.8
535.465,3993.5
535.549,3957.55
535.633,3902.55
535.717,3905.6
535.801,3952.2
535.886,3947.85
535.97,3948.45
536.054,3951.85
536.138,3893.1
536.222,3883.05
536.306,3933.65
536.39,3944.6
536.474,3925.3
536.558,3922.95
536.642,3928.9
536.726,3979.05
536.81,3969.45
536.894,3962.1
536.978,3955.85
537.062,3968.5
537.146,3968.7
537.231,4008.4
537.315,4046.2
537.399,4057.75
537.483,4049.9
537.567,4144.8
537.651,4112.7
537.735,4127.4
537.819,4154.0
537.903,4120.3
537.987,4084.5
538.071,4083.25
538.155,4099.45
538.239,4134.65
538.323,4145.4
538.407,4110.4
538.491,4137.25
538.575,4132.6
538.659,4133.9
538.743,4223.05
538.827,4231.2
538.911,4194.95
538.995,4215.65
539.079,4210.75
539.163,4229.95
539.247,4222.65
539.331,4255.15
539.415,4270.0
539.499,4319.25
539.583,4246.7
539.667,4283.35
539.751,4334.05
539.835,4351.5
539.919,4339.0
540.003,4339.65
540.087,4346.4
540.171,4379.6
540.255,4420.85
540.339,4443.55
540.423,4419.4
540.507,4443.65
540.591,4405.4
540.675,4457.7
540.759,4413.1
540.843,4373.8
540.927,4344.85
541.011,4418.35
541.095,4428.95
541.179,4414.2
541.263,4412.8
541.347,4406.5
541.431,4452.2
541.515,4459.85
541.599,4490.4
541.683,4505.85
541.767,4463.85
541.851,4465.1
541.935,4493.6
542.019,4526.4
542.103,4522.35
542.187,4544.95
542.271,4547.05
542.355,4551.35
542.439,4586.45
542.523,4577.85
542.607,4565.95
542.691,4542.95
542.775,4587.75
542.859,4635.15
542.943,4719.0
543.027,4677.35
543.111,4650.35
543.195,4583.15
543.279,4592.45
543.363,4628.55
543.446,4633.35
543.53,4694.45
543.614,4656.9
543.698,4644.1
543.782,4701.55
543.866,4727.9
543.95,4664.4
544.034,4624.85
544.118,4645.6
544.202,4710.05
544.286,4687.85
544.37,4688.6
544.454,4752.35
544.538,4755.55
544.622,4703.85
544.706,4730.15
544.789,4725.15
544.873,4891.1
544.957,4881.25
545.041,4849.4
545.125,4825.55
545.209,4823.35
545.293,4783.55
545.377,4838.2
545.461,4813.1
545.545,4872.9
545.629,4882.8
545.713,4825.2
545.796,4900.85
545.88,4964.1
545.964,4906.25
546.048,4860.2
546.132,4887.35
546.216,4927.3
546.3,4976.35
546.384,4924.55
546.468,4969.05
546.552,4942.7
546.635,4946.25
546.719,4913.5
546.803,4950.35
546.887,4998.75
546.971,4984.3
547.055,4946.1
547.139,4935.25
547.223,4932.2
547.306,5023.6
547.39,5010.7
547.474,5000.1
547.558,5056.4
547.642,5047.8
547.726,5019.75
547.81,5045.0
547.894,5118.25
547.977,5151.35
548.061,5147.25
548.145,5140.0
548.229,5171.35
548.313,5172.25
548.397,5166.9
548.481,5205.85
548.564,5235.8
548.648,5211.35
548.732,5159.05
548.816,5136.05
548.9,5152.3
548.984,5188.3
549.068,5168.55
549.151,5158.25
549.235,5221.7
549.319,5257.8
549.403,5271.55
549.487,5265.4
549.571,5277.1
549.655,5190.0
549.738,5226.65
549.822,5273.8
549.906,5294.65
549.99,5308.3
550.074,5236.4
550.158,5204.15
550.241,5269.25
550.325,5289.25
550.409,5353.6
550.493,5435.05
550.577,5531.9
550.66,5562.95
550.744,5515.15
550.828,5544.0
550.912,5442.25
550.996,5359.15
551.08,5408.35
551.163,5422.9
551.247,5434.25
551.331,5433.5
551.415,5453.0
551.499,5484.45
551.582,5535.7
551.666,5465.9
551.75,5507.25
551.834,5543.55
551.918,5559.0
552.001,5619.0
552.085,5548.5
552.169,5501.8
552.253,5438.35
552.337,5530.55
552.42,5526.65
552.504,5554.05
552.588,5585.6
552.672,5593.05
552.755,5622.35
552.839,5647.9
552.923,5592.85
553.007,5563.9
553.091,5614.3
553.174,5619.0
553.258,5598.7
553.342,5548.35
553.426,5570.75
553.509,5583.7
553.593,5585.6
553.677,5556.15
553.761,5650.25
553.844,5706.8
553.928,5655.85
554.012,5651.85
554.096,5621.55
554.179,5616.2
554.263,5633.05
554.347,5706.8
554.431,5727.0
554.514,5655.45
554.598,5705.7
554.682,5719.0
554.766,5727.0
554.849,5657.05
554.933,5722.05
555.017,5816.7
555.101,5762.9
555.184,5720.65
555.268,5736.45
555.352,5779.25
555.436,5828.7
555.519,5909.25
555.603,5936.3
555.687,5845.65
555.771,5842.3
555.854,5886.4
555.938,5858.0
556.022,5852.35
556.105,5830.9
556.189,5823.9
556.273,5915.7
556.357,5895.95
556.44,5901.55
556.524,5897.45
556.608,5913.15
556.691,5920.8
556.775,5951.45
556.859,6032.85
556.943,5959.45
557.026,5899.75
557.11,5968.2
557.194,6038.0
557.277,6081.55
557.361,6174.25
557.445,6240.35
557.528,6201.8
557.612,6304.7
557.696,6248.0
557.779,6235.75
557.863,6228.25
557.947,6127.0
558.031,6013.3
558.114,6010.95
558.198,5999.35
558.282,6080.65
558.365,6134.5
558.449,6127.65
558.533,6080.65
558.616,6037.3
558.7,6101.8
558.784,6177.7
558.867,6140.0
558.951,6128.25
559.035,6101.85
559.118,6083.8
559.202,6041.35
559.286,6025.05
559.369,6100.4
559.453,6119.6
559.537,6083.3
559.62,6110.7
559.704,6065.5
559.788,6013.1
559.871,6111.55
559.955,6219.7
560.038,6228.7
560.122,6206.45
560.206,6241.45
560.289,6249.1
560.373,6223.25
560.457,6183.0
560.54,6215.4
560.624,6315.75
560.708,6276.1
560.791,6224.9
560.875,6304.5
560.958,6278.1
561.042,6295.95
561.126,6368.45
561.209,6292.5
561.293,6296.65
561.377,6336.8
561.46,6338.9
561.544,6404.9
561.627,6454.7
561.711,6519.6
561.795,6454.5
561.878,6442.3
561.962,6421.55
562.045,6454.0
562.129,6378.85
562.213,6367.1
562.296,6365.5
562.38,6394.8
562.463,6464.15
562.547,6499.85
562.631,6507.75
562.714,6501.9
562.798,6431.0
562.881,6511.55
562.965,6604.85
563.049,6609.8
563.132,6504.4
563.216,6445.65
563.299,6441.25
563.383,6576.85
563.467,6607.4
563.55,6485.9
563.634,6396.95
563.717,6474.2
563.801,6504.55
563.884,6572.3
563.968,6741.95
564.052,6724.55
564.135,6514.95
564.219,6485.55
564.302,6592.2
564.386,6728.6
564.469,6748.85
564.553,6737.25
564.636,6683.7
564.72,6763.4
564.804,6836.45
564.887,6941.3
564.971,6869.95
565.054,6823.25
565.138,6885.05
565.221,6940.2
565.305,6964.2
565.388,6923.0
565.472,6933.65
565.556,6993.5
565.639,7030.85
565.723,6978.15
565.806,6931.9
565.89,6924.4
565.973,6909.45
566.057,6967.15
566.14,6890.1
566.224,6950.2
566.307,6945.65
566.391,6840.8
566.474,6838.65
566.558,6880.2
566.641,6818.5
566.725,6810.85
566.808,6915.85
566.892,6873.55
566.975,6822.35
567.059,6793.6
567.142,7019.35
567.226,7063.55
567.309,6953.85
567.393,6938.95
567.476,6917.95
567.56,6917.25
567.643,7039.75
567.727,7083.3
567.81,7093.55
567.894,7065.15
567.977,7045.35
568.061,7096.65
568.144,7140.6
568.228,7142.5
568.311,7011.75
568.395,7008.95
568.478,7101.2
568.562,7142.1
568.645,7062.1
568.729,7034.7
568.812,7077.9
568.896,7085.0
568.979,7063.95
569.063,7051.85
569.146,7193.05
569.23,7344.3
569.313,7299.0
569.396,7173.95
569.48,7095.2
569.563,7027.05
569.647,7093.15
569.73,7270.25
569.814,7293.7
569.897,7291.15
569.981,7296.25
570.064,7203.85
570.148,7194.7
570.231,7169.55
570.314,7180.35
570.398,7419.4
570.481,7437.15
570.565,7423.1
570.648,7417.0
570.732,7505.25
570.815,7687.6
570.898,7727.4
570.982,7795.25
571.065,7691.2
571.149,7682.95
571.232,7873.3
571.316,7928.75
571.399,7851.3
571.482,7777.7
571.566,7886.25
571.649,7813.85
571.733,7809.6
571.816,7657.05
571.9,7583.9
571.983,7580.8
572.066,7647.35
572.15,7683.05
572.233,7602.85
572.317,7476.05
572.4,7504.25
572.483,7542.4
572.567,7619.8
572.65,7617.9
572.734,7546.6
572.817,7545.15
572.9,7575.0
572.984,7634.55
573.067,7595.65
573.15,7576.95
573.234,7552.4
573.317,7606.95
573.401,7570.45
573.484,7553.25
573.567,7472.6
573.651,7466.35
573.734,7498.6
573.818,7589.0
573.901,7673.5
573.984,7675.65
574.068,7591.05
574.151,7592.6
574.234,7568.8
574.318,7552.5
574.401,7560.8
574.484,7515.1
574.568,7510.9
574.651,7636.15
574.734,7685.55
574.818,7647.95
574.901,7614.7
574.985,7664.25
575.068,7795.35
575.151,7779.95
575.235,7681.9
575.318,7753.3
575.401,7785.5
575.485,7897.9
575.568,7869.85
575.651,7858.35
575.735,7723.1
575.818,7645.2
575.901,7845.15
575.985,7911.3
576.068,7672.55
576.151,7735.5
576.235,7877.9
576.318,7800.55
576.401,7824.3
576.484,7882.25
576.568,7938.3
576.651,7941.1
576.734,7881.4
576.818,7895.5
576.901,7830.25
576.984,7783.75
577.068,7983.15
577.151,8065.85
577.234,7976.15
577.318,7855.85
577.401,7889.95
577.484,7888.55
577.567,7802.9
577.651,7711.05
577.734,7790.8
577.817,7895.05
577.901,7889.65
577.984,7907.95
578.067,7831.7
578.15,7715.15
578.234,7782.5
578.317,7900.0
578.4,7913.7
578.484,7798.15
578.567,7812.75
578.65,7807.9
578.733,7788.85
578.817,7924.9
578.9,7943.3
578.983,8062.55
579.066,8088.25
579.15,7944.1
579.233,7926.7
579.316,7910.3
579.399,7893.25
579.483,7903.5
579.566,7870.45
579.649,7885.6
579.732,7921.2
579.816,7972.1
579.899,7994.65
579.982,7961.5
580.065,8073.65
580.149,8138.65
580.232,7945.8
580.315,8062.1
580.398,8234.2
580.482,8159.15
580.565,8131.85
580.648,8115.75
580.731,7967.2
580.815,7997.95
580.898,8064.15
580.981,8164.05
581.064,8187.1
581.147,8223.7
581.231,8359.0
581.314,8227.05
581.397,8119.1
581.48,8264.4
581.563,8313.1
581.647,8374.85
581.73,8546.3
581.813,8865.3
581.896,9313.1
581.979,9741.45
582.063,9975.65
582.146,9954.55
582.229,9834.9
582.312,9526.65
582.395,8998.6
582.479,8546.95
582.562,8344.7
582.645,8334.1
582.728,8379.1
582.811,8224.45
582.895,8013.6
582.978,8073.4
583.061,8188.95
583.144,8155.95
583.227,8161.5
583.31,8231.0
583.394,8157.05
583.477,8071.4
583.56,8129.85
583.643,8008.5
583.726,8121.2
583.809,8356.6
583.893,8449.15
583.976,8345.9
584.059,8145.45
584.142,8079.3
584.225,8051.65
584.308,8143.5
584.391,8256.75
584.475,8361.8
584.558,8191.55
584.641,8117.5
584.724,8137.95
584.807,8215.25
584.89,8168.15
584.973,8152.6
585.057,8209.65
585.14,8291.15
585.223,8301.6
585.306,8302.85
585.389,8411.55
585.472,8543.7
585.555,8678.55
585.638,8723.45
585.722,8978.45
585.805,9243.0
585.888,9275.2
585.971,9255.1
586.054,9182.2
586.137,9266.9
586.22,9216.95
586.303,8941.8
586.386,8769.4
586.47,8613.8
586.553,8565.05
586.636,8470.6
586.719,8477.4
586.802,8494.25
586.885,8459.55
586.968,8366.9
587.051,8197.75
587.134,8189.95
587.217,8250.85
587.3,8311.9
587.384,8417.4
587.467,8303.6
587.55,8181.6
587.633,8278.0
587.716,8404.15
587.799,8462.75
587.882,8355.7
587.965,8294.2
588.048,8408.65
588.131,8360.9
588.214,8259.7
588.297,8251.15
588.38,8367.95
588.463,8364.05
588.546,8217.65
588.63,8435.1
588.713,8554.6
588.796,8435.8
588.879,8322.45
588.962,8332.95
589.045,8342.25
589.128,8268.05
589.211,8143.05
589.294,8178.4
589.377,8270.9
589.46,8404.75
589.543,8417.0
589.626,8110.25
589.709,8163.3
589.792,8227.75
589.875,8270.2
589.958,8321.5
590.041,8278.65
590.124,8318.85
590.207,8380.2
590.29,8310.1
590.373,8289.65
590.456,8301.8
590.539,8317.8
590.622,8315.2
590.705,8354.25
590.788,8240.95
590.871,8216.5
590.954,8262.5
591.037,8367.8
591.12,8437.05
591.203,8465.2
591.286,8391.9
591.369,8401.45
591.452,8458.6
591.535,8453.7
591.618,8270.85
591.701,8270.15
591.784,8351.6
591.867,8313.1
591.95,8497.65
592.033,8594.95
592.116,8420.2
592.199,8336.9
592.282,8382.45
592.365,8398.75
592.448,8303.6
592.531,8411.95
592.614,8272.05
592.697,8287.2
592.78,8445.1
592.863,8526.55
592.946,8466.25
593.029,8345.8
593.112,8389.65
593.195,8402.35
593.278,8428.0
593.361,8389.05
