nm,Intensity
528.626,1864.7
528.711,1864.6
528.795,1864.8
528.879,1863.7
528.963,1864.6
529.048,1863.9
529.132,1862.3
529.216,1864.2
529.3,1864.7
529.385,1864.7
529.469,1865.4
529.553,1865.3
529.637,1865.5
529.721,1863.3
529.806,1862.7
529.89,1865.5
529.974,1865.2
530.058,1864.2
530.143,1865.0
530.227,1864.1
530.311,1865.1
530.395,1863.5
530.48,1864.9
530.564,1864.5
530.648,1865.3
530.732,1865.0
530.816,1866.2
530.901,1865.4
530.985,1867.1
531.069,1865.4
531.153,1869.6
531.237,1866.7
531.322,1869.7
531.406,1870.0
531.49,1875.4
531.574,1881.5
531.658,1901.6
531.743,2016.3
531.827,2439.4
531.911,3124.1
531.995,3906.7
532.079,4667.0
532.164,4350.3
532.248,3239.6
532.332,2310.9
532.416,1920.6
532.5,1871.1
532.585,1867.2
532.669,1865.1
532.753,1868.6
532.837,1865.5
532.921,1867.1
533.006,1865.8
533.09,1867.2
533.174,1866.3
533.258,1867.6
533.342,1867.8
533.426,1872.1
533.511,1886.1
533.595,1926.7
533.679,1997.3
533.763,2108.3
533.847,2230.0
533.931,2321.3
534.016,2414.0
534.1,2456.0
534.184,2490.8
534.268,2498.5
534.352,2501.9
534.436,2494.1
534.521,2516.9
534.605,2525.2
534.689,2525.5
534.773,2518.3
534.857,2539.0
534.941,2546.7
535.025,2559.6
535.11,2576.2
535.194,2573.4
535.278,2576.1
535.362,2594.4
535.446,2612.7
535.53,2610.8
535.614,2600.1
535.699,2590.5
535.783,2598.5
535.867,2572.7
535.951,2588.5
536.035,2591.9
536.119,2592.2
536.203,2589.0
536.287,2590.9
536.372,2594.2
536.456,2620.3
536.54,2601.1
536.624,2606.8
536.708,2620.9
536.792,2614.3
536.876,2630.4
536.96,2613.8
537.044,2633.5
537.129,2651.7
537.213,2645.2
537.297,2648.3
537.381,2659.3
537.465,2658.4
537.549,2650.7
537.633,2660.7
537.717,2652.5
537.801,2684.6
537.885,2691.1
537.97,2703.9
538.054,2678.6
538.138,2661.5
538.222,2654.5
538.306,2674.9
538.39,2678.9
538.474,2678.4
538.558,2678.3
538.642,2691.8
