nm,Intensity
526.486,830.0
526.622,831.1
526.759,829.2
526.896,830.6
527.033,830.4
527.169,830.1
527.306,831.2
527.443,830.0
527.579,831.6
527.716,829.8
527.853,831.6
527.989,829.8
528.126,830.6
528.263,830.2
528.399,830.9
528.536,830.2
528.672,832.0
528.809,830.6
528.946,830.1
529.082,830.0
529.219,829.3
529.355,831.0
529.492,830.6
529.628,829.3
529.765,830.3
529.901,831.4
530.038,831.1
530.174,831.2
530.311,831.4
530.447,830.8
530.584,830.3
530.72,828.4
530.857,831.9
530.993,829.5
531.13,831.3
531.266,831.0
531.403,830.6
531.539,829.8
531.676,830.3
531.812,831.8
531.948,834.8
532.085,861.2
532.221,885.3
532.358,845.9
532.494,831.9
532.63,829.1
532.767,831.5
532.903,830.1
533.039,830.7
533.176,830.5
533.312,831.3
533.448,832.9
533.585,840.4
533.721,905.2
533.857,1257.8
533.993,1940.2
534.13,2314.8
534.266,2345.7
534.402,2270.0
534.539,2210.8
534.675,2153.9
534.811,2099.2
534.947,2012.4
535.083,1934.9
535.22,1897.6
535.356,1867.3
535.492,1838.9
535.628,1804.5
535.764,1779.5
535.901,1751.2
536.037,1718.0
536.173,1697.0
536.309,1671.2
536.445,1666.9
536.581,1646.4
536.717,1638.0
536.854,1649.8
536.99,1629.4
537.126,1628.7
537.262,1615.7
537.398,1612.9
537.534,1601.3
537.67,1603.8
537.806,1598.1
537.942,1603.7
538.078,1602.5
538.214,1610.1
538.35,1610.0
538.486,1600.6
538.622,1616.0
538.758,1609.9
538.894,1609.7
539.03,1616.1
539.166,1602.0
539.302,1616.7
539.438,1629.1
539.574,1631.7
539.71,1657.7
539.846,1661.9
539.982,1676.8
540.118,1693.3
540.254,1659.3
540.39,1650.4
540.526,1653.0
540.662,1652.9
540.798,1645.9
540.933,1633.1
541.069,1634.7
541.205,1633.7
541.341,1644.1
541.477,1647.1
541.613,1647.1
541.749,1645.2
541.884,1637.2
542.02,1652.7
542.156,1654.5
542.292,1647.2
542.428,1650.7
542.563,1655.7
542.699,1654.3
542.835,1662.3
542.971,1662.6
543.106,1665.1
543.242,1660.4
543.378,1675.9
543.514,1678.9
543.649,1683.2
543.785,1682.8
543.921,1703.4
544.057,1707.1
544.192,1685.7
544.328,1703.0
544.464,1689.1
544.599,1697.6
544.735,1700.5
544.871,1704.5
545.006,1716.8
545.142,1717.9
545.278,1707.4
545.413,1712.2
545.549,1709.9
545.684,1722.7
545.82,1732.3
545.956,1723.3
546.091,1730.9
546.227,1720.7
546.362,1738.0
546.498,1739.2
546.634,1726.8
546.769,1753.7
546.905,1741.6
547.04,1755.1
547.176,1747.0
547.311,1748.2
547.447,1755.8
547.582,1766.3
547.718,1752.5
547.853,1749.0
547.989,1757.5
548.124,1760.1
548.26,1768.0
548.395,1761.7
548.531,1774.8
548.666,1781.5
548.802,1808.4
548.937,1803.0
549.072,1790.4
549.208,1788.2
549.343,1794.6
549.479,1789.8
549.614,1803.0
549.75,1812.8
