nm,Intensity
526.508,830.3
526.645,828.2
526.782,831.7
526.919,829.4
527.055,831.0
527.192,830.8
527.329,830.2
527.465,830.8
527.602,831.1
527.739,830.1
527.875,830.4
528.012,830.5
528.149,829.7
528.285,830.5
528.422,831.2
528.558,830.5
528.695,829.9
528.832,829.5
528.968,831.5
529.105,831.4
529.241,830.7
529.378,828.4
529.514,831.2
529.651,830.8
529.787,832.5
529.924,831.9
530.061,829.9
530.197,829.7
530.334,830.2
530.47,831.2
530.606,830.8
530.743,829.8
530.879,831.1
531.016,830.7
531.152,830.8
531.289,829.8
531.425,830.0
531.562,830.8
531.698,830.7
531.834,831.0
531.971,839.2
532.107,906.5
532.244,937.1
532.38,853.3
532.516,832.9
532.653,830.4
532.789,830.6
532.925,830.1
533.062,829.7
533.198,829.7
533.334,832.2
533.471,832.6
533.607,839.2
533.743,905.3
533.879,1238.4
534.016,1785.4
534.152,2017.0
534.288,2034.8
534.424,1964.6
534.561,1903.0
534.697,1871.2
534.833,1831.3
534.969,1769.3
535.106,1721.7
535.242,1672.6
535.378,1660.9
535.514,1634.7
535.65,1611.0
535.786,1592.5
535.923,1565.7
536.059,1554.3
536.195,1530.0
536.331,1511.9
536.467,1516.7
536.603,1505.2
536.739,1500.5
536.876,1492.1
537.012,1498.3
537.148,1493.5
537.284,1493.0
537.42,1488.6
537.556,1497.1
537.692,1486.9
537.828,1491.2
537.964,1492.2
538.1,1500.3
538.236,1497.8
538.372,1505.4
538.508,1502.8
538.644,1499.6
538.78,1512.1
538.916,1506.4
539.052,1506.0
539.188,1515.5
539.324,1521.5
539.46,1522.8
539.596,1527.6
539.732,1535.1
539.868,1557.5
540.004,1560.4
540.14,1558.1
540.275,1543.4
540.411,1534.3
540.547,1535.8
540.683,1544.5
540.819,1534.7
540.955,1533.5
541.091,1531.3
541.227,1543.4
541.362,1536.3
541.498,1549.2
541.634,1539.8
541.77,1550.3
541.906,1545.0
542.041,1551.7
542.177,1554.2
542.313,1552.1
542.449,1555.3
542.585,1560.2
542.72,1563.2
542.856,1566.9
542.992,1566.7
543.128,1574.5
543.263,1571.3
543.399,1583.7
543.535,1585.2
543.67,1589.3
543.806,1599.1
543.942,1585.0
544.078,1602.3
544.213,1600.5
544.349,1592.7
544.485,1600.4
544.62,1602.7
544.756,1608.8
544.892,1613.0
545.027,1602.9
545.163,1621.8
545.298,1611.9
545.434,1622.7
545.57,1617.8
545.705,1632.7
545.841,1631.5
545.976,1627.8
546.112,1632.9
546.248,1632.6
546.383,1634.0
546.519,1650.7
546.654,1639.9
546.79,1643.3
546.925,1648.6
547.061,1635.5
547.196,1640.7
547.332,1653.1
547.467,1656.4
547.603,1663.6
547.738,1655.5
547.874,1652.0
548.009,1658.8
548.145,1657.1
548.28,1660.5
548.416,1672.3
548.551,1669.7
548.686,1676.0
548.822,1681.5
548.957,1699.9
549.093,1692.4
549.228,1680.1
549.363,1697.3
549.499,1703.5
549.634,1686.0
549.77,1688.1
549.905,1693.5
550.04,1698.5
550.176,1696.3
550.311,1704.2
550.446,1713.7
550.582,1797.0
550.717,1902.4
550.852,1818.9
550.988,1741.5
551.123,1721.2
551.258,1717.7
551.394,1712.6
551.529,1731.3
551.664,1733.6
551.799,1723.3
551.935,1737.0
552.07,1740.4
552.205,1734.8
552.34,1727.0
552.476,1743.7
552.611,1739.1
552.746,1777.7
552.881,1797.2
553.016,1794.5
553.152,1760.0
553.287,1752.7
553.422,1749.6
553.557,1767.2
553.692,1761.2
553.827,1771.5
553.963,1778.8
554.098,1782.0
554.233,1768.6
554.368,1771.8
554.503,1784.5
554.638,1783.5
554.773,1787.3
554.908,1791.4
555.043,1794.9
555.179,1801.9
555.314,1811.1
555.449,1822.5
555.584,1816.4
555.719,1844.2
555.854,1835.2
555.989,1829.5
556.124,1841.0
556.259,1842.0
556.394,1849.3
556.529,1860.5
556.664,1874.0
556.799,1865.4
556.934,1864.9
557.069,1889.3
557.204,1904.8
557.339,1947.9
557.474,2031.4
557.609,2104.9
557.744,2098.9
557.879,1996.4
558.014,1921.6
558.149,1900.0
558.284,1905.3
558.419,1892.2
558.553,1888.3
558.688,1879.7
558.823,1882.1
558.958,1873.3
559.093,1876.0
559.228,1877.1
559.363,1865.6
559.498,1863.8
559.632,1878.0
559.767,1874.4
559.902,1890.6
560.037,1887.0
560.172,1901.3
560.307,1895.7
560.441,1911.0
560.576,1906.6
560.711,1901.9
560.846,1913.2
560.981,1917.1
561.115,1903.0
561.25,1913.9
561.385,1911.6
561.52,1930.1
561.654,1933.3
561.789,1939.1
561.924,1949.9
562.059,1962.0
562.193,1983.2
562.328,1958.2
562.463,1959.7
562.598,1967.5
562.732,1960.6
562.867,1963.1
563.002,1952.7
563.136,1978.6
563.271,1974.9
563.406,1969.4
563.54,1972.6
563.675,1981.8
563.81,1980.7
563.944,1985.1
564.079,1997.7
564.213,2008.6
564.348,2017.6
564.483,2023.1
564.617,2042.1
564.752,2060.3
564.887,2082.4
565.021,2128.2
565.156,2151.1
565.29,2131.4
565.425,2117.4
565.559,2133.9
565.694,2124.2
565.828,2142.5
565.963,2133.1
566.098,2125.6
566.232,2095.6
566.367,2077.8
566.501,2059.8
566.636,2045.3
566.77,2047.1
566.905,2046.5
567.039,2049.8
567.174,2046.6
567.308,2047.7
567.443,2053.8
567.577,2079.9
567.711,2111.9
567.846,2116.1
567.98,2112.0
568.115,2081.8
568.249,2086.2
568.384,2095.1
568.518,2072.2
568.652,2083.6
568.787,2082.4
568.921,2086.2
569.056,2082.7
569.19,2087.8
569.324,2087.0
569.459,2112.1
569.593,2122.9
569.727,2141.8
569.862,2131.2
569.996,2127.5
570.131,2132.4
570.265,2148.7
570.399,2179.9
570.534,2192.3
570.668,2216.5
570.802,2270.1
570.936,2298.2
571.071,2381.5
571.205,2432.5
571.339,2476.6
571.474,2496.2
571.608,2441.0
571.742,2363.5
571.876,2309.3
572.011,2293.7
572.145,2261.2
572.279,2236.6
572.413,2200.3
572.548,2185.2
572.682,2186.1
572.816,2188.8
572.95,2180.3
573.084,2188.3
573.219,2188.7
