nm,Intensity
528.626,1878.1
528.711,1876.4
528.795,1879.5
528.879,1879.0
528.963,1878.0
529.048,1875.5
529.132,1875.6
529.216,1879.2
529.3,1877.8
529.385,1878.3
529.469,1878.2
529.553,1880.1
529.637,1876.2
529.721,1880.7
529.806,1878.3
529.89,1878.4
529.974,1877.3
530.058,1878.6
530.143,1881.0
530.227,1876.6
530.311,1879.4
530.395,1878.6
530.48,1876.6
530.564,1880.8
530.648,1875.8
530.732,1878.6
530.816,1878.4
530.901,1881.8
530.985,1884.2
531.069,1884.2
531.153,1885.8
531.237,1882.7
531.322,1887.6
531.406,1889.1
531.49,1896.5
531.574,1909.3
531.658,1941.6
531.743,2117.7
531.827,2769.0
531.911,4286.7
531.995,5873.5
532.079,6555.2
532.164,6496.5
532.248,4877.1
532.332,2605.6
532.416,1955.4
532.5,1895.9
532.585,1892.9
532.669,1889.8
532.753,1886.4
532.837,1891.6
532.921,1891.8
533.006,1893.5
533.09,1899.6
533.174,1901.1
533.258,1910.1
533.342,1930.5
533.426,1994.4
533.511,2185.8
533.595,2757.1
533.679,4039.3
533.763,5966.1
533.847,8045.9
533.931,9809.3
534.016,11189.3
534.1,11920.8
534.184,12334.8
534.268,12288.3
534.352,12053.5
534.436,12063.3
534.521,12197.3
534.605,12355.9
534.689,12194.0
534.773,12132.2
534.857,12602.3
534.941,12822.5
535.025,12629.4
535.11,12149.9
535.194,12521.6
535.278,12945.8
535.362,12920.8
535.446,12688.4
535.53,12540.1
535.614,12403.5
535.699,12422.8
535.783,12531.1
535.867,12319.6
535.951,12204.3
536.035,12207.2
536.119,12151.5
536.203,12248.5
536.287,12265.9
536.372,12497.8
536.456,12750.9
536.54,12840.4
536.624,12754.4
536.708,12545.7
536.792,12543.6
536.876,12774.4
536.96,12588.6
537.044,12594.1
537.129,12762.1
537.213,12922.7
537.297,12926.1
537.381,13131.4
537.465,12976.2
537.549,12968.9
537.633,13241.3
537.717,13225.9
537.801,12994.5
537.885,13172.1
537.97,13334.7
538.054,13295.4
538.138,13083.0
538.222,13251.4
538.306,13568.0
538.39,13378.2
538.474,13297.8
538.558,13149.0
538.642,13199.2
538.726,13261.4
538.81,13203.0
538.894,13301.5
538.979,13494.4
539.063,13690.7
539.147,13788.0
539.231,14055.2
539.315,14152.1
539.399,13886.4
539.483,13933.6
539.567,13883.7
539.651,13726.1
539.735,13887.4
539.819,14118.5
539.903,14420.6
539.987,14396.4
