nm,Intensity
526.547,832.15
526.684,831.6
526.821,832.65
526.958,832.1
527.095,832.55
527.232,832.5
527.368,833.3
527.505,831.9
527.642,833.4
527.779,832.35
527.916,832.5
528.052,831.85
528.189,832.55
528.326,831.95
528.463,832.4
528.599,832.05
528.736,832.75
528.873,832.4
529.009,832.65
529.146,831.75
529.283,832.25
529.419,833.45
529.556,832.4
529.693,832.7
529.829,832.0
529.966,831.45
530.103,832.2
530.239,832.6
530.376,833.0
530.512,832.45
530.649,830.55
530.785,832.55
530.922,831.25
531.059,832.75
531.195,832.3
531.332,831.55
531.468,832.7
531.605,832.0
531.741,832.0
531.878,832.6
532.014,845.85
532.151,897.35
532.287,888.05
532.423,840.85
532.56,833.3
532.696,832.5
532.833,833.1
532.969,832.55
533.106,832.2
533.242,832.75
533.378,831.7
533.515,831.95
533.651,834.9
533.787,861.0
533.924,951.3
534.06,1059.95
534.196,1108.05
534.333,1111.65
534.469,1110.2
534.605,1108.6
534.742,1113.45
534.878,1110.65
535.014,1105.0
535.15,1105.1
535.287,1105.3
535.423,1112.1
535.559,1114.65
535.695,1116.8
535.832,1114.5
535.968,1113.7
536.104,1115.1
536.24,1113.5
536.376,1120.65
536.513,1117.5
536.649,1114.65
536.785,1124.7
536.921,1118.25
537.057,1126.7
537.193,1121.95
537.329,1121.0
537.465,1123.95
537.602,1128.75
537.738,1127.9
537.874,1131.1
538.01,1129.1
538.146,1134.95
538.282,1134.8
538.418,1136.3
538.554,1137.25
538.69,1140.5
538.826,1138.65
538.962,1138.85
539.098,1143.7
539.234,1144.35
539.37,1144.2
539.506,1145.5
539.642,1148.8
539.778,1147.05
539.914,1146.1
540.05,1152.15
540.186,1153.95
540.322,1156.45
540.458,1153.4
540.594,1158.3
540.729,1158.3
540.865,1160.45
541.001,1161.15
541.137,1163.25
541.273,1164.75
541.409,1165.85
541.545,1168.95
541.68,1169.2
541.816,1168.0
541.952,1171.9
542.088,1173.1
542.224,1171.15
542.36,1176.05
542.495,1168.2
542.631,1182.05
542.767,1178.85
542.903,1179.8
543.038,1182.2
543.174,1188.35
543.31,1184.5
543.446,1188.85
543.581,1190.7
543.717,1190.2
543.853,1186.5
543.988,1189.85
544.124,1197.3
544.26,1199.65
544.395,1198.1
544.531,1212.55
544.667,1209.45
544.802,1207.5
544.938,1205.4
545.074,1208.1
545.209,1208.95
545.345,1209.55
545.481,1210.0
545.616,1210.0
545.752,1212.45
545.887,1211.65
546.023,1215.35
546.158,1220.1
546.294,1219.55
546.43,1213.4
546.565,1219.7
546.701,1220.0
546.836,1220.3
546.972,1222.25
547.107,1221.65
547.243,1220.5
547.378,1224.65
547.514,1226.8
547.649,1226.55
547.785,1226.85
547.92,1229.85
548.056,1226.15
548.191,1224.15
548.326,1232.55
548.462,1232.0
548.597,1232.25
548.733,1233.35
548.868,1240.0
549.004,1241.9
549.139,1242.25
549.274,1240.65
549.41,1243.45
549.545,1242.5
549.68,1242.5
549.816,1243.2
549.951,1251.65
550.086,1247.65
550.222,1252.0
550.357,1247.45
550.492,1252.15
550.628,1256.9
550.763,1266.55
550.898,1257.55
551.034,1257.25
551.169,1256.25
551.304,1257.3
551.439,1257.95
551.575,1259.85
551.71,1267.95
551.845,1269.85
551.98,1264.4
552.116,1263.75
552.251,1270.1
552.386,1259.4
552.521,1264.05
552.656,1266.9
552.792,1270.2
552.927,1267.35
553.062,1270.5
553.197,1267.75
553.332,1272.05
553.467,1273.7
553.603,1275.1
553.738,1269.9
553.873,1272.8
554.008,1285.3
554.143,1280.15
554.278,1288.25
554.413,1284.85
554.548,1285.4
554.683,1283.7
554.819,1290.05
554.954,1289.4
555.089,1290.45
555.224,1285.15
555.359,1281.05
555.494,1288.4
555.629,1288.15
555.764,1288.85
555.899,1294.4
556.034,1295.95
556.169,1289.8
556.304,1296.65
556.439,1297.9
556.574,1301.25
556.709,1295.15
556.844,1299.15
556.979,1296.75
557.114,1311.85
557.249,1306.8
557.384,1305.55
557.519,1310.6
557.653,1312.65
557.788,1318.95
557.923,1312.5
558.058,1303.35
558.193,1304.3
558.328,1308.05
558.463,1304.9
558.598,1310.65
558.733,1306.2
558.867,1305.85
559.002,1304.2
559.137,1314.95
559.272,1312.95
559.407,1315.1
559.542,1322.7
559.677,1323.2
559.811,1320.6
559.946,1323.95
560.081,1325.15
560.216,1335.2
560.351,1332.2
560.485,1330.0
560.62,1333.35
560.755,1333.05
560.89,1332.1
561.024,1329.6
561.159,1335.7
561.294,1339.25
561.429,1343.6
561.563,1367.7
561.698,1370.05
561.833,1349.05
561.967,1353.1
562.102,1358.5
562.237,1371.45
562.371,1391.65
562.506,1395.75
562.641,1392.4
562.775,1375.0
562.91,1359.2
563.045,1354.55
563.179,1352.5
563.314,1353.55
563.449,1356.65
563.583,1358.45
563.718,1356.8
563.853,1361.5
563.987,1371.2
564.122,1368.95
564.256,1362.75
564.391,1370.75
564.525,1371.25
564.66,1373.15
564.795,1377.0
564.929,1380.75
565.064,1381.15
565.198,1384.3
565.333,1380.0
565.467,1385.05
565.602,1382.1
565.736,1397.95
565.871,1395.15
566.005,1384.9
566.14,1389.2
566.274,1392.85
566.409,1385.4
566.543,1382.3
566.678,1386.85
566.812,1386.8
566.947,1386.4
567.081,1391.1
567.216,1389.75
567.35,1389.95
567.484,1393.65
567.619,1388.8
567.753,1386.45
567.888,1397.8
568.022,1390.05
568.156,1390.85
568.291,1392.0
568.425,1392.5
568.56,1394.0
568.694,1399.05
568.828,1402.65
568.963,1396.15
569.097,1408.85
569.231,1409.8
569.366,1411.7
569.5,1415.4
569.634,1410.65
569.769,1410.1
569.903,1409.5
570.037,1407.3
570.172,1416.8
570.306,1413.7
570.44,1422.3
570.575,1414.3
570.709,1415.2
570.843,1422.35
570.977,1424.1
571.112,1426.95
571.246,1429.2
571.38,1425.4
571.514,1424.4
571.649,1428.9
571.783,1430.75
571.917,1434.65
572.051,1434.2
572.185,1429.95
572.32,1433.3
572.454,1431.9
572.588,1433.55
572.722,1434.8
572.856,1436.6
572.991,1441.75
573.125,1439.0
573.259,1441.85
573.393,1446.4
573.527,1448.3
573.661,1447.45
573.795,1447.25
573.93,1452.85
574.064,1452.25
574.198,1449.9
574.332,1456.65
574.466,1449.3
574.6,1453.4
574.734,1457.75
574.868,1452.0
575.002,1458.7
575.136,1454.8
575.271,1453.95
575.405,1458.0
575.539,1465.65
575.673,1462.2
575.807,1464.35
575.941,1467.1
576.075,1462.1
576.209,1463.4
576.343,1471.9
576.477,1469.6
576.611,1468.4
576.745,1466.25
576.879,1460.5
577.013,1469.05
577.147,1471.1
577.281,1477.2
577.415,1473.1
577.549,1482.6
577.683,1474.15
577.817,1481.55
577.951,1477.65
578.085,1478.65
578.218,1474.3
578.352,1488.65
578.486,1481.1
