nm,Intensity
526.493,829.8
526.629,830.5
526.766,828.8
526.903,829.6
527.039,830.0
527.176,830.2
527.313,828.8
527.449,830.1
527.586,829.6
527.723,830.5
527.859,829.8
527.996,828.7
528.133,829.1
528.269,830.4
528.406,829.7
528.542,828.6
528.679,828.0
528.816,828.7
528.952,829.7
529.089,828.9
529.225,829.2
529.362,830.0
529.498,829.4
529.635,829.0
529.771,829.7
529.908,829.6
530.044,830.1
530.181,831.3
530.317,830.1
530.454,828.3
530.59,830.3
530.727,829.1
530.863,828.1
531.0,829.2
531.136,829.0
531.273,829.5
531.409,829.6
531.546,828.7
531.682,828.9
531.818,830.2
531.955,832.0
532.091,845.3
532.227,851.3
532.364,833.3
532.5,829.5
532.637,829.4
532.773,829.9
532.909,830.0
533.046,828.5
533.182,829.0
533.318,829.6
533.455,830.7
533.591,836.2
533.727,876.4
533.863,1078.3
534.0,1416.0
534.136,1589.7
534.272,1606.4
534.408,1578.2
534.545,1553.9
534.681,1528.7
534.817,1508.2
534.953,1489.8
535.09,1451.5
535.226,1441.9
535.362,1431.9
535.498,1425.7
535.634,1425.3
535.771,1410.1
535.907,1405.5
536.043,1386.4
536.179,1390.0
536.315,1379.0
536.451,1358.1
536.588,1372.7
536.724,1369.1
536.86,1368.8
536.996,1368.3
537.132,1369.7
537.268,1362.2
537.404,1367.5
537.54,1360.9
537.676,1367.5
537.812,1373.4
537.948,1366.9
538.084,1376.0
538.22,1376.9
538.357,1380.3
538.493,1380.0
538.629,1380.6
538.765,1386.4
538.901,1373.7
539.037,1390.5
539.173,1386.7
539.309,1384.5
539.444,1405.8
539.58,1404.4
539.716,1408.4
539.852,1416.4
539.988,1425.7
540.124,1425.2
540.26,1415.1
540.396,1406.8
540.532,1408.6
540.668,1419.7
540.804,1414.5
540.94,1417.7
541.076,1412.6
541.211,1417.9
541.347,1411.0
541.483,1409.7
541.619,1425.6
541.755,1431.4
541.891,1421.1
542.026,1421.7
542.162,1435.5
542.298,1427.3
542.434,1442.8
542.57,1441.9
542.705,1440.9
542.841,1441.8
542.977,1445.8
543.113,1448.6
543.249,1452.0
543.384,1453.2
543.52,1453.0
543.656,1457.3
543.791,1461.2
543.927,1464.1
544.063,1464.6
544.199,1459.9
544.334,1464.3
544.47,1469.7
544.606,1471.8
544.741,1473.9
544.877,1471.8
545.013,1472.1
545.148,1480.5
545.284,1482.2
545.42,1494.4
545.555,1491.4
545.691,1490.3
545.827,1495.3
545.962,1502.9
546.098,1490.3
546.233,1489.6
546.369,1496.7
546.504,1501.1
546.64,1502.3
546.776,1503.3
546.911,1496.7
547.047,1512.1
547.182,1506.8
547.318,1500.1
547.453,1503.7
547.589,1518.0
547.724,1517.2
547.86,1524.2
547.995,1518.6
548.131,1518.0
548.266,1522.9
548.402,1521.8
548.537,1532.1
548.673,1532.1
548.808,1541.7
548.944,1552.0
549.079,1543.9
549.214,1538.7
549.35,1543.9
549.485,1536.9
549.621,1543.9
549.756,1547.2
549.892,1547.0
550.027,1551.4
550.162,1552.5
550.298,1556.0
550.433,1570.3
550.568,1616.4
550.704,1694.1
550.839,1642.0
550.974,1573.4
551.11,1570.0
551.245,1568.8
551.38,1572.5
551.516,1565.9
551.651,1582.2
551.786,1587.2
551.922,1584.3
552.057,1586.8
552.192,1583.4
552.327,1579.7
552.463,1579.6
552.598,1596.0
552.733,1617.0
552.868,1637.9
553.004,1626.3
553.139,1600.0
553.274,1601.8
553.409,1597.3
553.544,1613.5
553.68,1614.1
553.815,1620.3
553.95,1608.2
554.085,1620.4
554.22,1618.6
554.356,1620.1
554.491,1621.1
554.626,1624.5
554.761,1638.1
554.896,1621.6
555.031,1629.1
555.166,1635.9
555.301,1639.5
555.437,1652.8
555.572,1653.1
555.707,1665.1
555.842,1656.5
555.977,1661.7
556.112,1660.3
556.247,1664.3
556.382,1672.7
556.517,1671.3
556.652,1679.4
556.787,1677.4
556.922,1684.4
557.057,1689.2
557.192,1703.0
557.327,1738.6
557.462,1779.9
557.597,1861.3
557.732,1869.8
557.867,1800.5
558.002,1740.1
558.137,1707.9
558.272,1715.8
558.407,1701.7
