nm,Intensity
526.532,830.66
526.669,830.4
526.805,830.88
526.942,830.98
527.079,830.66
527.216,830.48
527.352,829.96
527.489,830.18
527.625,830.68
527.762,830.48
527.899,830.64
528.035,829.8
528.172,830.78
528.309,831.64
528.445,830.9
528.582,830.3
528.718,830.08
528.855,830.94
528.992,830.96
529.128,830.66
529.265,830.84
529.401,830.36
529.538,830.76
529.674,830.18
529.811,830.66
529.947,830.44
530.084,830.2
530.22,830.92
530.357,830.52
530.493,830.66
530.63,830.0
530.766,830.16
530.903,830.56
531.039,831.04
531.176,830.1
531.312,830.38
531.449,830.7
531.585,830.94
531.721,830.8
531.858,830.96
531.994,837.8
532.131,864.08
532.267,858.86
532.403,834.7
532.54,831.54
532.676,830.78
532.812,830.78
532.949,831.0
533.085,830.52
533.221,830.74
533.358,831.38
533.494,832.7
533.63,850.38
533.767,987.78
533.903,1513.52
534.039,2125.9
534.176,2320.82
534.312,2283.86
534.448,2214.42
534.584,2148.58
534.721,2102.86
534.857,2037.22
534.993,1964.22
535.129,1903.16
535.266,1868.06
535.402,1844.5
535.538,1828.32
535.674,1804.9
535.81,1774.56
535.947,1741.36
536.083,1712.64
536.219,1685.58
536.355,1665.92
536.491,1644.8
536.627,1633.54
536.764,1632.96
536.9,1627.1
537.036,1636.68
537.172,1621.92
537.308,1612.48
537.444,1607.24
537.58,1599.66
537.716,1591.5
537.852,1597.32
537.988,1601.26
538.125,1600.9
538.261,1602.0
538.397,1608.14
538.533,1607.2
538.669,1609.8
538.805,1605.42
538.941,1605.28
539.077,1611.46
539.213,1614.26
539.349,1616.32
539.485,1631.44
539.621,1635.48
539.757,1652.82
539.893,1662.22
540.029,1667.44
540.165,1667.22
540.301,1661.7
540.437,1644.0
540.572,1639.5
540.708,1640.1
540.844,1640.86
540.98,1642.58
541.116,1639.32
541.252,1642.42
541.388,1643.62
541.524,1641.1
541.66,1643.88
541.795,1646.88
541.931,1649.78
542.067,1658.26
542.203,1655.98
542.339,1654.84
542.475,1653.28
542.611,1665.7
542.746,1668.9
542.882,1674.88
543.018,1673.12
543.154,1677.16
543.289,1684.08
543.425,1679.02
543.561,1687.5
543.697,1690.34
543.833,1698.88
543.968,1698.64
544.104,1702.46
544.24,1698.86
544.375,1699.82
544.511,1702.06
544.647,1705.68
544.783,1709.42
544.918,1712.52
545.054,1713.9
545.19,1714.58
545.325,1722.06
545.461,1726.02
545.597,1727.3
545.732,1725.24
545.868,1733.6
546.004,1734.86
546.139,1733.7
546.275,1739.22
546.41,1741.48
546.546,1740.34
546.682,1747.82
546.817,1747.66
546.953,1749.36
547.088,1756.2
547.224,1758.04
547.36,1754.98
547.495,1755.48
547.631,1758.06
547.766,1764.76
547.902,1761.32
548.037,1763.08
548.173,1768.9
548.308,1777.58
548.444,1775.86
548.579,1786.24
548.715,1790.8
548.85,1795.06
548.986,1795.94
549.121,1792.86
549.257,1790.84
549.392,1799.5
549.528,1798.18
549.663,1799.34
549.798,1799.24
549.934,1806.5
550.069,1810.14
550.205,1803.7
550.34,1818.42
550.475,1860.0
550.611,2027.44
550.746,2117.4
550.882,1924.64
551.017,1835.08
551.152,1832.26
551.288,1829.26
551.423,1839.42
551.558,1840.72
551.694,1841.24
551.829,1843.82
551.964,1849.42
552.1,1851.9
552.235,1860.92
552.37,1856.24
552.505,1853.16
552.641,1871.52
552.776,1917.42
552.911,1934.58
553.047,1898.1
553.182,1871.52
553.317,1870.6
553.452,1870.1
553.588,1878.78
553.723,1879.32
553.858,1889.06
553.993,1885.88
554.128,1883.42
554.264,1891.7
554.399,1890.88
554.534,1896.08
554.669,1899.58
554.804,1902.98
554.939,1904.6
555.075,1909.88
555.21,1909.34
555.345,1927.0
555.48,1937.14
555.615,1961.02
555.75,1966.04
555.885,1957.22
556.02,1955.16
556.155,1956.92
556.291,1971.16
556.426,1976.1
556.561,1984.96
556.696,1991.62
556.831,1989.66
556.966,1994.48
557.101,2016.56
557.236,2054.56
557.371,2137.92
557.506,2278.9
557.641,2403.68
557.776,2367.0
557.911,2175.78
558.046,2068.48
558.181,2024.62
558.316,2019.02
558.451,2012.3
558.586,2010.18
558.721,1999.58
558.856,1998.3
558.991,1995.44
559.126,1992.34
559.261,1985.78
559.396,1991.98
559.531,1990.08
559.665,1996.98
559.8,1997.5
559.935,2010.06
560.07,2002.96
560.205,2008.16
560.34,2012.56
560.475,2021.12
560.61,2022.82
560.745,2021.98
560.879,2021.4
561.014,2029.74
561.149,2036.38
561.284,2040.88
561.419,2045.1
561.553,2050.72
561.688,2061.92
561.823,2078.6
561.958,2087.3
562.093,2105.94
562.227,2119.1
562.362,2101.6
562.497,2087.28
562.632,2085.14
562.767,2085.42
562.901,2092.9
563.036,2092.56
563.171,2100.5
563.305,2101.74
563.44,2105.32
563.575,2107.32
563.71,2115.7
563.844,2115.96
563.979,2125.68
564.114,2130.04
564.248,2144.0
564.383,2153.38
564.518,2173.9
564.652,2200.6
564.787,2235.42
564.922,2292.1
565.056,2371.24
565.191,2388.22
565.325,2336.8
565.46,2302.48
565.595,2303.62
565.729,2322.42
565.864,2342.2
565.999,2319.42
566.133,2285.76
566.268,2253.58
566.402,2219.96
566.537,2211.14
566.671,2184.72
566.806,2177.06
566.94,2179.84
567.075,2170.64
567.21,2184.38
567.344,2191.1
567.479,2223.24
567.613,2259.06
567.748,2290.66
567.882,2292.82
568.017,2288.48
568.151,2256.26
568.285,2235.7
568.42,2225.78
568.554,2221.96
568.689,2224.8
568.823,2226.68
568.958,2220.96
569.092,2240.08
569.227,2229.88
569.361,2247.54
569.495,2252.36
569.63,2264.7
569.764,2270.04
569.899,2277.26
570.033,2289.34
570.167,2294.08
570.302,2306.1
570.436,2334.02
570.571,2364.32
570.705,2402.8
570.839,2454.7
570.974,2536.66
571.108,2639.2
571.242,2725.3
571.377,2781.54
571.511,2771.72
571.645,2672.92
571.78,2566.0
571.914,2511.2
572.048,2483.54
572.182,2434.22
572.317,2390.96
572.451,2366.28
572.585,2351.26
572.719,2342.26
572.854,2348.0
572.988,2343.44
573.122,2339.82
573.256,2348.34
573.391,2351.3
573.525,2353.02
573.659,2357.22
573.793,2365.14
573.927,2377.66
574.062,2382.36
574.196,2375.04
574.33,2380.4
574.464,2368.76
574.598,2377.72
574.733,2381.86
574.867,2389.18
575.001,2388.5
575.135,2407.48
575.269,2438.4
575.403,2477.06
575.537,2488.26
575.671,2461.56
575.806,2419.84
575.94,2412.08
576.074,2417.02
576.208,2420.92
576.342,2439.56
576.476,2444.58
576.61,2461.6
576.744,2466.48
576.878,2472.86
577.012,2477.0
577.146,2483.34
577.28,2477.52
577.414,2465.18
577.548,2455.6
577.682,2454.02
577.817,2442.3
577.951,2439.88
578.085,2439.74
578.219,2445.74
578.353,2447.84
578.486,2451.54
578.62,2458.34
578.754,2459.84
578.888,2462.86
579.022,2466.02
579.156,2463.46
579.29,2467.22
579.424,2473.48
579.558,2474.26
579.692,2469.84
579.826,2478.22
579.96,2474.66
580.094,2474.9
580.228,2489.56
580.362,2485.68
580.496,2496.46
580.629,2500.74
580.763,2505.06
580.897,2524.92
581.031,2525.16
581.165,2535.16
581.299,2541.26
581.433,2557.5
581.566,2611.68
581.7,2711.12
581.834,2919.74
581.968,3348.34
582.102,4077.4
582.236,4494.04
582.369,3853.66
582.503,3044.62
582.637,2740.8
582.771,2642.56
582.905,2602.2
583.038,2583.7
583.172,2579.0
583.306,2573.7
583.44,2570.42
583.573,2570.46
583.707,2575.08
583.841,2570.04
583.975,2570.94
584.108,2577.76
584.242,2582.88
584.376,2586.76
584.509,2591.6
584.643,2599.32
584.777,2601.4
584.911,2610.76
585.044,2616.52
585.178,2641.3
585.312,2672.44
585.445,2730.44
585.579,2872.62
585.713,3091.2
585.846,3349.76
585.98,3570.64
586.113,3630.78
586.247,3492.2
586.381,3316.7
586.514,3146.06
586.648,2977.02
586.782,2833.86
586.915,2754.34
587.049,2716.34
587.182,2690.98
587.316,2671.68
587.45,2669.08
587.583,2665.22
587.717,2661.86
587.85,2653.04
587.984,2652.9
588.117,2654.6
588.251,2641.86
588.384,2648.64
588.518,2636.32
588.651,2643.34
588.785,2632.5
588.919,2637.48
589.052,2637.0
589.186,2636.22
589.319,2638.16
589.453,2634.82
589.586,2638.78
589.72,2642.68
589.853,2646.76
589.986,2644.28
590.12,2651.2
590.253,2646.66
590.387,2655.12
590.52,2651.92
590.654,2659.38
590.787,2658.96
590.921,2663.14
591.054,2668.26
591.187,2670.52
591.321,2673.46
591.454,2681.3
591.588,2673.38
591.721,2673.62
591.854,2672.78
591.988,2674.26
592.121,2668.56
592.255,2669.1
592.388,2671.38
592.521,2680.62
592.655,2672.04
592.788,2676.14
592.921,2676.18
593.055,2674.68
593.188,2676.2
593.321,2678.92
593.455,2672.48
593.588,2676.9
593.721,2681.72
593.855,2679.28
593.988,2680.4
594.121,2692.12
594.255,2688.6
594.388,2705.38
594.521,2700.36
594.654,2701.34
594.788,2698.8
594.921,2710.58
595.054,2714.46
595.187,2720.64
595.321,2720.28
595.454,2721.98
595.587,2721.86
595.72,2732.22
595.854,2731.22
595.987,2744.04
596.12,2737.88
596.253,2741.2
596.387,2732.16
596.52,2738.82
596.653,2741.04
596.786,2751.84
596.919,2754.02
597.052,2756.52
597.186,2759.44
597.319,2751.78
597.452,2764.72
597.585,2756.96
597.718,2765.82
597.851,2775.6
597.985,2775.98
598.118,2787.44
598.251,2790.24
598.384,2788.26
598.517,2789.16
598.65,2796.22
598.783,2797.96
598.916,2806.64
599.049,2816.74
599.183,2813.08
599.316,2811.8
599.449,2806.56
599.582,2806.68
599.715,2818.44
599.848,2818.46
599.981,2813.04
600.114,2826.02
600.247,2819.9
600.38,2810.78
600.513,2813.64
600.646,2818.02
600.779,2800.52
600.912,2808.66
601.045,2814.98
601.178,2809.7
601.311,2814.34
601.444,2819.18
601.577,2825.26
601.71,2816.8
601.843,2816.36
601.976,2825.42
602.109,2826.04
602.242,2834.0
602.375,2832.18
602.508,2840.62
602.641,2842.8
602.774,2848.42
602.907,2855.62
603.04,2864.74
603.173,2860.88
603.306,2861.56
603.439,2871.88
603.572,2873.5
603.705,2880.28
603.838,2872.5
603.971,2884.64
604.103,2879.26
604.236,2882.44
604.369,2881.96
604.502,2877.28
604.635,2877.74
604.768,2878.42
604.901,2872.38
605.034,2873.72
605.167,2869.84
605.299,2869.6
605.432,2855.46
605.565,2864.84
605.698,2867.62
605.831,2872.56
605.964,2864.44
606.096,2859.4
606.229,2854.84
606.362,2855.18
606.495,2863.98
606.628,2860.9
606.761,2875.18
606.893,2876.34
607.026,2882.44
607.159,2894.3
