nm,Intensity
526.508,830.2
526.645,830.2
526.782,829.9
526.919,830.9
527.055,829.9
527.192,831.7
527.329,830.6
527.465,830.6
527.602,830.5
527.739,830.3
527.875,829.3
528.012,829.7
528.149,829.1
528.285,830.7
528.422,830.6
528.558,829.9
528.695,829.1
528.832,830.1
528.968,828.7
529.105,831.1
529.241,828.2
529.378,829.7
529.514,831.6
529.651,830.7
529.787,830.6
529.924,829.6
530.061,829.9
530.197,830.8
530.334,829.8
530.47,829.9
530.606,832.0
530.743,829.3
530.879,831.6
531.016,831.2
531.152,830.7
531.289,830.7
531.425,829.7
531.562,830.8
531.698,832.3
531.834,830.2
531.971,834.5
532.107,860.4
532.244,874.6
532.38,841.4
532.516,831.4
532.653,831.3
532.789,831.2
532.925,830.9
533.062,831.0
533.198,830.0
533.334,828.6
533.471,832.3
533.607,837.9
533.743,892.3
533.879,1188.1
534.016,1673.9
534.152,1905.6
534.288,1896.6
534.424,1845.0
534.561,1794.0
534.697,1765.0
534.833,1705.1
534.969,1657.1
535.106,1603.3
535.242,1566.5
535.378,1531.9
535.514,1518.3
535.65,1483.3
535.786,1478.6
535.923,1455.7
536.059,1434.6
536.195,1418.0
536.331,1397.9
536.467,1387.2
536.603,1375.3
536.739,1377.8
536.876,1368.4
537.012,1364.8
537.148,1362.2
537.284,1357.5
537.42,1351.7
537.556,1348.2
537.692,1345.4
537.828,1341.2
537.964,1341.8
538.1,1347.1
538.236,1349.0
538.372,1355.4
538.508,1352.4
538.644,1353.0
538.78,1350.3
538.916,1359.6
539.052,1357.0
539.188,1356.7
539.324,1353.6
539.46,1368.3
539.596,1378.0
539.732,1390.6
539.868,1383.4
540.004,1403.4
540.14,1409.7
540.275,1388.2
540.411,1381.7
540.547,1375.3
540.683,1377.4
540.819,1377.3
540.955,1377.6
541.091,1373.4
541.227,1368.4
541.362,1376.1
541.498,1367.1
541.634,1374.1
541.77,1372.5
541.906,1368.5
542.041,1380.3
542.177,1380.7
542.313,1375.8
542.449,1378.6
542.585,1381.3
542.72,1390.3
542.856,1380.4
542.992,1382.9
543.128,1398.3
543.263,1395.1
543.399,1388.9
543.535,1389.3
543.67,1400.4
543.806,1407.0
543.942,1406.8
544.078,1406.7
544.213,1402.8
544.349,1410.3
544.485,1408.5
544.62,1405.6
544.756,1419.4
544.892,1414.0
545.027,1417.6
545.163,1420.2
545.298,1423.2
545.434,1421.8
545.57,1430.5
545.705,1428.0
545.841,1426.1
545.976,1430.5
546.112,1434.9
546.248,1436.2
546.383,1433.2
546.519,1435.6
546.654,1434.1
546.79,1435.0
546.925,1438.3
547.061,1440.9
547.196,1440.4
547.332,1450.3
547.467,1446.2
547.603,1456.0
547.738,1453.3
547.874,1461.1
548.009,1448.4
548.145,1462.6
548.28,1456.8
548.416,1462.0
548.551,1463.4
548.686,1463.6
548.822,1479.0
548.957,1478.4
549.093,1480.8
549.228,1471.9
549.363,1472.4
549.499,1464.9
549.634,1490.5
549.77,1490.7
549.905,1478.6
550.04,1480.0
550.176,1482.6
550.311,1481.9
550.446,1503.0
550.582,1622.3
550.717,1764.2
550.852,1625.6
550.988,1509.8
551.123,1505.0
551.258,1491.0
551.394,1501.5
551.529,1502.0
551.664,1496.1
551.799,1508.5
551.935,1503.5
552.07,1508.9
552.205,1518.1
552.34,1506.6
552.476,1516.3
552.611,1527.9
552.746,1556.3
552.881,1589.6
553.016,1564.3
553.152,1529.1
553.287,1529.4
553.422,1525.5
553.557,1522.3
553.692,1524.3
553.827,1540.5
553.963,1536.5
554.098,1533.5
554.233,1545.8
554.368,1543.3
554.503,1540.9
554.638,1550.9
554.773,1546.5
