nm,Intensity
526.486,830.2
526.622,830.2
526.759,830.4
526.896,828.3
527.033,829.8
527.169,830.2
527.306,830.8
527.443,829.3
527.579,831.4
527.716,829.9
527.853,829.3
527.989,830.5
528.126,828.9
528.263,829.3
528.399,829.3
528.536,829.3
528.672,830.2
528.809,830.3
528.946,829.6
529.082,828.7
529.219,828.7
529.355,829.8
529.492,828.6
529.628,830.3
529.765,829.1
529.901,827.1
530.038,830.4
530.174,830.2
530.311,830.8
530.447,828.8
530.584,828.6
530.72,829.6
530.857,828.6
530.993,829.0
531.13,829.7
531.266,828.9
531.403,828.2
531.539,829.9
531.676,830.1
531.812,829.5
531.948,829.1
532.085,835.6
532.221,838.9
532.358,833.4
532.494,829.7
532.63,830.3
532.767,829.2
532.903,830.6
533.039,829.5
533.176,829.4
533.312,829.5
533.448,831.7
533.585,836.2
533.721,871.5
533.857,1108.3
533.993,1615.8
534.13,1978.4
534.266,2043.0
534.402,2015.4
534.539,1977.2
534.675,1971.8
534.811,1935.9
534.947,1914.1
535.083,1872.9
535.22,1834.3
535.356,1835.3
535.492,1831.2
535.628,1834.3
535.764,1827.8
535.901,1815.8
536.037,1800.9
536.173,1793.6
536.309,1784.2
536.445,1777.4
536.581,1779.4
536.717,1777.0
536.854,1763.5
536.99,1773.1
537.126,1789.3
537.262,1785.7
537.398,1775.1
537.534,1781.8
537.67,1777.7
537.806,1778.1
537.942,1788.5
538.078,1803.3
538.214,1811.6
538.35,1818.3
538.486,1815.8
538.622,1808.4
538.758,1816.1
538.894,1817.3
539.03,1814.6
539.166,1832.1
539.302,1836.8
539.438,1845.9
539.574,1842.4
539.71,1854.9
539.846,1860.6
539.982,1882.5
540.118,1882.8
540.254,1870.0
540.39,1872.5
540.526,1861.3
540.662,1863.7
540.798,1876.7
540.933,1874.4
541.069,1866.5
541.205,1882.8
541.341,1885.2
541.477,1889.2
541.613,1895.2
541.749,1889.2
541.884,1888.8
542.02,1897.1
542.156,1903.7
542.292,1901.8
542.428,1899.9
542.563,1916.1
542.699,1911.8
542.835,1925.1
542.971,1935.6
543.106,1933.1
543.242,1939.1
543.378,1933.7
543.514,1945.7
543.649,1948.9
543.785,1947.2
543.921,1971.8
544.057,1969.5
544.192,1969.8
544.328,1968.5
544.464,1975.9
544.599,1967.7
544.735,1972.5
544.871,1986.1
545.006,1991.9
545.142,1998.3
545.278,2004.2
545.413,2012.6
545.549,2004.0
545.684,2006.1
545.82,2003.1
545.956,2011.9
546.091,2007.5
546.227,2019.1
546.362,2019.6
546.498,2020.7
546.634,2036.9
546.769,2046.0
546.905,2037.9
547.04,2043.0
547.176,2035.4
547.311,2057.8
547.447,2044.4
547.582,2049.4
547.718,2047.1
547.853,2053.8
547.989,2045.0
548.124,2057.9
548.26,2071.9
548.395,2064.4
548.531,2069.2
548.666,2071.8
548.802,2087.6
548.937,2110.7
549.072,2099.5
549.208,2099.8
549.343,2101.8
549.479,2088.1
549.614,2112.3
549.75,2111.7
549.885,2114.9
550.02,2110.5
550.156,2109.8
550.291,2107.1
550.426,2131.9
550.562,2189.1
550.697,2291.7
550.832,2245.9
550.968,2146.7
551.103,2150.5
551.238,2151.5
551.374,2148.9
551.509,2164.4
551.644,2162.4
551.78,2172.3
551.915,2173.9
552.05,2177.1
552.185,2157.2
552.321,2176.2
552.456,2178.9
552.591,2181.0
552.726,2197.4
552.862,2227.4
552.997,2228.3
553.132,2203.3
553.267,2204.4
553.403,2196.6
553.538,2207.2
553.673,2209.4
553.808,2208.8
553.943,2222.8
554.078,2225.5
554.214,2239.5
554.349,2224.1
554.484,2235.7
554.619,2238.9
554.754,2243.4
554.889,2239.9
555.024,2246.9
555.16,2250.5
555.295,2245.6
555.43,2243.9
555.565,2271.1
555.7,2275.9
555.835,2269.7
555.97,2281.0
556.105,2275.1
556.24,2280.3
556.375,2293.2
556.51,2288.3
556.645,2311.7
556.78,2314.5
556.915,2311.1
557.05,2319.0
557.185,2343.4
557.32,2384.6
557.455,2448.2
557.59,2538.4
557.725,2576.6
557.86,2473.9
557.995,2382.3
558.13,2357.5
558.265,2353.9
558.4,2346.3
558.535,2354.8
558.67,2329.2
558.805,2345.1
558.94,2334.4
559.075,2346.5
559.21,2340.0
559.345,2358.5
559.479,2353.8
559.614,2359.7
559.749,2368.3
559.884,2371.4
560.019,2367.2
560.154,2395.4
560.289,2393.8
560.424,2390.3
560.558,2406.1
560.693,2405.1
560.828,2411.3
560.963,2413.9
