nm,Intensity
526.5,830.1
526.637,830.3
526.774,830.1
526.91,829.7
527.047,830.2
527.184,829.3
527.32,829.3
527.457,830.4
527.594,829.5
527.73,829.5
527.867,830.6
528.004,830.3
528.14,829.6
528.277,828.9
528.414,828.9
528.55,829.7
528.687,829.7
528.823,830.7
528.96,829.2
529.096,829.0
529.233,829.8
529.37,829.9
529.506,830.7
529.643,829.7
529.779,830.4
529.916,830.2
530.052,829.6
530.189,830.1
530.325,830.7
530.462,829.7
530.598,830.4
530.735,830.8
530.871,829.7
531.008,830.6
531.144,830.6
531.28,830.9
531.417,830.6
531.553,828.8
531.69,830.6
531.826,830.5
531.962,836.0
532.099,877.4
532.235,884.3
532.372,842.8
532.508,831.6
532.644,830.1
532.781,829.4
532.917,831.2
533.053,829.8
533.19,829.5
533.326,829.3
533.462,832.4
533.599,845.4
533.735,973.3
533.871,1529.2
534.007,2361.8
534.144,2701.1
534.28,2689.3
534.416,2634.7
534.552,2585.9
534.689,2571.2
534.825,2520.6
534.961,2417.8
535.097,2353.7
535.234,2333.4
535.37,2321.4
535.506,2306.6
535.642,2288.2
535.778,2259.5
535.914,2242.8
536.051,2222.2
536.187,2206.8
536.323,2196.5
536.459,2185.6
536.595,2167.0
536.731,2164.1
536.867,2173.9
537.003,2165.9
537.14,2171.4
537.276,2166.0
537.412,2171.1
537.548,2170.4
537.684,2163.6
537.82,2173.9
537.956,2172.0
538.092,2186.2
538.228,2206.2
538.364,2202.0
538.5,2205.2
538.636,2217.0
538.772,2204.5
538.908,2213.1
539.044,2209.2
539.18,2217.5
539.316,2217.3
539.452,2245.8
539.588,2256.8
539.724,2269.6
539.86,2285.9
539.996,2293.7
540.132,2308.3
540.268,2287.2
540.403,2283.3
540.539,2262.1
540.675,2273.3
540.811,2278.7
540.947,2282.0
541.083,2287.6
541.219,2284.9
541.355,2271.0
541.49,2291.1
541.626,2288.0
541.762,2296.9
541.898,2291.7
542.034,2321.7
542.17,2298.2
542.305,2319.5
542.441,2320.2
542.577,2333.5
542.713,2343.2
542.848,2348.0
542.984,2356.9
543.12,2349.3
543.256,2363.0
543.391,2372.5
543.527,2372.6
543.663,2379.6
543.799,2387.1
543.934,2394.9
544.07,2419.3
544.206,2410.4
544.341,2408.5
544.477,2394.8
544.613,2407.9
544.748,2430.6
544.884,2435.8
545.02,2430.3
