nm,Intensity
526.5,828.6
526.637,828.1
526.774,828.5
526.91,828.2
527.047,828.5
527.184,828.9
527.32,827.4
527.457,829.9
527.594,828.1
527.73,828.8
527.867,827.3
528.004,827.3
528.14,828.6
528.277,828.5
528.414,829.0
528.55,828.9
528.687,828.2
528.823,828.6
528.96,827.5
529.096,829.6
529.233,828.8
529.37,828.0
529.506,828.7
529.643,828.4
529.779,828.6
529.916,828.7
530.052,829.9
530.189,828.9
530.325,828.3
530.462,828.0
530.598,828.6
530.735,829.4
530.871,829.2
531.008,829.7
531.144,829.2
531.28,828.8
531.417,828.0
531.553,830.5
531.69,829.4
531.826,827.9
531.962,836.4
532.099,884.5
532.235,901.9
532.372,842.3
532.508,829.8
532.644,828.0
532.781,828.4
532.917,827.8
533.053,827.5
533.19,829.5
533.326,827.9
533.462,831.1
533.599,833.3
533.735,871.0
533.871,1056.8
534.007,1338.1
534.144,1477.0
534.28,1483.8
534.416,1472.4
534.552,1454.5
534.689,1446.5
534.825,1442.8
534.961,1410.1
535.097,1390.0
535.234,1382.1
535.37,1380.4
535.506,1382.4
535.642,1369.9
535.778,1368.6
535.914,1361.4
536.051,1354.5
536.187,1356.2
536.323,1355.7
536.459,1345.3
536.595,1351.3
536.731,1346.0
536.867,1349.5
537.003,1349.1
537.14,1355.1
537.276,1344.8
537.412,1350.3
537.548,1348.1
537.684,1348.5
537.82,1354.3
537.956,1354.2
538.092,1361.2
538.228,1365.3
538.364,1366.7
538.5,1359.9
538.636,1363.6
538.772,1364.8
538.908,1368.1
539.044,1366.6
539.18,1371.1
539.316,1381.1
539.452,1377.9
539.588,1381.0
539.724,1392.8
539.86,1404.1
539.996,1402.3
540.132,1399.4
540.268,1394.0
540.403,1411.5
540.539,1394.4
540.675,1400.8
540.811,1393.5
540.947,1401.6
541.083,1398.5
541.219,1403.8
541.355,1405.2
541.49,1413.8
541.626,1404.3
541.762,1410.0
541.898,1412.1
542.034,1420.2
542.17,1412.6
542.305,1418.3
542.441,1412.6
542.577,1430.3
542.713,1419.1
542.848,1424.7
542.984,1427.4
543.12,1437.3
543.256,1434.7
543.391,1434.9
543.527,1432.9
543.663,1444.2
543.799,1442.1
543.934,1453.2
544.07,1446.3
544.206,1442.1
544.341,1450.2
544.477,1443.3
544.613,1455.1
544.748,1453.8
544.884,1461.8
545.02,1453.8
545.155,1469.2
545.291,1470.9
545.427,1463.6
545.562,1472.1
545.698,1475.5
545.833,1469.3
545.969,1463.1
546.105,1478.1
546.24,1481.9
546.376,1477.9
546.511,1473.7
546.647,1480.3
546.782,1476.4
546.918,1482.9
547.053,1491.2
547.189,1484.9
547.325,1494.6
547.46,1495.7
547.596,1487.1
547.731,1489.4
547.867,1494.0
548.002,1497.3
548.137,1497.6
548.273,1503.9
548.408,1497.2
548.544,1500.7
548.679,1508.3
548.815,1510.8
548.95,1517.0
549.086,1515.9
549.221,1518.7
549.356,1513.4
549.492,1519.9
549.627,1516.0
549.763,1517.2
549.898,1519.2
550.033,1525.0
550.169,1513.9
550.304,1527.0
550.439,1533.6
550.575,1566.2
550.71,1613.9
550.845,1581.0
550.981,1540.8
551.116,1534.6
551.251,1531.2
551.387,1534.7
551.522,1541.1
551.657,1553.3
551.793,1548.9
551.928,1552.4
552.063,1539.6
552.198,1554.6
552.334,1549.2
552.469,1549.1
552.604,1563.7
552.739,1559.2
552.874,1587.1
553.01,1568.5
553.145,1566.0
553.28,1564.7
553.415,1552.0
553.55,1566.5
553.686,1581.9
553.821,1575.3
553.956,1578.8
554.091,1576.4
554.226,1575.0
554.361,1581.8
554.497,1582.0
554.632,1586.1
554.767,1592.5
554.902,1580.8
555.037,1593.3
555.172,1587.5
555.307,1593.0
555.442,1600.4
555.577,1611.4
555.712,1614.8
555.848,1607.6
555.983,1600.2
556.118,1609.3
556.253,1617.3
556.388,1616.9
556.523,1621.8
556.658,1623.0
556.793,1629.4
556.928,1634.9
557.063,1629.5
557.198,1660.4
557.333,1657.4
557.468,1709.6
557.603,1760.2
557.738,1740.9
557.873,1702.3
558.008,1668.1
558.142,1640.0
558.277,1643.4
558.412,1638.5
558.547,1636.9
558.682,1650.8
558.817,1641.6
558.952,1639.4
559.087,1636.3
559.222,1650.1
559.357,1644.7
559.492,1644.7
559.626,1652.6
559.761,1653.2
559.896,1665.1
560.031,1656.0
560.166,1665.9
560.301,1664.3
560.435,1670.2
560.57,1679.7
560.705,1673.0
560.84,1673.6
560.975,1689.3
561.109,1681.4
561.244,1681.8
561.379,1685.1
561.514,1686.5
561.649,1689.5
561.783,1704.3
561.918,1700.5
562.053,1720.7
562.188,1723.9
562.322,1705.6
562.457,1719.5
562.592,1705.8
562.726,1709.2
562.861,1711.7
562.996,1717.3
563.131,1712.0
563.265,1715.5
563.4,1735.5
563.535,1732.4
563.669,1728.7
563.804,1739.3
563.939,1744.3
564.073,1748.3
564.208,1741.8
564.342,1756.8
564.477,1764.6
564.612,1774.5
564.746,1792.5
564.881,1790.8
565.015,1829.1
565.15,1845.2
565.285,1831.8
565.419,1821.0
565.554,1810.9
565.688,1820.9
565.823,1821.7
565.957,1828.4
566.092,1818.2
566.227,1798.6
566.361,1796.3
566.496,1784.5
566.63,1784.8
566.765,1778.1
566.899,1780.2
567.034,1794.2
567.168,1786.2
567.303,1778.1
567.437,1783.2
567.572,1800.2
567.706,1812.7
567.84,1821.5
567.975,1808.1
568.109,1812.4
568.244,1801.0
568.378,1801.5
568.513,1808.8
568.647,1818.7
568.781,1812.1
568.916,1819.6
569.05,1826.8
569.185,1813.9
569.319,1837.7
569.453,1836.4
569.588,1832.7
569.722,1831.4
569.857,1847.4
569.991,1842.2
570.125,1856.8
570.26,1857.7
570.394,1861.9
570.528,1876.0
570.663,1888.8
570.797,1900.7
570.931,1932.6
571.065,1985.4
571.2,2011.3
571.334,2041.3
571.468,2050.9
571.603,2020.1
571.737,1959.0
571.871,1945.4
572.005,1940.3
572.14,1927.1
572.274,1899.1
572.408,1900.0
572.542,1901.2
572.677,1877.2
572.811,1887.8
572.945,1877.4
573.079,1897.3
573.213,1890.9
573.348,1897.7
573.482,1901.9
573.616,1897.3
573.75,1903.7
573.884,1909.4
574.018,1910.7
574.153,1909.8
574.287,1910.4
574.421,1901.8
574.555,1921.7
574.689,1918.2
574.823,1912.3
574.957,1934.3
575.092,1920.8
575.226,1943.6
575.36,1945.4
575.494,1958.4
575.628,1961.9
575.762,1945.1
575.896,1956.0
576.03,1932.2
576.164,1935.6
576.298,1947.7
576.432,1954.3
576.566,1956.7
576.7,1946.9
576.834,1955.4
576.968,1965.9
577.103,1968.7
577.237,1963.4
577.371,1977.0
577.505,1962.7
577.639,1970.7
577.773,1965.7
577.907,1973.6
578.04,1952.1
578.174,1956.3
578.308,1959.7
578.442,1964.5
578.576,1989.2
578.71,1980.8
578.844,1971.8
578.978,1973.7
579.112,1972.3
579.246,1987.1
579.38,1989.8
579.514,1974.0
579.648,1981.2
579.782,1983.9
579.916,1994.0
580.049,1983.9
580.183,2000.7
580.317,2006.7
580.451,2007.2
580.585,2009.1
580.719,2005.1
580.853,1996.3
580.986,2006.1
581.12,2007.8
581.254,2011.3
581.388,2017.5
581.522,2034.8
581.656,2072.6
581.789,2136.4
581.923,2296.4
582.057,2559.7
582.191,2809.2
582.325,2649.0
582.458,2290.9
582.592,2121.6
582.726,2080.6
582.86,2048.4
582.993,2040.3
583.127,2041.9
583.261,2048.6
583.395,2029.8
583.528,2050.2
583.662,2047.7
583.796,2050.1
583.93,2049.7
584.063,2055.6
584.197,2041.4
584.331,2052.9
584.464,2061.5
584.598,2059.4
584.732,2059.7
584.865,2061.1
584.999,2057.0
585.133,2073.3
585.266,2082.2
585.4,2100.5
585.534,2152.0
585.667,2226.2
585.801,2298.8
585.935,2394.0
586.068,2448.6
586.202,2412.6
586.336,2339.6
586.469,2275.1
586.603,2221.2
586.736,2172.5
586.87,2129.4
587.004,2116.7
587.137,2110.2
587.271,2104.2
587.404,2103.9
587.538,2098.8
587.671,2101.3
587.805,2097.3
587.938,2086.0
588.072,2081.3
588.206,2086.2
588.339,2081.6
588.473,2089.8
588.606,2091.9
588.74,2081.0
588.873,2087.4
589.007,2084.7
589.14,2086.7
589.274,2090.5
589.407,2087.8
589.541,2072.5
589.674,2089.0
589.808,2099.5
589.941,2087.7
590.074,2091.6
590.208,2110.3
590.341,2088.9
590.475,2087.1
590.608,2098.3
590.742,2085.7
590.875,2111.2
591.009,2100.7
591.142,2101.1
591.275,2100.3
591.409,2103.9
591.542,2090.9
591.676,2102.5
591.809,2114.6
591.942,2099.0
592.076,2097.6
592.209,2108.0
592.342,2101.1
592.476,2102.5
592.609,2095.6
592.743,2094.0
592.876,2103.2
593.009,2096.6
593.143,2092.5
593.276,2101.3
593.409,2101.6
593.543,2110.2
593.676,2111.4
593.809,2099.4
593.942,2106.5
594.076,2106.3
594.209,2123.0
594.342,2101.5
594.476,2119.3
594.609,2115.0
594.742,2120.3
594.875,2112.4
595.009,2127.4
595.142,2119.4
595.275,2118.8
595.408,2135.5
595.542,2124.6
595.675,2143.7
595.808,2144.4
595.941,2137.9
596.075,2139.3
596.208,2140.1
596.341,2132.4
596.474,2133.2
596.607,2154.5
596.741,2146.1
596.874,2142.6
597.007,2149.1
597.14,2141.7
597.273,2143.6
597.406,2150.5
597.54,2155.2
597.673,2155.7
597.806,2148.6
597.939,2160.5
598.072,2162.5
598.205,2170.1
598.338,2170.0
598.472,2164.8
598.605,2177.4
598.738,2174.3
598.871,2170.0
599.004,2182.1
599.137,2176.4
599.27,2191.9
599.403,2170.8
599.536,2188.6
599.67,2180.4
599.803,2190.9
599.936,2173.5
600.069,2184.3
600.202,2177.7
600.335,2182.0
600.468,2189.9
600.601,2165.4
600.734,2185.9
600.867,2189.8
601.0,2183.5
601.133,2174.1
601.266,2193.2
601.399,2187.5
601.532,2170.6
601.665,2176.5
601.798,2185.3
601.931,2176.9
602.064,2188.7
602.197,2176.1
602.33,2187.4
602.463,2182.7
602.596,2192.0
602.729,2199.3
602.862,2199.1
602.995,2186.1
603.128,2202.1
603.261,2200.7
603.394,2203.5
603.527,2207.6
603.66,2208.3
603.793,2222.1
603.925,2218.9
604.058,2213.9
604.191,2211.8
604.324,2222.1
604.457,2212.9
604.59,2204.2
604.723,2201.5
604.856,2196.0
604.989,2205.3
605.122,2201.2
605.254,2201.9
605.387,2195.2
605.52,2193.7
605.653,2191.3
605.786,2200.0
605.919,2190.1
606.052,2197.5
606.184,2195.0
