cm-1,Intensity
-123.878,1860.5
-120.866,1861.6
-117.855,1860.5
-114.845,1859.85
-111.836,1861.15
-108.828,1860.15
-105.821,1858.95
-102.815,1859.4
-99.8104,1860.2
-96.8065,1861.1
-93.8036,1860.3
-90.8016,1861.3
-87.8007,1860.1
-84.8008,1859.0
-81.8019,1860.5
-78.8039,1860.15
-75.807,1861.55
-72.8111,1860.45
-69.8161,1859.3
-66.8222,1860.7
-63.8293,1861.9
-60.8373,1861.65
-57.8464,1861.25
-54.8564,1861.9
-51.8675,1859.5
-48.8795,1861.9
-45.8926,1862.6
-42.9066,1863.25
-39.9216,1894.05
-36.9377,1970.9
-33.9547,1863.4
-30.9727,1862.7
-27.9917,1863.55
-25.0117,1865.5
-22.0326,1866.2
-19.0546,1873.25
-16.0776,1891.9
-13.1015,1978.85
-10.1265,2279.4
-7.1524,2890.9
-4.17932,3626.75
-1.20723,3655.05
1.76388,3279.75
4.734,2498.9
7.70313,2004.55
10.6713,1877.0
13.6384,1865.7
16.6046,1864.55
19.5698,1863.95
22.534,1866.25
25.4972,1864.05
28.4595,1864.85
31.4207,1866.85
34.381,1865.75
37.3403,1866.7
40.2986,1870.1
43.256,1880.25
46.2123,1904.7
49.1677,1989.45
52.1221,2212.65
55.0755,2646.3
58.0279,3301.65
60.9794,3936.0
63.9299,4372.95
66.8794,4706.35
69.8279,4835.45
72.7754,4897.1
75.722,4887.15
78.6676,4833.65
81.6122,4736.45
84.5559,4717.95
87.4985,4777.8
90.4402,4808.35
93.381,4875.35
96.3207,4839.7
99.2595,4841.3
102.197,4830.25
105.134,4835.45
108.07,4819.6
111.005,4872.9
113.939,4993.25
116.872,4949.35
119.804,4927.8
122.735,4878.15
125.665,4900.5
128.594,4814.8
131.522,4771.2
134.449,4753.75
137.375,4754.25
140.301,4738.45
143.225,4771.65
146.148,4736.7
149.07,4755.95
151.992,4829.25
154.912,4877.3
157.832,4859.95
160.75,4826.25
163.668,4845.0
166.584,4874.85
169.5,4876.45
172.414,4884.65
175.328,4877.25
178.241,4893.85
181.153,4956.25
184.063,5021.85
186.973,4977.9
189.882,4897.3
192.79,4974.7
195.697,5000.55
198.603,5073.3
201.508,5071.4
204.412,5003.85
207.315,4983.1
210.217,5000.35
213.119,5045.3
216.019,5099.8
218.918,5104.15
221.816,5106.45
224.714,5069.25
227.61,5110.7
230.506,5144.4
233.4,5104.3
236.294,5045.7
239.187,5082.35
242.078,5193.5
244.969,5258.5
247.859,5271.5
250.748,5234.8
253.636,5295.65
256.523,5274.4
259.409,5297.75
262.294,5288.65
265.178,5322.15
268.061,5322.9
270.943,5319.1
273.824,5283.1
276.705,5285.4
279.584,5285.5
282.463,5388.4
285.34,5403.75
288.217,5443.3
291.092,5455.05
293.967,5471.3
296.841,5477.7
299.713,5508.9
302.585,5504.05
305.456,5496.2
308.326,5485.5
311.195,5436.4
314.063,5400.1
316.93,5466.5
319.797,5469.85
322.662,5483.75
325.526,5521.15
328.389,5571.05
331.252,5531.85
334.113,5551.25
336.974,5591.45
339.834,5597.65
342.692,5628.75
345.55,5628.2
348.407,5676.55
351.263,5616.9
354.118,5611.7
356.972,5695.0
359.825,5734.9
362.677,5690.8
365.529,5676.65
368.379,5727.9
371.228,5754.7
374.077,5786.25
376.924,5754.85
379.771,5673.95
382.616,5756.05
385.461,5901.5
388.305,5881.3
391.148,5834.5
393.99,5766.45
396.831,5724.5
399.671,5867.15
402.51,5944.4
405.348,5916.1
408.186,5905.35
411.022,5871.4
413.858,5979.4
416.692,6017.35
419.526,5947.05
422.359,5915.95
425.19,5965.95
428.021,6006.15
430.851,5959.85
433.68,5984.7
436.508,6036.5
439.335,6002.05
442.162,5904.0
444.987,5916.1
447.811,5971.0
450.635,6053.7
453.458,6118.3
456.279,6089.3
459.1,6066.85
461.92,6133.05
464.739,6154.3
467.557,6204.65
470.374,6149.55
473.19,6163.65
476.005,6206.0
478.82,6142.45
481.633,6129.65
484.445,6187.9
487.257,6204.2
490.068,6224.7
492.878,6279.55
495.686,6278.1
498.494,6247.95
501.301,6239.2
504.107,6274.2
506.913,6321.8
509.717,6275.95
512.52,6267.6
515.323,6205.25
518.124,6320.6
520.925,6345.85
523.725,6356.05
526.524,6283.1
529.322,6323.0
532.119,6314.1
534.915,6390.8
537.71,6443.95
540.504,6375.65
543.298,6392.05
546.09,6453.65
548.882,6474.6
551.673,6484.55
554.462,6477.65
557.251,6579.85
560.039,6628.5
562.826,6579.65
565.613,6570.6
568.398,6572.8
571.182,6551.55
573.966,6566.35
576.748,6532.5
579.53,6511.85
582.311,6660.45
585.091,6718.85
587.87,6667.0
590.648,6624.7
593.425,6497.95
596.201,6481.55
598.977,6574.9
601.751,6677.65
604.525,6695.3
607.298,6637.0
610.069,6600.1
612.84,6604.35
615.61,6647.2
618.38,6623.75
621.148,6698.0
623.915,6939.05
626.682,7066.4
629.447,7012.8
632.212,6987.7
634.976,6857.6
637.739,6737.2
640.501,6695.35
643.262,6736.65
646.022,6928.7
648.781,7006.15
651.54,6937.85
654.297,6862.75
657.054,6880.35
659.81,6920.75
662.565,6965.05
665.319,6991.9
668.072,6931.3
670.824,6949.9
673.575,6945.25
676.326,6923.0
679.075,6881.65
681.824,6987.35
684.572,7008.25
687.319,7067.05
690.065,7065.1
692.81,6955.2
695.554,6948.2
698.298,6984.9
701.04,7067.2
703.782,7090.25
706.522,7042.6
709.262,7093.8
712.001,7122.85
714.739,7059.1
717.477,7013.05
720.213,6942.7
722.948,7138.8
725.683,7245.9
728.417,7194.1
731.15,7035.45
733.882,7036.55
736.613,7131.2
739.343,7222.2
742.072,7164.85
744.801,7129.0
747.528,7290.9
750.255,7350.35
752.981,7311.25
755.706,7228.3
758.43,7153.6
761.153,7084.0
763.875,7241.4
766.597,7382.45
769.317,7386.7
772.037,7380.95
774.756,7284.45
777.474,7276.3
780.191,7399.2
782.907,7422.7
785.623,7434.45
788.337,7446.7
791.051,7518.85
793.764,7503.0
796.475,7548.7
799.186,7497.4
801.897,7465.2
804.606,7468.85
807.314,7464.1
810.022,7454.8
812.729,7430.2
815.434,7519.15
818.139,7589.8
820.844,7647.85
823.547,7562.95
826.249,7608.85
828.951,7601.15
831.651,7616.75
834.351,7683.45
837.05,7656.55
839.748,7685.05
842.445,7740.8
845.142,7860.25
847.837,7819.8
850.532,7902.9
853.225,8042.1
855.918,8202.8
858.61,8227.5
861.302,8194.5
863.992,8199.35
866.681,7973.25
869.37,7756.7
872.058,7801.45
874.745,7809.85
877.431,7811.25
880.116,7842.85
882.8,7884.0
885.484,7848.95
888.166,7799.8
890.848,7833.75
893.529,7852.65
896.209,7908.15
898.888,7951.6
901.566,7892.95
904.244,7817.7
906.921,7962.7
909.596,8022.3
912.271,7885.25
914.945,7861.0
917.619,7968.25
920.291,7991.25
922.963,8040.25
925.633,7951.95
928.303,7978.85
930.972,7960.4
933.64,8047.8
936.308,8187.65
938.974,8039.1
941.64,8007.65
944.304,7971.85
946.968,8018.35
949.631,7947.45
952.294,8168.65
954.955,8151.4
957.615,8152.6
960.275,8243.65
962.934,8236.9
965.592,8126.5
968.249,8214.55
970.905,8270.7
973.561,8257.4
976.215,8292.25
978.869,8386.8
981.522,8347.7
984.174,8176.35
986.826,8433.45
989.476,8538.0
992.126,8524.45
994.774,8571.35
997.422,8527.9
1000.07,8404.8
1002.72,8454.75
1005.36,8385.65
1008.01,8403.65
1010.65,8436.05
1013.29,8500.15
1015.93,8509.95
1018.58,8424.6
1021.22,8496.15
1023.86,8516.95
1026.49,8401.8
1029.13,8395.85
1031.77,8432.65
1034.4,8483.35
1037.04,8456.85
1039.67,8605.65
1042.31,8546.65
1044.94,8583.45
1047.57,8544.5
1050.2,8538.55
1052.83,8572.4
1055.46,8544.1
1058.09,8487.05
1060.72,8491.3
1063.35,8619.1
1065.97,8771.4
1068.6,8770.55
1071.22,8728.95
1073.85,8772.75
1076.47,8845.65
1079.09,8830.55
1081.71,8795.65
1084.33,8904.65
1086.95,8934.3
1089.57,8900.05
1092.19,8913.25
1094.81,9088.45
1097.42,9173.5
1100.04,9129.1
1102.65,9076.9
1105.27,9083.3
1107.88,9117.3
1110.49,9105.05
1113.1,9122.2
1115.71,9189.8
1118.32,9393.75
1120.93,9309.5
1123.54,9194.5
1126.15,9024.15
1128.75,8987.55
1131.36,8962.55
1133.97,9026.35
1136.57,8951.0
1139.17,8987.0
1141.77,9049.95
1144.38,9048.3
1146.98,9004.75
1149.58,9036.1
1152.18,9051.95
1154.77,9078.95
1157.37,9081.5
1159.97,9119.1
1162.56,9055.1
1165.16,9029.85
1167.75,9078.9
1170.35,9247.3
1172.94,9315.05
1175.53,9123.6
1178.12,9115.45
1180.71,9202.55
1183.3,9212.8
1185.89,9264.6
1188.48,9198.75
1191.06,9185.75
1193.65,9376.8
