cm-1,Intensity
-123.878,1855.15
-120.866,1855.5
-117.855,1854.45
-114.845,1855.85
-111.836,1856.1
-108.828,1856.3
-105.821,1856.1
-102.815,1855.6
-99.8104,1855.3
-96.8065,1857.5
-93.8036,1856.15
-90.8016,1854.05
-87.8007,1855.9
-84.8008,1857.2
-81.8019,1854.95
-78.8039,1855.25
-75.807,1857.6
-72.8111,1856.7
-69.8161,1855.0
-66.8222,1856.0
-63.8293,1857.1
-60.8373,1855.65
-57.8464,1855.4
-54.8564,1857.95
-51.8675,1855.8
-48.8795,1857.35
-45.8926,1855.9
-42.9066,1857.2
-39.9216,1857.5
-36.9377,1857.55
-33.9547,1859.45
-30.9727,1859.1
-27.9917,1860.6
-25.0117,1860.8
-22.0326,1861.35
-19.0546,1866.9
-16.0776,1882.65
-13.1015,1953.95
-10.1265,2181.65
-7.1524,2730.95
-4.17932,3528.75
-1.20723,3637.45
1.76388,3330.1
4.734,2519.25
7.70313,1972.85
10.6713,1868.6
13.6384,1860.35
16.6046,1859.4
19.5698,1860.7
22.534,1858.75
25.4972,1858.05
28.4595,1859.65
31.4207,1860.9
34.381,1862.45
37.3403,1862.8
40.2986,1866.7
43.256,1875.35
46.2123,1901.9
49.1677,1979.65
52.1221,2203.35
55.0755,2634.0
58.0279,3250.85
60.9794,3813.1
63.9299,4261.75
66.8794,4524.7
69.8279,4621.9
72.7754,4697.25
75.722,4687.3
78.6676,4587.35
81.6122,4453.9
84.5559,4372.8
87.4985,4316.0
90.4402,4251.8
93.381,4231.15
96.3207,4155.4
99.2595,4067.75
102.197,4000.85
105.134,3932.75
108.07,3901.15
111.005,3871.6
113.939,3862.5
116.872,3804.45
119.804,3777.05
122.735,3731.3
125.665,3677.75
128.594,3633.35
131.522,3597.6
134.449,3616.95
137.375,3589.65
140.301,3572.95
143.225,3558.3
146.148,3543.7
149.07,3534.05
151.992,3544.6
154.912,3563.0
157.832,3561.8
160.75,3515.3
163.668,3568.45
166.584,3562.2
169.5,3567.35
172.414,3573.7
175.328,3567.4
178.241,3567.3
181.153,3586.25
184.063,3631.15
186.973,3620.0
189.882,3574.7
192.79,3601.0
195.697,3634.4
198.603,3672.4
201.508,3667.7
204.412,3657.5
207.315,3684.1
210.217,3648.55
213.119,3644.35
216.019,3675.35
218.918,3682.7
221.816,3672.25
224.714,3687.0
227.61,3706.45
230.506,3735.8
233.4,3680.8
236.294,3680.8
239.187,3663.15
242.078,3683.75
244.969,3682.0
247.859,3703.55
250.748,3666.35
253.636,3672.05
256.523,3683.25
259.409,3686.9
262.294,3702.15
265.178,3705.7
268.061,3700.75
270.943,3703.05
273.824,3707.15
276.705,3723.6
279.584,3723.35
282.463,3744.55
285.34,3760.6
288.217,3743.15
291.092,3766.65
293.967,3760.55
296.841,3767.2
299.713,3749.5
302.585,3745.9
305.456,3796.5
308.326,3772.2
311.195,3756.65
314.063,3767.75
316.93,3776.55
319.797,3763.8
322.662,3774.15
325.526,3769.55
328.389,3770.3
331.252,3757.55
334.113,3750.9
336.974,3798.2
339.834,3787.4
342.692,3830.1
345.55,3861.9
348.407,3843.85
351.263,3836.7
354.118,3848.35
356.972,3830.15
359.825,3860.45
362.677,3877.25
365.529,3871.45
368.379,3865.2
371.228,3879.15
374.077,3894.95
376.924,3943.25
379.771,3934.25
382.616,3935.55
385.461,3937.75
388.305,3889.35
391.148,3932.0
393.99,3927.4
396.831,3939.45
399.671,3938.45
402.51,3970.3
405.348,3973.35
408.186,3945.05
411.022,3952.8
413.858,3977.3
416.692,3993.45
419.526,3995.25
422.359,3941.25
425.19,3962.85
428.021,4020.1
430.851,4009.4
433.68,3992.95
436.508,3987.35
439.335,4029.65
442.162,4078.9
444.987,4016.2
447.811,3996.7
