nm,Intensity
526.549,828.88
526.686,829.2
526.823,828.96
526.96,829.46
527.096,829.06
527.233,829.34
527.37,829.02
527.507,829.18
527.643,828.92
527.78,829.18
527.917,828.94
528.053,828.88
528.19,828.62
528.327,829.0
528.463,828.44
528.6,828.88
528.737,829.2
528.873,829.22
529.01,828.86
529.146,828.98
529.283,829.1
529.42,829.08
529.556,828.72
529.693,828.84
529.829,829.34
529.966,829.22
530.102,829.1
530.239,829.0
530.375,829.92
530.512,828.62
530.648,828.88
530.785,829.0
530.921,829.1
531.058,828.56
531.194,828.94
531.331,829.08
531.467,828.62
531.604,828.24
531.74,828.98
531.877,828.34
532.013,830.18
532.149,842.62
532.286,849.92
532.422,833.6
532.559,829.56
532.695,828.78
532.831,828.46
532.968,829.78
533.104,828.1
533.24,829.36
533.377,828.86
533.513,829.28
533.649,828.02
533.786,831.96
533.922,843.46
534.058,864.08
534.194,874.48
534.331,875.78
534.467,874.4
534.603,873.22
534.739,873.02
534.876,872.34
535.012,869.6
535.148,868.4
535.284,868.28
535.42,866.7
535.557,867.5
535.693,866.48
535.829,865.04
535.965,866.26
536.101,866.18
536.237,866.86
536.374,867.94
536.51,866.04
536.646,863.74
536.782,864.6
536.918,864.22
537.054,864.42
537.19,865.14
537.326,863.98
537.462,864.28
537.598,864.72
537.734,865.06
537.87,863.98
538.007,864.86
538.143,865.44
538.279,864.04
538.415,865.9
538.551,864.52
538.687,865.56
538.823,865.04
538.959,865.52
539.094,865.38
539.23,863.78
539.366,863.5
539.502,864.52
539.638,864.32
539.774,864.78
539.91,863.9
540.046,863.74
540.182,863.34
540.318,862.94
540.454,865.34
540.59,864.48
540.725,863.8
540.861,863.42
540.997,863.56
541.133,863.5
541.269,863.92
541.405,863.8
541.54,865.22
541.676,864.22
541.812,863.4
541.948,864.18
542.084,865.16
542.219,865.22
542.355,864.72
542.491,864.2
542.627,864.42
542.762,865.5
542.898,864.02
543.034,865.74
543.17,865.24
543.305,865.3
543.441,864.86
543.577,866.02
543.712,866.4
543.848,865.82
543.984,866.48
544.119,865.56
544.255,866.86
544.391,866.9
544.526,868.68
544.662,867.64
544.798,868.62
544.933,868.28
545.069,869.5
545.204,869.8
545.34,868.16
545.476,868.68
545.611,868.64
545.747,867.38
545.882,867.22
546.018,867.64
546.153,866.66
546.289,868.26
546.425,867.38
546.56,866.36
546.696,868.34
546.831,867.04
546.967,866.88
547.102,866.32
547.238,867.38
547.373,867.52
547.509,867.32
547.644,866.98
547.779,867.02
547.915,866.96
548.05,868.28
548.186,867.52
548.321,868.54
548.457,869.06
548.592,868.32
548.727,867.62
548.863,868.2
548.998,868.94
549.134,868.66
549.269,870.9
549.404,871.46
549.54,873.74
549.675,873.2
549.81,872.94
549.946,871.72
550.081,871.66
550.216,871.78
550.352,870.58
550.487,870.92
550.622,870.3
550.758,869.66
550.893,869.68
551.028,868.66
551.163,869.12
551.299,870.08
551.434,870.42
551.569,870.08
551.704,868.44
551.84,869.86
551.975,870.82
552.11,872.6
552.245,874.46
552.38,872.96
552.516,871.68
552.651,870.76
552.786,871.6
552.921,870.12
553.056,870.06
553.191,869.68
553.327,870.64
553.462,870.68
553.597,870.6
553.732,870.56
553.867,870.28
554.002,871.08
554.137,871.36
554.272,872.96
554.408,871.04
554.543,870.88
554.678,871.06
554.813,870.7
554.948,871.1
555.083,871.56
555.218,870.7
555.353,871.1
555.488,870.98
555.623,872.54
555.758,871.66
555.893,871.84
556.028,870.78
556.163,870.88
556.298,871.96
556.433,872.08
556.568,872.3
556.703,872.98
556.838,874.16
556.973,874.7
557.108,874.24
557.243,873.66
557.378,873.9
557.513,874.02
557.648,872.28
557.783,873.5
557.917,873.38
558.052,873.5
558.187,875.06
558.322,873.54
558.457,873.6
558.592,873.92
558.727,872.48
558.862,872.98
558.996,873.64
559.131,872.48
559.266,871.1
559.401,872.58
559.536,874.1
559.671,872.34
559.805,873.86
559.94,872.94
560.075,873.2
560.21,873.3
560.345,872.86
560.479,872.82
560.614,874.76
560.749,873.44
560.884,873.98
561.018,872.62
561.153,872.76
561.288,873.38
561.423,873.52
561.557,873.42
561.692,873.44
561.827,872.36
561.962,874.34
562.096,873.92
562.231,874.58
562.366,874.88
562.5,874.34
562.635,875.48
562.77,875.58
562.904,875.04
563.039,874.24
563.174,876.24
563.308,877.86
563.443,878.38
563.577,877.9
563.712,879.02
563.847,882.0
563.981,888.36
564.116,896.74
564.25,890.94
564.385,885.54
564.52,883.4
564.654,882.88
564.789,882.34
564.923,883.38
565.058,880.5
565.192,880.9
565.327,881.22
565.461,881.38
565.596,880.2
565.731,880.3
565.865,882.58
566.0,885.52
566.134,894.64
566.269,896.64
566.403,887.86
566.538,883.94
566.672,884.72
566.806,882.64
566.941,879.86
567.075,880.08
567.21,879.16
567.344,879.5
567.479,881.4
567.613,880.66
567.748,879.88
567.882,878.38
568.016,878.64
568.151,878.86
568.285,880.46
568.42,879.42
568.554,879.1
568.688,879.58
568.823,880.9
568.957,880.6
569.091,881.54
569.226,880.38
569.36,879.74
569.494,881.22
569.629,880.38
569.763,879.7
569.897,881.66
570.032,880.16
570.166,880.86
570.3,881.22
570.435,881.42
570.569,882.32
570.703,882.72
570.837,882.1
570.972,883.06
571.106,884.4
571.24,885.38
571.375,887.36
571.509,899.98
571.643,915.38
571.777,904.92
571.911,895.94
572.046,892.2
572.18,889.88
572.314,889.6
572.448,887.48
572.582,887.26
572.717,886.28
572.851,888.12
572.985,889.86
573.119,894.78
573.253,894.1
573.388,889.36
573.522,885.74
573.656,886.78
573.79,885.42
573.924,887.08
574.058,886.74
574.192,887.18
574.326,886.22
574.461,884.98
574.595,886.7
574.729,886.76
574.863,884.26
574.997,886.32
575.131,884.92
575.265,887.9
575.399,886.22
575.533,893.46
575.667,895.92
575.801,896.38
575.935,896.62
576.069,902.46
576.203,911.26
576.337,918.68
576.472,918.96
576.606,914.12
576.74,915.86
576.874,916.36
577.008,909.72
577.142,905.44
577.276,902.7
577.409,899.2
577.543,895.68
577.677,893.86
577.811,892.54
577.945,893.74
578.079,891.5
578.213,889.12
578.347,891.82
578.481,890.2
578.615,891.94
578.749,891.6
578.883,891.98
579.017,892.94
579.151,898.24
579.285,910.94
579.418,916.46
579.552,904.16
579.686,896.86
579.82,894.82
579.954,891.74
580.088,890.9
580.222,891.58
580.356,894.4
580.489,892.64
580.623,892.76
580.757,892.08
580.891,892.92
581.025,892.68
581.158,893.2
581.292,893.06
581.426,894.36
581.56,894.64
581.694,893.88
581.827,893.02
581.961,893.78
582.095,893.62
582.229,894.04
582.363,894.9
582.496,895.26
582.63,894.3
582.764,893.32
582.898,894.38
583.031,895.02
583.165,895.78
583.299,895.38
583.432,896.22
583.566,895.62
583.7,896.34
583.834,896.8
583.967,896.36
584.101,895.72
584.235,898.06
584.368,896.72
584.502,895.76
584.636,898.34
584.769,897.86
584.903,898.2
585.037,898.8
585.17,897.54
585.304,897.04
585.438,899.68
585.571,900.48
585.705,899.36
585.838,898.52
585.972,901.26
586.106,900.14
586.239,900.62
586.373,901.16
586.506,901.18
586.64,901.98
586.774,902.18
586.907,900.56
587.041,902.92
587.174,901.18
587.308,903.38
587.441,904.96
587.575,903.78
587.708,903.22
587.842,904.1
587.976,905.7
588.109,905.2
588.243,905.9
588.376,905.48
588.51,906.16
588.643,906.48
588.777,905.26
588.91,906.66
589.044,906.72
589.177,904.28
589.311,905.12
589.444,906.22
589.577,908.06
589.711,907.08
589.844,907.58
589.978,907.74
590.111,909.86
590.245,907.64
590.378,906.08
590.512,909.66
590.645,911.32
590.778,910.34
590.912,908.36
591.045,909.38
591.179,910.36
591.312,910.48
591.445,911.08
591.579,910.6
591.712,910.34
591.846,911.12
591.979,910.96
592.112,911.9
592.246,913.0
592.379,913.58
592.512,911.02
592.646,912.74
592.779,912.68
592.912,912.12
593.046,910.96
593.179,911.8
593.312,913.58
593.446,912.92
593.579,914.16
593.712,913.06
593.846,913.82
593.979,916.28
594.112,917.02
594.245,916.48
594.379,915.04
594.512,914.74
594.645,917.28
594.778,915.78
594.912,918.68
595.045,919.34
595.178,917.52
595.311,918.02
595.445,919.68
595.578,919.12
595.711,919.24
595.844,919.28
595.978,920.26
596.111,920.36
596.244,921.78
596.377,920.48
596.51,921.62
596.643,922.58
596.777,922.7
596.91,922.84
597.043,923.8
597.176,925.38
597.309,923.88
597.443,923.58
597.576,925.42
597.709,924.34
597.842,928.2
597.975,926.94
598.108,927.34
598.241,928.18
598.374,926.06
598.508,928.84
598.641,929.78
598.774,927.86
598.907,929.62
599.04,930.84
599.173,929.58
599.306,931.36
599.439,932.88
599.572,933.16
599.705,932.66
599.838,929.98
599.972,930.18
600.105,932.92
600.238,931.74
600.371,931.58
600.504,931.64
600.637,931.2
600.77,931.26
600.903,931.08
601.036,928.78
601.169,931.8
601.302,927.98
601.435,931.12
601.568,930.96
601.701,928.62
601.834,929.02
601.967,928.34
602.1,929.02
602.233,927.84
602.366,930.88
602.499,928.2
602.632,927.74
602.765,925.88
602.898,928.08
603.031,926.74
603.164,926.06
603.296,925.48
