nm,Intensity
526.532,830.667
526.669,830.5
526.805,830.633
526.942,830.433
527.079,830.667
527.216,830.633
527.352,830.233
527.489,830.633
527.625,830.3
527.762,830.133
527.899,830.567
528.035,831.1
528.172,830.367
528.309,830.767
528.445,830.5
528.582,829.8
528.718,830.8
528.855,830.5
528.992,830.933
529.128,830.133
529.265,830.033
529.401,830.267
529.538,830.367
529.674,830.5
529.811,831.167
529.947,830.567
530.084,829.5
530.22,830.533
530.357,830.033
530.493,830.533
530.63,830.067
530.766,830.4
530.903,830.3
531.039,830.633
531.176,830.867
531.312,830.3
531.449,829.933
531.585,831.133
531.721,830.2
531.858,829.933
531.994,835.133
532.131,849.767
532.267,845.867
532.403,833.367
532.54,830.9
532.676,830.133
532.812,830.5
532.949,829.933
533.085,830.0
533.221,830.567
533.358,829.5
533.494,830.8
533.63,832.433
533.767,847.867
533.903,908.233
534.039,977.867
534.176,1006.0
534.312,1005.3
534.448,1003.37
534.584,1003.27
534.721,1006.8
534.857,998.7
534.993,998.6
535.129,995.067
535.266,991.9
535.402,987.267
535.538,984.6
535.674,987.533
535.81,986.167
535.947,986.533
536.083,991.4
536.219,1001.77
536.355,995.8
536.491,988.867
536.627,985.133
536.764,983.8
536.9,981.5
537.036,982.733
537.172,982.8
537.308,980.8
537.444,981.567
537.58,980.267
537.716,982.733
537.852,982.8
537.988,985.433
538.125,986.6
538.261,985.367
538.397,985.6
538.533,985.267
538.669,982.533
538.805,986.2
538.941,983.733
539.077,984.4
539.213,983.0
539.349,981.467
539.485,986.267
539.621,984.533
539.757,987.133
539.893,986.1
540.029,986.767
540.165,985.1
540.301,986.6
540.437,984.967
540.572,986.5
540.708,989.3
540.844,989.267
540.98,989.9
541.116,989.333
541.252,991.333
541.388,993.133
541.524,989.567
541.66,994.2
541.795,992.633
541.931,993.2
542.067,995.267
542.203,992.967
542.339,993.333
542.475,993.0
542.611,996.667
542.746,995.633
542.882,999.467
543.018,999.167
543.154,997.3
543.289,999.333
543.425,999.767
543.561,1000.87
543.697,1000.1
543.833,1000.57
543.968,1001.33
544.104,999.867
544.24,1001.77
544.375,1002.9
544.511,1003.83
544.647,1002.27
544.783,1003.23
544.918,1001.5
545.054,1007.83
545.19,1004.53
545.325,1006.03
545.461,1009.57
545.597,1009.37
545.732,1010.8
545.868,1007.53
546.004,1012.1
546.139,1007.6
546.275,1010.33
546.41,1011.27
546.546,1014.0
546.682,1009.6
546.817,1013.5
546.953,1014.43
547.088,1013.73
547.224,1014.93
547.36,1014.93
547.495,1013.6
547.631,1017.57
547.766,1016.97
547.902,1015.4
548.037,1013.27
548.173,1013.67
548.308,1015.13
548.444,1016.57
548.579,1017.17
548.715,1019.57
548.85,1016.4
548.986,1017.53
549.121,1018.37
549.257,1023.17
549.392,1020.07
549.528,1018.4
549.663,1019.6
549.798,1021.77
549.934,1022.9
550.069,1023.33
550.205,1022.03
550.34,1022.87
550.475,1026.23
550.611,1023.63
550.746,1027.27
550.882,1028.23
551.017,1028.67
551.152,1028.2
551.288,1026.8
551.423,1028.33
551.558,1027.57
551.694,1028.03
551.829,1033.53
551.964,1028.33
552.1,1028.4
552.235,1031.83
552.37,1032.77
552.505,1026.37
552.641,1029.47
552.776,1031.57
552.911,1032.67
553.047,1037.93
553.182,1033.83
553.317,1035.53
553.452,1034.97
553.588,1035.4
553.723,1038.4
553.858,1034.33
553.993,1036.9
554.128,1039.1
554.264,1041.53
554.399,1040.53
554.534,1038.63
554.669,1041.17
554.804,1042.0
554.939,1040.7
555.075,1043.3
555.21,1043.47
555.345,1038.77
555.48,1038.87
555.615,1043.23
555.75,1040.67
555.885,1040.77
556.02,1046.43
556.155,1042.27
556.291,1044.73
556.426,1045.7
556.561,1047.43
556.696,1045.33
556.831,1047.17
556.966,1045.7
557.101,1052.5
557.236,1048.57
557.371,1047.5
557.506,1046.2
557.641,1051.17
557.776,1052.6
557.911,1051.5
558.046,1056.33
558.181,1051.6
558.316,1053.23
558.451,1052.83
558.586,1054.03
558.721,1053.3
558.856,1052.9
558.991,1053.53
559.126,1052.67
559.261,1055.27
559.396,1050.73
559.531,1051.6
559.665,1052.67
559.8,1056.73
559.935,1052.33
560.07,1056.33
560.205,1055.03
560.34,1054.67
560.475,1053.63
560.61,1058.4
560.745,1056.5
560.879,1056.0
561.014,1055.63
561.149,1056.3
561.284,1057.87
561.419,1057.73
561.553,1060.83
561.688,1055.17
561.823,1059.67
561.958,1057.43
562.093,1060.7
562.227,1060.47
562.362,1063.2
562.497,1066.6
562.632,1063.53
562.767,1064.3
562.901,1069.2
563.036,1066.73
563.171,1072.77
563.305,1073.17
563.44,1074.33
563.575,1075.93
563.71,1083.87
563.844,1097.8
563.979,1142.23
564.114,1161.93
564.248,1123.53
564.383,1099.53
564.518,1091.57
564.652,1093.73
564.787,1093.23
564.922,1092.67
565.056,1088.67
565.191,1087.97
565.325,1086.17
565.46,1083.53
565.595,1086.23
565.729,1088.4
565.864,1098.73
565.999,1116.67
566.133,1160.0
566.268,1162.07
566.402,1122.6
566.537,1098.83
566.671,1089.97
566.806,1084.73
566.94,1079.77
567.075,1079.5
567.21,1083.6
567.344,1088.53
567.479,1092.2
567.613,1093.5
567.748,1084.4
567.882,1085.17
568.017,1081.27
568.151,1082.4
568.285,1082.2
568.42,1081.67
568.554,1081.1
568.689,1086.23
568.823,1084.43
568.958,1088.57
569.092,1086.77
569.227,1085.77
569.361,1087.13
569.495,1091.17
569.63,1087.7
569.764,1091.9
569.899,1086.17
570.033,1088.77
570.167,1088.73
570.302,1093.13
570.436,1093.67
570.571,1096.33
570.705,1098.37
570.839,1096.3
570.974,1096.37
571.108,1099.37
571.242,1103.67
571.377,1126.07
571.511,1209.83
571.645,1236.57
571.78,1157.13
571.914,1126.13
572.048,1119.1
572.182,1114.67
572.317,1108.67
572.451,1107.13
572.585,1106.57
572.719,1097.93
572.854,1096.23
572.988,1102.37
573.122,1100.17
573.256,1100.47
573.391,1098.87
573.525,1099.67
573.659,1101.57
573.793,1106.77
573.927,1107.77
574.062,1108.1
574.196,1106.43
574.33,1103.5
574.464,1102.27
574.598,1099.57
574.733,1101.73
574.867,1100.47
575.001,1103.93
575.135,1102.47
575.269,1104.67
575.403,1114.07
575.537,1145.4
575.671,1151.67
575.806,1136.97
575.94,1140.3
576.074,1160.87
576.208,1200.93
576.342,1233.3
576.476,1219.63
576.61,1189.13
576.744,1180.97
576.878,1178.8
577.012,1180.77
577.146,1173.83
577.28,1166.03
577.414,1147.47
577.548,1131.4
577.682,1125.23
577.817,1119.4
577.951,1117.93
578.085,1116.53
578.219,1110.9
578.353,1111.5
578.486,1112.13
578.62,1109.57
578.754,1111.9
578.888,1110.3
579.022,1110.9
579.156,1106.43
579.29,1110.93
579.424,1113.7
579.558,1110.47
579.692,1112.0
579.826,1113.57
579.96,1111.9
580.094,1113.33
580.228,1112.77
580.362,1110.27
580.496,1114.23
580.629,1109.17
580.763,1113.57
580.897,1112.3
581.031,1116.33
581.165,1113.87
581.299,1111.33
581.433,1116.2
581.566,1115.97
581.7,1112.77
581.834,1118.0
581.968,1117.6
582.102,1115.67
582.236,1118.83
582.369,1117.17
582.503,1116.73
582.637,1121.07
582.771,1119.73
582.905,1121.9
583.038,1118.7
583.172,1121.87
583.306,1123.67
583.44,1121.5
583.573,1123.6
583.707,1123.47
583.841,1125.6
583.975,1122.1
584.108,1122.0
584.242,1124.43
584.376,1126.37
584.509,1125.27
584.643,1122.3
584.777,1125.57
584.911,1124.8
585.044,1127.73
585.178,1123.27
585.312,1125.53
585.445,1129.17
585.579,1126.03
585.713,1126.7
585.846,1129.27
585.98,1130.0
586.113,1130.77
586.247,1131.77
586.381,1132.33
586.514,1134.23
586.648,1135.23
586.782,1132.93
586.915,1132.97
587.049,1138.03
587.182,1136.53
587.316,1140.47
587.45,1140.77
587.583,1140.8
587.717,1139.0
587.85,1144.2
587.984,1138.23
588.117,1134.33
588.251,1136.33
588.384,1138.57
588.518,1140.67
588.651,1142.03
588.785,1136.2
588.919,1138.27
589.052,1139.2
589.186,1139.3
589.319,1137.77
589.453,1136.43
589.586,1136.37
589.72,1135.9
589.853,1138.13
589.986,1135.83
590.12,1139.6
590.253,1137.73
590.387,1138.73
590.52,1140.17
590.654,1139.1
590.787,1141.63
590.921,1139.0
591.054,1144.33
591.187,1142.47
591.321,1143.23
591.454,1143.37
591.588,1141.67
