nm,Intensity
791.588,5058.98
791.862,5045.7
792.136,5055.64
792.411,5049.86
792.685,5034.42
792.959,5038.14
793.233,5054.14
793.507,5114.0
793.781,5139.68
794.056,5120.7
794.33,5103.12
794.604,5082.8
794.878,5064.14
795.152,5021.42
795.426,5027.4
795.701,5039.4
795.975,5030.08
796.249,5049.14
796.523,5035.96
796.797,5041.98
797.071,5077.42
797.345,5093.34
797.619,5096.84
797.894,5117.08
798.168,5116.86
798.442,5119.78
798.716,5134.94
798.99,5132.84
799.264,5154.44
799.538,5152.52
799.812,5141.44
800.086,5134.58
800.36,5143.94
800.634,5128.86
800.908,5114.5
801.182,5088.14
801.456,5101.48
801.73,5090.9
802.004,5079.22
802.278,5052.38
802.552,5027.02
802.826,5054.62
803.1,5060.58
803.374,5037.04
803.648,5001.7
803.922,4999.46
804.196,4988.62
804.47,4997.8
804.744,5013.28
805.018,5010.28
805.292,5012.34
805.566,5008.68
805.84,5015.74
806.114,5013.88
806.388,5004.14
806.662,5009.36
806.936,5012.3
807.209,5021.54
807.483,5016.2
807.757,5013.92
808.031,5011.78
808.305,5009.62
808.579,5013.9
808.853,5009.24
809.127,4998.48
809.4,5003.68
809.674,5010.7
809.948,5019.92
810.222,5040.34
810.496,5032.78
810.77,5038.24
811.043,5032.32
811.317,5080.2
811.591,5093.48
811.865,5139.64
812.139,5185.84
812.412,5225.46
812.686,5271.64
812.96,5352.1
813.234,5381.92
813.507,5403.6
813.781,5393.52
814.055,5340.54
814.329,5266.16
814.602,5179.66
814.876,5077.78
815.15,5010.96
815.424,4965.2
815.697,4926.12
815.971,4898.52
816.245,4883.1
816.518,4880.04
816.792,4850.6
817.066,4849.68
817.34,4833.78
817.613,4831.9
817.887,4839.52
818.161,4843.78
818.434,4848.02
818.708,4842.74
818.981,4831.34
819.255,4821.82
819.529,4811.0
819.802,4817.78
820.076,4850.22
820.35,4844.12
820.623,4853.0
820.897,4849.7
821.17,4848.36
821.444,4852.72
821.718,4879.96
821.991,4900.2
822.265,4924.94
822.538,4916.88
822.812,4935.52
823.085,4957.04
823.359,4985.2
823.632,5073.26
823.906,5125.24
824.18,5157.04
824.453,5147.32
824.727,5140.44
825.0,5085.78
825.274,5048.74
825.547,4999.62
825.821,4932.7
826.094,4880.62
826.367,4857.68
826.641,4832.78
826.914,4807.06
827.188,4787.4
827.461,4760.72
827.735,4730.92
828.008,4716.58
828.282,4712.7
828.555,4725.4
828.828,4727.72
829.102,4720.38
829.375,4691.62
829.649,4691.18
829.922,4687.7
830.195,4682.28
830.469,4665.46
830.742,4667.78
831.016,4662.18
831.289,4657.9
831.562,4649.68
831.836,4643.62
832.109,4644.36
832.382,4637.5
832.656,4635.62
832.929,4627.22
833.202,4600.86
833.476,4599.5
833.749,4608.66
834.022,4613.06
834.295,4597.72
834.569,4594.76
834.842,4601.62
835.115,4590.54
835.388,4576.62
835.662,4578.36
835.935,4563.5
836.208,4564.12
836.481,4579.88
836.755,4567.2
837.028,4584.6
837.301,4576.44
837.574,4571.46
837.848,4584.4
838.121,4577.18
838.394,4581.22
838.667,4565.12
838.94,4540.72
839.213,4551.56
839.487,4545.34
839.76,4561.66
840.033,4554.52
840.306,4541.28
840.579,4542.92
840.852,4542.78
841.125,4528.28
841.399,4529.14
841.672,4535.62
841.945,4532.62
842.218,4517.58
842.491,4526.4
842.764,4510.68
843.037,4499.66
843.31,4500.34
843.583,4518.54
843.856,4507.18
844.129,4493.14
844.402,4485.92
844.675,4492.02
844.948,4494.5
845.221,4470.6
845.495,4482.6
845.768,4482.34
846.041,4473.66
846.314,4463.96
846.586,4476.8
846.859,4473.9
847.132,4476.1
847.405,4461.38
847.678,4465.2
847.951,4467.92
848.224,4455.26
848.497,4438.24
848.77,4433.8
849.043,4458.96
849.316,4453.74
849.589,4442.18
849.862,4441.58
850.135,4448.2
850.408,4432.28
850.681,4422.94
850.953,4414.22
851.226,4420.52
851.499,4428.56
851.772,4427.22
852.045,4416.6
852.318,4420.9
852.591,4427.22
852.863,4412.0
853.136,4395.04
853.409,4388.34
853.682,4391.98
853.955,4387.72
854.227,4385.36
854.5,4388.72
854.773,4389.58
855.046,4384.88
855.318,4383.82
855.591,4380.5
855.864,4380.04
856.137,4377.66
856.409,4385.18
856.682,4386.46
856.955,4383.42
857.228,4368.3
857.5,4363.66
857.773,4377.44
858.046,4366.1
858.318,4359.96
858.591,4367.94
858.864,4361.28
859.137,4364.22
859.409,4354.52
859.682,4362.2
859.954,4353.72
860.227,4355.66
860.5,4346.62
860.772,4355.16
861.045,4342.06
861.318,4339.6
861.59,4346.48
861.863,4342.08
862.135,4342.42
862.408,4334.68
862.681,4338.62
862.953,4332.98
863.226,4339.8
863.498,4347.06
863.771,4328.92
864.043,4321.1
864.316,4327.56
864.588,4319.86
864.861,4323.8
865.133,4323.16
865.406,4310.92
865.678,4302.56
865.951,4302.26
866.223,4297.74
866.496,4297.22
866.768,4300.28
867.041,4297.84
867.313,4309.16
867.586,4293.28
867.858,4284.54
868.131,4280.48
868.403,4285.08
868.675,4286.32
868.948,4298.52
869.22,4292.28
869.493,4280.22
869.765,4287.14
870.037,4293.04
870.31,4276.14
870.582,4274.48
870.854,4270.22
871.127,4273.16
871.399,4273.46
871.672,4271.14
871.944,4263.04
872.216,4264.82
872.488,4262.2
872.761,4266.76
873.033,4261.66
873.305,4265.56
873.578,4253.58
873.85,4249.04
874.122,4254.28
874.394,4252.28
874.667,4252.6
874.939,4247.58
875.211,4256.6
875.483,4252.04
875.756,4241.1
