nm,Intensity
526.553,834.92
526.69,835.4
526.827,834.92
526.963,835.28
527.1,835.26
527.237,835.62
527.373,835.44
527.51,835.04
527.647,835.24
527.784,834.66
527.92,834.88
528.057,835.78
528.194,835.12
528.33,835.14
528.467,835.62
528.603,835.74
528.74,835.54
528.877,835.4
529.013,835.26
529.15,835.14
529.286,835.28
529.423,834.86
529.56,835.04
529.696,835.52
529.833,835.08
529.969,835.02
530.106,835.64
530.242,835.16
530.379,835.48
530.515,835.1
530.652,835.48
530.788,834.68
530.925,835.6
531.061,835.0
531.198,834.88
531.334,834.54
531.47,835.22
531.607,835.42
531.743,834.58
531.88,835.68
532.016,840.36
532.152,857.82
532.289,851.26
532.425,836.9
532.562,835.54
532.698,835.66
532.834,835.46
532.971,835.16
533.107,834.88
533.243,835.32
533.38,834.8
533.516,835.4
533.652,836.32
533.789,845.26
533.925,874.4
534.061,905.1
534.197,917.1
534.334,916.2
534.47,914.88
534.606,916.96
534.742,919.28
534.879,917.76
535.015,916.3
535.151,915.16
535.287,915.98
535.423,916.98
535.56,915.94
535.696,917.38
535.832,917.04
535.968,917.06
536.104,919.18
536.24,918.62
536.376,920.62
536.513,917.84
536.649,918.06
536.785,917.38
536.921,916.38
537.057,917.96
537.193,920.82
537.329,918.5
537.465,919.96
537.601,920.34
537.737,919.66
537.873,919.84
538.009,921.88
538.145,923.2
538.281,924.06
538.417,923.28
538.553,922.7
538.689,922.28
538.825,922.98
538.961,922.12
539.097,923.38
539.233,923.04
539.369,923.9
539.505,922.9
539.641,923.8
539.777,923.3
539.913,923.8
540.049,924.0
540.185,922.4
540.321,922.36
540.457,922.08
540.592,923.1
540.728,922.34
540.864,922.6
541.0,923.42
541.136,922.94
541.272,924.22
541.408,921.92
541.543,922.98
541.679,924.84
541.815,923.94
541.951,923.5
542.087,923.54
542.222,925.5
542.358,925.28
542.494,925.28
542.63,928.24
542.765,927.08
542.901,926.16
543.037,927.8
543.173,927.82
543.308,927.7
543.444,929.26
543.58,929.22
543.715,928.76
543.851,929.92
543.987,929.7
544.123,931.82
544.258,932.88
544.394,932.62
544.529,933.42
544.665,937.64
544.801,939.06
544.936,940.5
545.072,938.42
545.208,941.78
545.343,939.72
545.479,938.28
545.614,936.6
545.75,936.16
545.886,935.86
546.021,935.04
546.157,933.2
546.292,933.14
546.428,933.94
546.563,934.22
546.699,933.12
546.834,932.82
546.97,935.86
547.105,935.98
547.241,932.76
547.376,933.28
547.512,933.64
547.647,934.1
547.783,933.4
547.918,933.64
548.054,934.56
548.189,934.6
548.325,934.7
548.46,936.24
548.595,936.06
548.731,936.8
548.866,938.6
549.002,938.54
549.137,939.74
549.272,940.56
549.408,942.06
549.543,943.82
549.679,944.62
549.814,943.74
549.949,945.54
