nm,Intensity
526.549,831.92
526.686,832.04
526.823,831.86
526.959,831.7
527.096,831.72
527.233,832.16
527.37,831.58
527.506,832.04
527.643,831.54
527.78,831.88
527.917,831.32
528.053,831.62
528.19,831.52
528.327,831.96
528.463,831.22
528.6,831.62
528.737,831.78
528.873,831.06
529.01,832.26
529.147,831.42
529.283,831.92
529.42,831.82
529.556,832.06
529.693,831.16
529.83,831.82
529.966,831.72
530.103,831.76
530.239,831.12
530.376,831.78
530.512,831.66
530.649,831.46
530.785,831.04
530.922,830.98
531.058,831.54
531.195,831.8
531.331,831.36
531.468,831.32
531.604,831.6
531.741,832.26
531.877,832.02
532.014,834.86
532.15,847.18
532.287,844.86
532.423,832.56
532.559,831.76
532.696,831.54
532.832,831.66
532.968,831.9
533.105,831.16
533.241,832.06
533.378,831.36
533.514,831.66
533.65,832.18
533.787,835.16
533.923,845.28
534.059,858.38
534.196,862.52
534.332,862.36
534.468,860.0
534.604,858.86
534.741,860.16
534.877,859.16
535.013,856.5
535.149,855.56
535.286,854.06
535.422,853.58
535.558,852.28
535.694,851.3
535.83,851.84
535.967,851.48
536.103,851.12
536.239,851.3
536.375,851.9
536.511,850.84
536.647,850.78
536.784,850.22
536.92,850.3
537.056,850.82
537.192,851.66
537.328,851.04
537.464,850.9
537.6,850.24
537.736,850.86
537.872,851.38
538.008,851.6
538.145,852.22
538.281,852.66
538.417,852.38
538.553,853.02
538.689,853.5
538.825,852.7
538.961,854.04
539.097,852.16
539.233,852.84
539.369,853.42
539.505,852.74
539.641,853.3
539.777,852.1
539.912,850.56
540.048,850.86
540.184,849.5
540.32,849.7
540.456,850.96
540.592,849.3
540.728,849.5
540.864,849.08
541.0,848.18
541.136,850.44
541.271,850.0
541.407,848.52
541.543,849.76
541.679,850.4
541.815,849.56
541.951,849.2
542.087,849.7
542.222,850.9
542.358,849.6
542.494,849.6
542.63,850.32
542.765,849.88
542.901,849.86
543.037,850.74
543.173,850.14
543.308,850.82
543.444,849.88
543.58,850.6
543.716,850.3
543.851,851.32
543.987,851.2
544.123,852.4
544.258,852.96
544.394,854.48
544.53,855.62
544.665,856.34
544.801,858.16
544.937,858.26
545.072,859.92
545.208,859.22
545.344,859.48
545.479,856.16
545.615,854.8
545.75,854.36
545.886,853.44
546.022,852.06
546.157,850.38
546.293,850.6
546.428,850.2
546.564,849.66
546.699,849.64
546.835,850.18
546.971,850.94
547.106,850.04
547.242,849.48
547.377,849.22
547.513,849.66
547.648,849.66
547.784,850.46
547.919,849.36
548.054,850.18
548.19,850.78
548.325,850.0
548.461,850.06
548.596,850.26
548.732,851.32
548.867,851.98
549.003,852.4
549.138,853.36
549.273,854.98
549.409,856.12
549.544,859.4
549.679,858.58
549.815,859.58
549.95,858.76
550.086,859.36
550.221,858.38
550.356,856.68
550.492,855.04
550.627,853.7
550.762,853.0
550.898,853.1
551.033,851.56
551.168,852.78
551.303,851.9
551.439,851.52
551.574,849.92
551.709,849.66
551.844,850.28
551.98,850.9
552.115,855.7
552.25,862.36
552.385,862.68
552.521,858.66
552.656,855.04
552.791,852.5
552.926,852.46
553.061,851.82
553.197,850.28
553.332,850.02
553.467,849.14
