nm,Intensity
528.615,1831.49
528.699,1831.38
528.784,1831.3
528.868,1831.84
528.952,1831.88
529.036,1832.29
529.121,1832.3
529.205,1831.44
529.289,1831.7
529.373,1832.5
529.458,1831.8
529.542,1832.19
529.626,1832.69
529.71,1832.0
529.795,1831.76
529.879,1832.25
529.963,1831.95
530.047,1832.43
530.132,1832.63
530.216,1832.07
530.3,1832.19
530.384,1832.21
530.469,1832.14
530.553,1832.14
530.637,1832.43
530.721,1832.57
530.806,1833.34
530.89,1833.26
530.974,1834.3
531.058,1834.03
531.143,1835.21
531.227,1835.79
531.311,1838.49
531.395,1839.57
531.479,1844.03
531.564,1856.99
531.648,1906.79
531.732,2120.01
531.816,2742.29
531.901,3810.01
531.985,4718.81
532.069,4800.27
532.153,3635.98
532.237,2365.2
532.322,1898.91
532.406,1841.41
532.49,1836.61
532.574,1835.54
532.658,1834.64
532.743,1834.11
532.827,1834.41
532.911,1834.13
532.995,1835.0
533.079,1834.65
533.164,1835.65
533.248,1837.13
533.332,1842.06
533.416,1855.54
533.5,1901.6
533.585,2011.65
533.669,2198.04
533.753,2408.89
533.837,2588.88
533.921,2709.49
534.005,2780.94
534.09,2817.59
534.174,2831.51
534.258,2833.9
534.342,2830.99
534.426,2835.48
534.511,2851.49
534.595,2915.11
534.679,2967.2
534.763,3027.21
534.847,3056.69
534.931,3054.26
535.016,3067.46
535.1,3096.63
535.184,3072.0
535.268,3006.5
535.352,2971.29
535.436,2943.56
535.52,2912.88
535.605,2882.09
535.689,2859.75
535.773,2842.75
535.857,2821.99
535.941,2823.02
536.025,2823.1
536.109,2826.65
536.194,2820.71
536.278,2828.1
536.362,2841.16
536.446,2845.34
536.53,2881.1
536.614,2921.79
536.698,2959.29
536.783,2989.65
536.867,2999.07
536.951,3024.79
537.035,3015.5
537.119,3011.11
537.203,2980.11
537.287,2944.52
537.371,2932.59
537.456,2922.82
537.54,2915.29
537.624,2921.69
537.708,2928.64
537.792,2921.85
537.876,2914.76
537.96,2906.69
538.044,2899.71
538.128,2898.25
538.213,2905.31
538.297,2910.24
538.381,2916.66
538.465,2914.82
538.549,2919.16
538.633,2930.25
538.717,2946.66
538.801,2960.27
538.885,2962.74
538.969,2995.82
539.053,2990.94
539.138,2996.54
539.222,3030.86
539.306,3051.51
539.39,3037.64
539.474,3028.43
539.558,3009.98
539.642,3013.46
539.726,3001.09
539.81,2986.66
539.894,3006.43
539.978,3010.65
540.062,3008.3
540.147,3005.46
540.231,2995.88
540.315,3004.2
540.399,3003.9
540.483,3018.46
540.567,3040.76
540.651,3034.71
540.735,3054.89
540.819,3056.38
540.903,3052.86
540.987,3070.44
541.071,3105.06
541.155,3131.91
541.239,3139.48
541.323,3117.2
541.407,3089.81
541.491,3097.3
541.575,3090.63
541.66,3078.45
541.744,3093.43
541.828,3093.82
541.912,3096.98
541.996,3087.9
542.08,3115.23
542.164,3101.88
542.248,3112.63
542.332,3112.56
542.416,3096.51
542.5,3108.86
542.584,3112.66
542.668,3125.38
542.752,3145.66
542.836,3143.96
542.92,3150.6
543.004,3191.79
543.088,3209.88
543.172,3232.54
543.256,3267.35
543.34,3356.55
543.424,3474.05
543.508,3601.4
543.592,3637.3
543.676,3555.61
543.76,3453.48
543.844,3342.7
543.928,3278.65
544.012,3251.27
544.096,3261.56
544.18,3239.27
544.264,3214.43
544.348,3213.09
544.432,3218.23
544.516,3218.9
544.6,3238.57
544.684,3250.95
544.768,3268.84
544.852,3283.38
544.936,3297.36
