nm,Intensity
526.549,832.02
526.686,832.48
526.823,831.78
526.959,832.64
527.096,832.22
527.233,832.18
527.37,832.26
527.506,831.3
527.643,832.54
527.78,831.8
527.917,832.06
528.053,832.36
528.19,831.22
528.327,832.08
528.463,831.9
528.6,831.66
528.737,830.82
528.873,832.54
529.01,831.78
529.147,831.4
529.283,831.56
529.42,831.06
529.556,832.02
529.693,832.34
529.83,831.56
529.966,832.12
530.103,831.74
530.239,831.66
530.376,832.0
530.512,831.46
530.649,832.12
530.785,831.74
530.922,831.76
531.058,831.46
531.195,831.56
531.331,832.76
531.468,831.08
531.604,832.28
531.741,831.0
531.877,832.32
532.014,839.14
532.15,865.26
532.287,858.84
532.423,836.16
532.559,832.26
532.696,831.9
532.832,831.48
532.968,831.44
533.105,832.06
533.241,832.4
533.378,831.58
533.514,831.84
533.65,833.38
533.787,849.46
533.923,905.98
534.059,972.98
534.196,999.56
534.332,1000.4
534.468,999.98
534.604,998.78
534.741,1002.24
534.877,998.08
535.013,996.22
535.149,990.0
535.286,992.94
535.422,994.74
535.558,996.78
535.694,998.64
535.83,995.82
535.967,998.8
536.103,995.36
536.239,997.28
536.375,996.74
536.511,998.2
536.647,997.7
536.784,997.8
536.92,997.64
537.056,998.52
537.192,994.46
537.328,998.2
537.464,999.9
537.6,998.7
537.736,999.28
537.872,1000.12
538.008,1001.98
538.145,1001.74
538.281,1003.34
538.417,1000.08
538.553,1003.7
538.689,1005.06
538.825,1004.34
538.961,1003.72
539.097,1003.32
539.233,1003.72
539.369,1007.14
539.505,1005.62
539.641,1007.7
539.777,1005.74
539.912,1007.8
540.048,1006.88
540.184,1009.26
540.32,1006.44
540.456,1008.3
540.592,1010.8
540.728,1010.92
540.864,1009.6
541.0,1012.56
541.136,1012.42
541.271,1011.28
541.407,1013.22
541.543,1014.24
541.679,1016.92
541.815,1014.34
541.951,1016.52
542.087,1018.18
542.222,1017.84
542.358,1017.54
542.494,1020.14
542.63,1017.2
542.765,1020.0
542.901,1022.76
543.037,1023.98
543.173,1024.68
543.308,1023.42
543.444,1026.26
543.58,1026.8
543.716,1026.86
543.851,1028.62
543.987,1025.42
544.123,1028.18
544.258,1027.88
544.394,1030.0
544.53,1033.04
544.665,1030.4
544.801,1034.64
544.937,1034.28
545.072,1034.14
545.208,1031.62
545.344,1033.26
545.479,1036.62
545.615,1038.4
545.75,1033.78
545.886,1037.26
546.022,1040.22
546.157,1037.22
546.293,1038.18
546.428,1038.68
546.564,1038.36
546.699,1038.78
546.835,1040.98
546.971,1039.1
547.106,1040.0
547.242,1039.92
547.377,1042.54
547.513,1043.36
547.648,1040.4
547.784,1042.42
547.919,1043.58
548.054,1044.66
548.19,1043.38
548.325,1044.52
548.461,1043.7
548.596,1045.2
548.732,1045.92
548.867,1048.44
549.003,1049.46
549.138,1049.64
549.273,1049.48
549.409,1048.04
549.544,1050.48
549.679,1050.84
549.815,1052.64
549.95,1051.8
550.086,1052.82
550.221,1049.18
550.356,1053.68
550.492,1054.06
550.627,1053.52
550.762,1054.66
550.898,1055.1
551.033,1056.08
551.168,1057.6
551.303,1056.4
551.439,1057.42
551.574,1058.44
551.709,1059.54
551.844,1058.28
551.98,1058.76
552.115,1059.46
552.25,1062.7
552.385,1062.94
552.521,1060.06
552.656,1061.38
552.791,1060.56
552.926,1061.34
553.061,1064.0
553.197,1065.48
553.332,1063.0
553.467,1064.88
553.602,1066.34
553.737,1067.26
553.872,1066.2
554.007,1068.42
554.143,1070.68
554.278,1069.36
554.413,1070.24
554.548,1072.36
554.683,1070.22
554.818,1068.74
554.953,1071.08
555.088,1068.36
555.223,1073.16
555.358,1070.22
555.493,1072.66
555.629,1068.18
555.764,1070.04
555.899,1072.5
556.034,1074.4
556.169,1073.86
556.304,1073.12
556.439,1073.96
556.574,1074.64
556.709,1074.54
556.844,1077.74
556.979,1079.18
557.114,1075.02
557.248,1079.02
557.383,1078.18
557.518,1077.9
557.653,1077.94
557.788,1078.04
557.923,1080.2
558.058,1080.08
558.193,1075.74
558.328,1078.04
558.463,1078.02
558.598,1076.68
558.733,1077.24
558.867,1080.22
559.002,1079.84
559.137,1080.48
559.272,1082.24
559.407,1082.28
559.542,1080.92
559.677,1085.12
559.811,1085.7
559.946,1086.06
560.081,1085.86
560.216,1086.12
560.351,1086.12
560.485,1087.74
560.62,1088.26
560.755,1089.92
560.89,1090.52
561.024,1088.34
561.159,1089.54
561.294,1087.28
561.429,1089.18
561.563,1089.22
561.698,1090.5
561.833,1088.66
561.968,1092.7
562.102,1090.28
562.237,1090.06
562.372,1092.88
562.506,1095.02
562.641,1095.56
562.776,1092.42
562.91,1092.82
563.045,1095.54
563.18,1099.58
563.314,1097.5
563.449,1098.84
563.584,1103.4
563.718,1104.28
563.853,1103.0
563.987,1104.98
564.122,1104.6
564.257,1106.16
564.391,1107.24
564.526,1106.38
564.66,1104.18
564.795,1107.22
564.93,1105.32
565.064,1106.96
565.199,1108.34
565.333,1109.66
565.468,1111.22
565.602,1110.54
565.737,1110.2
565.871,1110.86
566.006,1111.16
566.14,1111.34
566.275,1110.0
566.409,1112.38
566.544,1110.68
566.678,1108.28
566.813,1111.4
566.947,1113.02
567.082,1115.44
567.216,1114.04
567.351,1114.52
567.485,1122.62
567.619,1117.18
567.754,1114.14
567.888,1114.22
568.023,1113.3
568.157,1110.76
568.291,1112.62
568.426,1117.54
568.56,1118.58
568.695,1121.14
568.829,1122.04
568.963,1121.76
569.098,1123.04
569.232,1120.08
569.366,1120.98
569.501,1123.86
569.635,1127.0
569.769,1127.32
569.904,1125.68
570.038,1124.46
570.172,1126.86
570.307,1127.84
570.441,1127.62
570.575,1127.46
570.709,1127.5
570.844,1126.28
570.978,1127.08
571.112,1129.76
571.247,1127.84
571.381,1127.16
571.515,1131.7
571.649,1130.3
571.783,1129.06
571.918,1133.02
572.052,1134.3
572.186,1133.6
572.32,1131.4
572.455,1133.12
572.589,1135.82
572.723,1136.64
572.857,1135.0
572.991,1136.7
573.125,1136.4
573.26,1137.26
573.394,1140.62
573.528,1139.74
573.662,1138.82
573.796,1139.42
573.93,1138.74
574.064,1143.56
574.199,1139.18
574.333,1141.4
574.467,1140.12
574.601,1141.36
574.735,1141.92
574.869,1143.6
575.003,1145.04
575.137,1139.96
575.271,1140.98
575.405,1140.44
575.539,1140.58
575.673,1141.8
575.807,1141.5
575.941,1142.82
576.075,1143.5
576.209,1144.14
576.344,1144.3
576.478,1148.24
576.612,1149.02
576.746,1146.32
576.88,1147.74
577.014,1146.12
577.147,1145.76
577.281,1145.98
577.415,1146.64
577.549,1146.5
577.683,1148.58
577.817,1147.06
577.951,1143.58
578.085,1146.54
578.219,1146.26
578.353,1146.38
578.487,1147.32
578.621,1144.26
578.755,1147.74
578.889,1147.12
579.023,1148.66
579.156,1147.78
579.29,1150.66
579.424,1152.38
579.558,1152.3
579.692,1155.64
579.826,1152.4
579.96,1156.14
580.094,1157.52
580.227,1155.58
580.361,1156.64
580.495,1159.72
580.629,1153.14
580.763,1152.48
580.897,1152.52
581.03,1157.24
581.164,1158.06
581.298,1158.48
581.432,1157.38
581.565,1162.58
581.699,1166.44
581.833,1170.18
581.967,1170.24
582.101,1165.74
582.234,1162.56
582.368,1163.7
582.502,1165.12
582.636,1162.44
582.769,1168.36
582.903,1164.6
583.037,1159.2
583.17,1155.08
583.304,1159.4
583.438,1156.36
583.572,1156.0
583.705,1155.56
583.839,1155.26
583.973,1154.16
584.106,1158.4
584.24,1155.04
584.374,1153.8
584.507,1156.6
584.641,1155.98
584.775,1153.26
584.908,1154.92
585.042,1159.64
585.175,1156.24
585.309,1156.66
585.443,1158.98
585.576,1157.62
585.71,1155.7
585.844,1158.9
585.977,1156.92
586.111,1159.06
586.244,1157.8
586.378,1162.88
586.511,1162.1
586.645,1158.1
586.779,1160.64
586.912,1159.68
587.046,1160.88
587.179,1159.96
587.313,1158.96
587.446,1159.48
587.58,1157.34
587.713,1160.9
587.847,1157.52
587.98,1158.76
588.114,1157.4
588.247,1156.18
588.381,1156.76
588.514,1155.66
588.648,1156.96
588.781,1159.6
588.915,1154.62
589.048,1156.58
589.182,1150.7
589.315,1154.18
589.449,1151.14
589.582,1155.98
589.716,1152.74
589.849,1154.14
589.982,1153.68
590.116,1154.56
590.249,1155.26
590.383,1157.74
590.516,1157.78
590.65,1156.68
590.783,1157.78
590.916,1154.52
591.05,1155.32
591.183,1156.28
591.316,1159.92
591.45,1158.5
591.583,1158.18
591.717,1158.14
591.85,1158.44
591.983,1157.7
592.117,1155.68
592.25,1155.46
592.383,1155.7
592.517,1156.26
592.65,1155.2
592.783,1155.86
592.917,1154.38
593.05,1153.16
593.183,1153.76
593.316,1153.88
593.45,1154.22
593.583,1152.9
593.716,1152.32
593.85,1155.32
593.983,1152.44
594.116,1153.32
594.249,1152.78
594.383,1151.4
594.516,1151.24
594.649,1156.08
594.782,1153.62
594.916,1153.18
595.049,1153.28
595.182,1153.76
595.315,1156.62
595.449,1155.58
595.582,1156.44
595.715,1156.9
595.848,1155.22
595.981,1153.72
596.115,1157.38
596.248,1153.38
596.381,1150.12
596.514,1155.64
596.647,1155.78
596.78,1154.24
596.914,1154.7
597.047,1153.22
597.18,1153.34
597.313,1155.64
597.446,1157.4
597.579,1154.94
597.712,1154.58
597.846,1157.46
597.979,1154.66
598.112,1157.64
598.245,1156.58
598.378,1156.3
598.511,1157.38
598.644,1155.4
598.777,1156.18
598.91,1154.26
599.043,1158.92
599.177,1158.3
599.31,1155.82
599.443,1156.52
599.576,1158.12
599.709,1156.66
599.842,1153.14
599.975,1155.34
600.108,1153.72
600.241,1155.66
600.374,1151.68
600.507,1153.78
600.64,1151.08
600.773,1148.94
600.906,1150.64
601.039,1150.32
601.172,1150.16
601.305,1149.64
601.438,1148.38
601.571,1150.08
601.704,1149.92
601.837,1148.2
601.97,1146.18
602.103,1146.74
602.236,1149.72
602.369,1149.9
602.502,1148.9
602.635,1148.14
602.768,1149.06
602.901,1148.46
603.034,1149.64
603.166,1149.08
603.299,1150.04
603.432,1151.58
603.565,1150.36
603.698,1147.32
603.831,1147.62
603.964,1150.18
604.097,1147.98
604.23,1145.72
604.363,1147.76
604.496,1147.1
604.628,1146.18
604.761,1146.64
604.894,1143.02
605.027,1144.5
605.16,1142.82
605.293,1139.2
605.426,1140.22
605.558,1142.88
605.691,1137.4
605.824,1140.12
605.957,1138.44
606.09,1136.04
606.223,1134.76
606.355,1137.16
606.488,1134.02
