nm,Intensity
526.553,835.8
526.69,836.0
526.827,835.78
526.963,835.3
527.1,835.86
527.237,836.26
527.373,835.72
527.51,835.66
527.647,834.8
527.784,835.66
527.92,835.92
528.057,835.6
528.194,835.84
528.33,835.42
528.467,835.48
528.603,835.4
528.74,835.28
528.877,835.42
529.013,835.76
529.15,835.74
529.286,835.26
529.423,835.84
529.56,835.84
529.696,835.06
529.833,835.56
529.969,835.68
530.106,835.82
530.242,835.8
530.379,834.98
530.515,836.32
530.652,835.4
530.788,835.22
530.925,835.46
531.061,835.54
531.198,835.74
531.334,835.84
531.47,836.32
531.607,835.5
531.743,835.76
531.88,835.44
532.016,839.56
532.152,852.38
532.289,847.04
532.425,836.94
532.562,835.42
532.698,835.1
532.834,835.82
532.971,835.54
533.107,835.6
533.243,835.56
533.38,835.72
533.516,836.2
533.652,836.84
533.789,839.8
533.925,851.26
534.061,862.94
534.197,866.14
534.334,866.88
534.47,865.7
534.606,864.56
534.742,864.82
534.879,864.66
535.015,863.2
535.151,861.38
535.287,860.7
535.423,859.86
535.56,858.94
535.696,859.2
535.832,857.44
535.968,857.44
536.104,856.62
536.24,856.58
536.376,856.16
536.513,855.62
536.649,855.32
536.785,855.76
536.921,855.56
537.057,856.22
537.193,855.64
537.329,855.3
537.465,856.94
537.601,856.24
537.737,855.2
537.873,857.12
538.009,856.18
538.145,855.56
538.281,856.88
538.417,856.42
538.553,854.92
538.689,855.56
538.825,855.74
538.961,855.12
539.097,855.42
539.233,855.4
539.369,854.8
539.505,855.26
539.641,854.92
539.777,855.54
539.913,856.22
540.049,854.32
540.185,854.24
540.321,854.16
540.457,853.54
540.592,854.58
540.728,854.32
540.864,854.4
541.0,854.34
541.136,854.12
541.272,854.94
541.408,855.2
541.543,855.34
541.679,854.34
541.815,855.04
541.951,855.12
542.087,854.38
542.222,854.82
542.358,855.48
542.494,854.24
542.63,855.24
542.765,854.58
542.901,855.18
543.037,854.62
543.173,854.56
543.308,855.0
543.444,855.98
543.58,853.74
543.715,855.92
543.851,855.86
543.987,856.48
544.123,855.6
544.258,855.9
544.394,856.98
544.529,856.9
544.665,856.28
544.801,856.92
544.936,858.48
545.072,858.5
545.208,859.34
545.343,858.54
545.479,857.46
545.614,857.24
545.75,856.26
545.886,856.14
546.021,855.82
546.157,854.74
546.292,855.88
546.428,855.66
546.563,855.58
546.699,855.4
546.834,855.78
546.97,855.58
547.105,855.7
547.241,856.22
547.376,855.56
547.512,855.4
547.647,856.0
547.783,855.72
547.918,855.48
548.054,856.14
548.189,856.4
548.325,854.6
548.46,856.66
548.595,856.66
548.731,856.1
548.866,856.32
549.002,855.78
549.137,856.96
549.272,857.46
549.408,858.08
549.543,857.98
549.679,857.7
549.814,858.8
549.949,858.04
550.085,858.2
550.22,858.2
550.355,857.68
550.491,857.2
550.626,857.18
550.761,855.94
550.896,855.62
551.032,856.36
551.167,856.48
551.302,855.52
551.438,856.14
551.573,857.14
551.708,856.98
551.843,856.62
551.979,856.36
552.114,857.54
552.249,857.82
552.384,856.28
552.519,856.98
552.655,856.18
552.79,857.16
552.925,855.6
553.06,857.56
553.195,856.7
553.331,858.5
553.466,857.32
553.601,857.12
553.736,857.84
553.871,857.76
554.006,858.14
554.141,857.42
554.276,857.46
554.412,857.02
554.547,857.66
554.682,857.9
554.817,857.84
554.952,859.06
555.087,858.04
555.222,857.86
555.357,856.12
555.492,856.86
555.627,857.26
555.762,857.3
555.897,857.26
556.032,857.64
556.167,857.72
556.302,858.38
556.437,857.4
556.572,858.3
556.707,858.46
556.842,859.28
556.977,860.16
557.112,859.2
557.247,858.42
557.382,859.76
557.517,859.38
557.652,859.26
557.787,859.22
557.922,859.7
558.057,859.36
558.192,859.9
558.327,859.26
558.462,858.16
558.596,859.1
558.731,858.6
558.866,859.4
559.001,859.18
559.136,859.64
559.271,859.14
559.406,858.74
559.54,859.44
559.675,859.76
559.81,859.38
559.945,859.24
560.08,859.98
560.215,858.4
560.349,858.94
560.484,860.2
560.619,858.44
560.754,858.92
560.889,859.4
561.023,859.22
561.158,860.1
561.293,860.1
561.428,859.66
561.562,859.46
561.697,859.22
561.832,859.8
561.966,859.78
562.101,859.64
562.236,860.56
562.371,861.24
562.505,861.46
562.64,860.54
562.775,861.46
562.909,861.66
563.044,862.54
563.179,862.22
563.313,862.62
563.448,863.76
563.583,864.02
563.717,864.9
563.852,870.02
563.986,882.32
564.121,887.7
564.256,875.26
564.39,869.48
564.525,867.48
564.659,866.88
564.794,866.34
564.929,867.9
565.063,865.56
565.198,865.58
565.332,865.2
565.467,864.22
565.601,865.12
565.736,866.12
565.87,867.84
566.005,874.54
566.139,888.78
566.274,887.36
566.408,874.34
566.543,867.24
566.677,865.16
566.812,864.3
566.946,864.36
567.081,864.3
567.215,864.14
567.35,866.62
567.484,868.18
567.619,866.32
567.753,865.26
567.888,863.44
568.022,863.0
568.156,863.86
568.291,863.34
568.425,864.26
568.56,863.62
568.694,863.44
568.828,863.38
568.963,864.1
569.097,864.18
569.231,864.12
569.366,864.42
569.5,865.1
569.635,864.5
569.769,864.8
569.903,865.48
570.038,865.24
570.172,866.06
570.306,864.78
570.441,866.34
570.575,867.62
570.709,866.64
570.843,868.82
570.978,868.16
571.112,868.96
571.246,870.72
571.38,878.18
571.515,904.24
571.649,906.26
571.783,882.52
571.917,876.04
572.052,873.9
572.186,871.74
572.32,870.18
572.454,869.52
572.589,868.78
572.723,868.26
572.857,867.56
572.991,868.3
573.125,868.88
573.26,868.74
573.394,869.04
573.528,866.82
573.662,869.62
573.796,869.34
573.93,869.12
574.064,871.4
574.199,869.3
574.333,869.2
574.467,868.58
574.601,868.58
574.735,868.4
574.869,869.6
575.003,867.8
575.137,869.98
575.271,869.92
575.406,875.24
575.54,884.54
575.674,884.1
575.808,879.98
575.942,881.58
576.076,888.66
576.21,901.48
576.344,909.62
576.478,903.0
576.612,896.62
576.746,892.96
576.88,892.46
577.014,894.08
577.148,892.64
577.282,889.36
577.416,884.08
577.55,880.66
577.684,878.6
577.818,876.28
577.952,876.14
578.086,876.54
578.22,876.58
578.354,875.92
578.488,876.22
578.622,876.64
578.756,875.94
578.89,877.42
579.023,877.64
579.157,877.2
579.291,877.6
579.425,877.8
579.559,878.9
579.693,878.14
579.827,879.26
579.961,879.18
580.095,880.0
580.228,881.08
580.362,880.86
580.496,881.98
580.63,881.98
580.764,881.46
580.898,880.4
581.032,881.3
581.165,881.98
581.299,883.56
581.433,883.2
581.567,883.64
581.701,884.68
581.834,885.4
581.968,885.62
582.102,885.12
582.236,885.84
582.37,886.7
582.503,886.74
582.637,886.12
582.771,888.92
582.905,889.12
583.038,889.62
583.172,889.14
583.306,889.04
583.44,889.14
583.573,889.58
583.707,890.42
583.841,890.5
583.974,892.42
584.108,892.12
584.242,893.62
584.375,892.92
584.509,892.74
584.643,895.16
584.777,892.98
584.91,893.74
585.044,894.32
585.177,893.86
585.311,894.56
585.445,894.76
585.578,894.94
585.712,895.94
585.846,896.92
585.979,897.58
586.113,897.74
586.247,897.82
586.38,900.2
586.514,899.68
586.647,899.82
586.781,901.48
586.914,901.76
587.048,901.2
587.182,902.3
587.315,902.6
587.449,903.02
587.582,903.82
587.716,905.46
587.849,904.66
587.983,904.08
588.116,904.96
588.25,904.7
588.384,906.12
588.517,907.1
588.651,905.8
588.784,906.22
588.918,906.62
589.051,908.26
589.185,909.48
589.318,909.3
589.452,908.36
589.585,909.54
589.718,911.06
589.852,911.94
589.985,911.26
590.119,911.28
590.252,913.24
590.386,913.62
590.519,914.8
590.653,912.9
590.786,915.54
590.919,914.98
591.053,915.44
591.186,917.3
591.32,915.46
591.453,917.86
591.586,917.84
591.72,918.76
591.853,917.92
591.987,918.82
592.12,919.8
592.253,918.2
592.387,920.38
592.52,920.4
592.653,918.84
592.787,919.1
592.92,919.16
593.053,918.26
593.187,919.5
593.32,919.14
593.453,919.54
593.587,921.02
593.72,919.78
593.853,921.62
593.987,922.06
594.12,921.6
594.253,924.04
594.386,922.46
594.52,924.42
594.653,925.46
594.786,925.08
594.919,923.26
595.053,924.82
595.186,926.08
595.319,926.46
595.452,926.54
595.586,927.88
595.719,927.9
595.852,928.14
595.985,928.9
596.119,930.4
596.252,926.8
596.385,930.42
596.518,930.42
596.651,930.3
596.785,931.12
596.918,934.0
597.051,931.64
597.184,931.54
597.317,933.54
597.45,935.66
597.584,934.88
597.717,934.76
597.85,933.36
597.983,937.66
598.116,939.32
598.249,938.8
598.382,936.64
598.516,937.86
598.649,936.94
598.782,939.08
598.915,939.34
599.048,940.68
599.181,940.84
599.314,940.9
599.447,941.44
599.58,940.72
599.713,942.52
599.847,941.84
599.98,942.54
600.113,942.72
600.246,942.48
600.379,942.08
600.512,944.14
600.645,941.5
600.778,942.32
600.911,940.88
601.044,942.52
601.177,944.78
601.31,941.74
601.443,942.74
601.576,942.52
601.709,942.86
601.842,943.28
601.975,943.66
602.108,943.48
602.241,941.76
602.374,943.22
602.507,941.34
602.64,939.72
602.773,942.94
602.906,941.42
603.039,940.04
603.172,940.94
603.305,938.82
603.438,939.04
603.571,940.32
603.703,937.56
603.836,937.12
603.969,936.48
604.102,937.42
604.235,936.34
604.368,935.76
604.501,935.0
604.634,934.56
604.767,932.8
604.9,930.36
605.033,930.06
605.165,930.28
605.298,928.94
605.431,927.38
605.564,926.06
605.697,926.96
605.83,926.3
605.963,925.4
606.095,924.18
606.228,922.5
606.361,922.62
606.494,921.26
606.627,919.78
606.76,919.22
606.892,919.7
607.025,919.78
607.158,918.26
607.291,917.24
607.424,918.18
607.556,917.34
607.689,916.54
607.822,916.7
607.955,915.78
608.088,914.96
608.22,914.04
608.353,914.78
608.486,913.2
608.619,915.0
608.751,912.64
608.884,913.6
609.017,912.38
609.15,912.82
609.282,910.34
609.415,910.02
609.548,909.3
609.681,909.34
609.813,907.66
609.946,909.54
610.079,908.8
610.211,907.24
610.344,908.24
610.477,908.56
610.609,906.88
610.742,905.94
610.875,907.1
611.007,906.42
611.14,907.16
611.273,905.64
611.405,905.4
611.538,906.26
611.671,904.36
611.803,904.2
611.936,903.54
612.069,904.7
612.201,902.06
612.334,903.6
612.467,903.54
612.599,903.3
612.732,902.7
612.864,903.08
612.997,903.62
613.13,903.08
613.262,901.16
613.395,900.34
613.527,901.42
613.66,901.7
613.793,901.12
613.925,899.66
614.058,900.92
614.19,899.82
614.323,899.48
614.456,898.3
614.588,899.02
614.721,899.66
614.853,897.66
614.986,898.4
615.118,899.54
615.251,898.98
615.383,897.56
615.516,897.88
615.648,897.44
615.781,896.68
615.913,897.1
616.046,895.88
616.178,895.2
616.311,896.72
616.443,894.64
616.576,895.14
616.708,896.32
616.841,895.24
616.973,896.24
617.106,896.6
617.238,896.8
617.371,896.52
617.503,896.0
617.636,896.42
617.768,895.66
617.901,895.82
618.033,895.34
618.166,896.54
618.298,894.72
