nm,Intensity
526.505,828.6
526.642,828.66
526.778,828.6
526.915,827.94
527.052,828.5
527.188,828.14
527.325,828.26
527.462,828.8
527.598,828.74
527.735,828.82
527.872,827.96
528.008,828.16
528.145,828.2
528.282,828.26
528.418,828.18
528.555,828.42
528.691,828.44
528.828,828.78
528.965,827.98
529.101,828.38
529.238,828.76
529.374,828.02
529.511,828.56
529.647,828.18
529.784,827.8
529.92,828.74
530.057,827.96
530.193,828.44
530.33,828.42
530.466,828.32
530.603,828.64
530.739,828.08
530.876,828.28
531.012,828.34
531.149,828.56
531.285,828.28
531.421,828.04
531.558,827.98
531.694,828.52
531.831,829.04
531.967,831.54
532.103,857.66
532.24,874.02
532.376,840.1
532.513,829.58
532.649,828.18
532.785,828.42
532.922,828.98
533.058,827.8
533.194,827.76
533.331,828.7
533.467,828.68
533.603,830.2
533.739,839.16
533.876,889.78
534.012,982.9
534.148,1025.32
534.284,1028.08
534.421,1014.16
534.557,1006.4
534.693,1000.58
534.829,993.18
534.966,983.64
535.102,973.0
535.238,969.56
535.374,966.72
535.51,963.7
535.647,963.74
535.783,962.9
535.919,958.0
536.055,958.58
536.191,955.04
536.327,953.46
536.464,953.94
536.6,951.06
536.736,950.98
536.872,948.98
537.008,949.54
537.144,950.04
537.28,951.66
537.416,951.06
537.552,953.58
537.688,954.9
537.824,954.14
537.961,953.7
538.097,954.48
538.233,956.26
538.369,955.8
538.505,955.44
538.641,952.16
538.777,952.62
538.913,950.54
539.049,948.0
539.185,948.88
539.321,947.42
539.457,946.3
539.592,943.9
539.728,944.58
539.864,944.2
540.0,943.42
540.136,942.66
540.272,943.0
540.408,943.18
540.544,941.66
540.68,943.64
540.816,942.8
540.952,942.96
541.087,943.3
541.223,941.68
541.359,943.5
541.495,944.16
541.631,945.58
541.767,944.08
541.903,943.74
542.038,946.54
542.174,946.52
542.31,944.52
542.446,945.6
542.582,946.46
542.717,946.44
542.853,947.3
542.989,946.64
543.125,949.74
543.26,948.46
543.396,948.66
543.532,947.38
543.668,947.04
543.803,948.78
543.939,949.36
544.075,951.82
544.21,949.02
544.346,950.54
544.482,949.58
544.617,952.1
544.753,955.58
544.889,953.12
545.024,953.86
545.16,955.62
545.296,956.06
545.431,955.92
545.567,955.56
545.703,957.3
545.838,953.48
545.974,953.46
546.109,955.3
546.245,956.26
546.381,956.22
546.516,958.68
546.652,960.46
546.787,958.58
546.923,958.26
547.058,954.4
547.194,953.82
547.329,956.42
547.465,955.54
547.6,957.02
547.736,955.82
547.871,957.86
548.007,955.8
548.142,956.58
548.278,956.7
548.413,957.18
548.549,956.24
548.684,959.16
548.82,959.06
548.955,957.6
549.091,959.72
549.226,961.24
549.361,960.94
549.497,961.96
549.632,961.72
549.768,963.1
549.903,964.52
550.038,964.48
550.174,965.0
550.309,966.36
550.444,965.78
550.58,961.62
550.715,964.88
550.85,964.12
550.986,962.28
551.121,964.5
551.256,961.28
551.392,963.02
551.527,964.92
551.662,965.26
551.798,965.4
551.933,965.86
552.068,965.4
552.203,965.0
552.339,965.5
552.474,965.6
552.609,966.56
552.744,966.44
552.88,968.26
553.015,966.3
553.15,970.7
553.285,973.0
553.42,972.58
553.556,970.5
553.691,972.58
553.826,974.52
553.961,975.26
554.096,976.92
554.231,976.46
554.367,976.74
554.502,975.86
554.637,976.22
554.772,977.1
554.907,979.9
555.042,977.76
555.177,978.18
555.312,980.44
555.448,980.2
555.583,980.2
555.718,978.38
555.853,979.7
555.988,980.68
556.123,982.96
556.258,983.38
556.393,985.08
556.528,983.0
556.663,985.68
556.798,986.76
556.933,988.14
557.068,988.76
557.203,990.0
557.338,991.92
557.473,993.78
557.608,993.28
557.743,994.8
557.878,997.2
558.013,994.68
558.148,992.74
558.283,992.7
558.418,992.74
558.553,993.2
558.688,993.24
558.822,993.0
558.957,988.66
559.092,991.36
559.227,992.0
559.362,989.54
559.497,989.48
559.632,989.58
559.767,992.32
559.902,990.16
560.036,991.02
560.171,990.58
560.306,987.94
560.441,991.64
560.576,992.68
560.711,990.12
560.845,990.24
560.98,991.88
561.115,990.56
561.25,990.78
561.385,990.04
561.519,992.52
561.654,993.58
561.789,991.74
561.924,998.32
562.058,1001.08
562.193,1010.0
562.328,1026.76
562.463,1019.74
562.597,1006.14
562.732,1003.58
562.867,1003.24
563.001,1003.64
563.136,1007.14
563.271,1009.42
563.406,1008.56
563.54,1010.48
563.675,1015.16
563.81,1017.68
563.944,1032.06
564.079,1047.04
564.213,1043.12
564.348,1035.44
564.483,1033.5
564.617,1036.54
564.752,1034.26
564.887,1035.76
565.021,1030.66
565.156,1024.38
565.29,1019.02
565.425,1017.46
565.56,1014.7
565.694,1015.38
565.829,1015.42
565.963,1023.34
566.098,1036.62
566.232,1038.0
566.367,1023.98
566.501,1016.0
566.636,1011.9
566.77,1011.48
566.905,1010.7
567.039,1009.98
567.174,1007.84
567.308,1009.46
567.443,1012.42
567.577,1008.62
567.712,1010.04
567.846,1009.38
567.981,1006.74
568.115,1007.94
568.25,1008.9
568.384,1007.0
568.518,1007.74
568.653,1009.56
568.787,1010.64
568.922,1010.82
569.056,1013.26
569.191,1012.96
569.325,1015.6
569.459,1015.1
569.594,1015.7
569.728,1016.54
569.862,1014.4
569.997,1014.04
570.131,1018.86
570.265,1017.42
570.4,1019.28
570.534,1021.82
570.668,1024.18
570.803,1027.32
570.937,1027.2
571.071,1028.94
571.206,1037.58
571.34,1044.86
571.474,1068.88
571.609,1102.58
571.743,1097.52
571.877,1083.0
572.011,1077.72
572.146,1067.88
572.28,1059.82
572.414,1051.06
572.548,1044.86
572.683,1036.98
572.817,1032.66
572.951,1035.02
573.085,1031.76
573.219,1032.84
573.354,1031.96
573.488,1032.02
573.622,1031.14
573.756,1031.34
573.89,1036.06
574.025,1036.94
574.159,1033.16
574.293,1032.16
574.427,1029.62
574.561,1028.42
574.695,1028.3
574.829,1030.6
574.964,1030.82
575.098,1032.74
575.232,1035.52
575.366,1037.94
575.5,1044.46
575.634,1056.58
575.768,1061.36
575.902,1071.3
576.036,1089.02
576.17,1120.36
576.304,1146.98
576.438,1148.46
576.573,1139.04
576.707,1129.14
576.841,1117.86
576.975,1107.52
577.109,1096.44
577.243,1084.08
577.377,1065.56
577.511,1055.74
577.645,1052.18
577.779,1049.3
577.913,1045.26
578.047,1039.82
578.181,1038.58
578.315,1041.08
578.449,1037.7
578.583,1038.18
578.716,1039.26
578.85,1037.08
578.984,1038.52
579.118,1038.08
579.252,1035.1
579.386,1037.98
579.52,1036.58
579.654,1036.62
579.788,1037.96
579.922,1036.4
580.056,1039.78
580.19,1036.64
580.323,1036.68
580.457,1037.36
580.591,1038.96
580.725,1038.76
580.859,1039.36
580.993,1038.1
581.127,1038.88
581.26,1039.56
581.394,1037.3
581.528,1040.92
581.662,1038.7
581.796,1041.34
581.929,1041.4
582.063,1042.0
582.197,1041.76
582.331,1040.36
582.465,1042.7
582.598,1041.22
582.732,1042.96
582.866,1042.78
583.0,1042.62
583.133,1044.04
583.267,1042.22
583.401,1043.94
583.535,1041.04
583.668,1044.62
583.802,1045.28
583.936,1043.64
584.07,1045.12
584.203,1044.54
584.337,1042.38
584.471,1046.22
584.604,1043.2
584.738,1046.42
584.872,1043.2
585.005,1043.94
585.139,1045.66
585.273,1046.98
585.406,1045.38
585.54,1045.36
585.674,1047.16
585.807,1049.62
585.941,1049.12
586.074,1049.58
586.208,1050.44
586.342,1047.38
586.475,1049.56
586.609,1050.74
586.742,1051.56
586.876,1051.76
587.01,1052.02
587.143,1050.8
587.277,1054.3
587.41,1053.18
587.544,1055.36
587.678,1053.46
587.811,1052.94
587.945,1053.16
588.078,1057.0
588.212,1052.22
588.345,1056.02
588.479,1052.72
588.612,1054.64
588.746,1053.44
588.879,1055.22
589.013,1053.7
589.146,1055.58
589.28,1056.68
589.413,1053.1
589.547,1053.48
589.68,1054.2
589.814,1055.46
589.947,1056.88
590.081,1057.76
590.214,1056.54
590.347,1056.7
590.481,1060.0
590.614,1058.56
590.748,1058.4
590.881,1060.34
591.015,1060.86
591.148,1061.58
591.281,1062.88
591.415,1062.42
591.548,1061.32
591.682,1062.44
591.815,1063.24
591.948,1065.2
592.082,1064.78
592.215,1065.18
592.348,1065.32
592.482,1068.44
592.615,1065.5
592.748,1068.12
592.882,1068.84
593.015,1066.6
593.148,1067.64
593.282,1068.62
593.415,1069.0
593.548,1073.52
593.682,1072.28
593.815,1073.74
