nm,Intensity
526.505,828.22
526.642,828.48
526.778,828.52
526.915,828.3
527.052,829.2
527.188,828.48
527.325,828.4
527.462,827.94
527.598,827.94
527.735,828.12
527.872,828.38
528.008,828.04
528.145,828.08
528.282,828.84
528.418,828.16
528.555,828.52
528.691,828.48
528.828,828.0
528.965,828.44
529.101,828.06
529.238,828.78
529.374,828.78
529.511,828.92
529.647,828.26
529.784,828.1
529.92,828.12
530.057,828.46
530.193,828.52
530.33,828.3
530.466,828.6
530.603,828.84
530.739,828.56
530.876,827.92
531.012,828.6
531.149,828.4
531.285,828.26
531.421,828.88
531.558,828.7
531.694,827.82
531.831,828.4
531.967,831.3
532.103,856.14
532.24,872.06
532.376,839.9
532.513,829.62
532.649,828.22
532.785,828.76
532.922,828.66
533.058,828.36
533.194,828.28
533.331,828.76
533.467,828.24
533.603,829.76
533.739,836.06
533.876,871.6
534.012,934.96
534.148,964.04
534.284,966.5
534.421,960.26
534.557,954.38
534.693,953.64
534.829,949.04
534.966,941.22
535.102,935.36
535.238,924.94
535.374,914.92
535.51,908.68
535.647,902.16
535.783,896.56
535.919,894.52
536.055,891.52
536.191,890.88
536.327,887.36
536.464,885.76
536.6,881.46
536.736,880.96
536.872,880.28
537.008,879.48
537.144,879.78
537.28,879.46
537.416,877.8
537.552,877.98
537.688,879.98
537.824,880.42
537.961,880.36
538.097,879.08
538.233,879.52
538.369,878.78
538.505,877.36
538.641,876.2
538.777,875.68
538.913,875.46
539.049,872.9
539.185,871.82
539.321,871.66
539.457,868.82
539.592,868.92
539.728,867.44
539.864,868.26
540.0,867.34
540.136,866.1
540.272,864.94
540.408,863.74
540.544,863.52
540.68,863.3
540.816,863.78
540.952,862.74
541.087,863.26
541.223,863.5
541.359,862.92
541.495,862.68
541.631,862.8
541.767,864.1
541.903,862.82
542.038,864.46
542.174,863.08
542.31,862.12
542.446,864.26
542.582,863.6
542.717,862.96
542.853,864.46
542.989,863.14
543.125,863.72
543.26,863.28
543.396,864.36
543.532,864.38
543.668,865.08
543.803,865.32
543.939,864.56
544.075,866.04
544.21,868.02
544.346,868.64
544.482,871.0
544.617,872.16
544.753,872.84
544.889,874.04
545.024,875.58
545.16,875.82
545.296,877.38
545.431,873.32
545.567,871.12
545.703,868.5
545.838,865.34
545.974,864.6
546.109,863.18
546.245,863.0
546.381,862.52
546.516,862.56
546.652,862.28
546.787,861.52
546.923,862.06
547.058,860.98
547.194,862.52
547.329,862.3
547.465,862.08
547.6,862.6
547.736,861.5
547.871,862.92
548.007,862.24
548.142,861.3
548.278,861.88
548.413,863.16
548.549,862.96
548.684,862.24
548.82,863.72
548.955,864.22
549.091,865.36
549.226,865.9
549.361,866.78
549.497,869.22
549.632,871.92
549.768,872.36
549.903,874.8
550.038,875.1
550.174,874.5
550.309,873.48
550.444,871.16
550.58,867.22
550.715,868.36
550.85,866.2
550.986,864.48
551.121,862.96
551.256,863.04
551.392,862.64
551.527,862.88
551.662,862.68
