nm,Intensity
526.532,830.225
526.669,830.425
526.805,830.25
526.942,830.075
527.079,829.975
527.216,830.7
527.352,830.175
527.489,830.675
527.625,829.925
527.762,830.425
527.899,829.725
528.035,829.75
528.172,830.1
528.309,829.85
528.445,830.0
528.582,830.2
528.718,830.6
528.855,829.975
528.992,830.0
529.128,830.625
529.265,829.625
529.401,830.65
529.538,830.15
529.674,829.575
529.811,830.2
529.947,829.35
530.084,829.45
530.22,831.175
530.357,829.875
530.493,829.775
530.63,829.975
530.766,830.15
530.903,830.225
531.039,829.95
531.176,830.125
531.312,830.95
531.449,830.175
531.585,830.6
531.721,830.55
531.858,829.6
531.994,835.925
532.131,860.075
532.267,854.0
532.403,834.225
532.54,831.05
532.676,830.475
532.812,829.3
532.949,829.95
533.085,830.525
533.221,830.425
533.358,829.525
533.494,830.125
533.63,830.65
533.767,834.375
533.903,846.0
534.039,859.875
534.176,864.675
534.312,864.45
534.448,863.8
534.584,862.15
534.721,862.775
534.857,860.225
534.993,858.825
535.129,857.85
535.266,855.825
535.402,855.7
535.538,856.225
535.674,855.725
535.81,854.825
535.947,853.95
536.083,854.75
536.219,853.825
536.355,852.925
536.491,852.725
536.627,851.525
536.764,853.2
536.9,851.85
537.036,850.95
537.172,852.3
537.308,854.1
537.444,853.425
537.58,853.95
537.716,854.55
537.852,854.275
537.988,855.0
538.125,856.0
538.261,855.125
538.397,854.55
538.533,855.3
538.669,854.1
538.805,854.625
538.941,854.125
539.077,854.85
539.213,853.6
539.349,854.225
539.485,853.825
539.621,852.5
539.757,853.05
539.893,853.575
540.029,853.275
540.165,853.0
540.301,851.85
540.437,852.15
540.572,853.05
540.708,851.85
540.844,851.6
540.98,851.0
541.116,851.65
541.252,852.05
541.388,852.35
541.524,853.35
541.66,852.9
541.795,852.725
541.931,852.95
542.067,851.9
542.203,852.4
542.339,852.425
542.475,852.225
542.611,852.975
542.746,853.05
542.882,852.7
543.018,853.675
543.154,853.9
543.289,852.275
543.425,853.875
543.561,854.6
543.697,854.35
543.833,854.225
543.968,854.275
544.104,856.25
544.24,855.675
544.375,857.5
544.511,858.175
544.647,856.375
544.783,858.775
544.918,859.5
545.054,861.25
545.19,860.075
545.325,860.725
545.461,857.675
545.597,858.35
545.732,856.275
545.868,855.325
546.004,855.1
546.139,853.05
546.275,853.075
546.41,853.4
546.546,854.25
546.682,853.2
546.817,853.625
546.953,853.525
547.088,853.725
547.224,853.15
547.36,854.55
547.495,853.475
547.631,854.075
547.766,852.725
547.902,853.8
548.037,854.625
548.173,853.6
548.308,852.8
548.444,854.2
548.579,854.9
548.715,854.475
548.85,854.025
548.986,855.275
549.121,857.8
549.257,857.525
549.392,857.925
549.528,860.525
549.663,861.425
549.798,861.275
549.934,862.025
550.069,862.3
550.205,862.2
550.34,861.375
550.475,859.125
550.611,858.975
550.746,857.725
550.882,856.875
551.017,857.775
551.152,856.7
551.288,855.9
551.423,855.9
551.558,856.125
551.694,857.275
551.829,855.475
551.964,856.375
552.1,856.5
552.235,856.525
552.37,855.775
552.505,855.125
552.641,856.175
552.776,855.525
552.911,855.25
553.047,855.55
553.182,856.375
553.317,856.775
553.452,856.525
553.588,856.4
553.723,857.025
553.858,856.775
553.993,855.4
554.128,856.975
554.264,856.225
554.399,855.3
554.534,856.2
554.669,856.45
554.804,856.5
554.939,856.95
555.075,856.375
555.21,857.425
555.345,856.35
555.48,856.15
555.615,856.55
555.75,857.225
555.885,856.125
556.02,855.225
556.155,856.65
556.291,856.725
556.426,856.475
556.561,857.2
556.696,857.35
556.831,857.8
556.966,858.025
557.101,857.775
557.236,858.525
557.371,858.4
557.506,857.825
557.641,858.475
557.776,859.175
557.911,860.35
558.046,858.725
558.181,858.525
558.316,858.775
558.451,859.4
558.586,857.775
558.721,857.9
558.856,858.225
558.991,858.075
559.126,858.125
559.261,858.35
559.396,858.35
559.531,858.2
559.665,858.8
559.8,858.825
559.935,856.95
560.07,857.725
560.205,857.5
560.34,858.2
560.475,859.2
560.61,857.975
560.745,858.7
560.879,858.25
561.014,857.7
561.149,859.4
561.284,858.85
561.419,859.525
561.553,857.775
561.688,857.625
561.823,859.75
561.958,858.7
562.093,858.825
562.227,859.675
562.362,859.475
562.497,860.075
562.632,860.3
562.767,860.35
562.901,861.2
563.036,860.95
563.171,862.05
563.305,861.775
563.44,863.4
563.575,864.3
