nm,Intensity
526.553,835.32
526.69,835.66
526.827,834.96
526.963,835.5
527.1,835.32
527.237,835.54
527.373,835.58
527.51,835.18
527.647,835.08
527.784,835.48
527.92,835.54
528.057,835.02
528.194,835.14
528.33,835.42
528.467,834.84
528.603,834.9
528.74,835.34
528.877,835.74
529.013,835.38
529.15,835.38
529.286,835.66
529.423,835.46
529.56,835.38
529.696,835.1
529.833,835.36
529.969,835.0
530.106,835.48
530.242,834.86
530.379,835.74
530.515,835.36
530.652,835.4
530.788,835.4
530.925,835.82
531.061,835.58
531.198,834.86
531.334,835.2
531.47,836.1
531.607,835.12
531.743,835.76
531.88,835.24
532.016,844.52
532.152,871.9
532.289,858.8
532.425,838.02
532.562,835.76
532.698,834.96
532.834,835.44
532.971,835.06
533.107,835.6
533.243,835.52
533.38,835.36
533.516,835.42
533.652,836.92
533.789,841.38
533.925,860.44
534.061,875.6
534.197,880.1
534.334,879.02
534.47,876.92
534.606,878.26
534.742,878.22
534.879,877.94
535.015,875.96
535.151,875.58
535.287,874.42
535.423,874.76
535.56,875.2
535.696,874.78
535.832,874.4
535.968,872.14
536.104,869.68
536.24,870.38
536.376,869.24
536.513,867.3
536.649,868.2
536.785,870.1
536.921,869.26
537.057,869.22
537.193,867.88
537.329,868.56
537.465,869.12
537.601,867.08
537.737,866.34
537.873,865.56
538.009,867.36
538.145,869.1
538.281,867.56
538.417,867.72
538.553,866.24
538.689,866.02
538.825,864.98
538.961,863.86
539.097,864.4
539.233,863.5
539.369,864.08
539.505,862.82
539.641,864.8
539.777,864.38
539.913,863.38
540.049,863.38
540.185,862.9
540.321,863.36
540.457,864.84
540.592,864.14
540.728,863.14
540.864,864.64
541.0,864.6
541.136,864.62
541.272,865.98
541.408,865.02
541.543,865.2
541.679,865.06
541.815,864.46
541.951,864.58
542.087,863.92
542.222,864.72
542.358,864.06
542.494,864.4
542.63,864.82
542.765,865.16
542.901,864.64
543.037,864.6
543.173,866.06
543.308,865.6
543.444,864.44
543.58,865.86
543.715,865.68
543.851,864.78
543.987,866.12
544.123,866.3
544.258,866.8
544.394,866.48
544.529,866.26
544.665,866.16
544.801,866.88
544.936,866.04
545.072,865.68
545.208,866.64
545.343,866.84
545.479,867.02
545.614,865.24
545.75,867.14
545.886,867.58
546.021,868.84
546.157,871.0
546.292,874.36
546.428,881.76
546.563,885.68
546.699,880.98
546.834,872.98
546.97,870.76
547.105,869.1
547.241,868.46
547.376,868.0
547.512,867.42
547.647,868.86
547.783,867.58
547.918,867.34
548.054,867.94
548.189,867.94
548.325,867.22
548.46,868.4
548.595,868.38
548.731,869.74
548.866,869.68
549.002,868.96
549.137,868.46
549.272,870.42
549.408,869.98
549.543,870.7
549.679,868.98
549.814,870.22
549.949,870.36
550.085,872.18
550.22,875.7
550.355,876.78
550.491,874.24
550.626,871.22
550.761,869.72
550.896,868.5
551.032,869.48
551.167,868.94
551.302,869.08
551.438,869.24
551.573,870.64
551.708,873.34
551.843,878.18
551.979,875.58
552.114,870.9
552.249,869.28
552.384,869.46
552.519,870.06
552.655,868.36
552.79,868.56
552.925,867.88
553.06,869.84
553.195,869.12
553.331,868.62
553.466,869.58
553.601,870.98
553.736,870.22
553.871,870.4
554.006,870.76
554.141,870.02
554.276,870.8
554.412,869.7
554.547,870.84
554.682,870.3
554.817,869.52
554.952,870.0
555.087,870.44
555.222,871.1
555.357,871.94
555.492,870.16
555.627,870.54
555.762,871.82
555.897,870.8
556.032,871.68
556.167,870.52
556.302,871.16
556.437,872.14
556.572,872.16
556.707,870.96
556.842,871.58
556.977,872.28
557.112,873.14
557.247,872.36
557.382,873.02
557.517,873.96
557.652,873.84
557.787,873.56
557.922,873.52
558.057,872.18
558.192,873.96
558.327,872.94
558.462,873.62
558.596,873.46
558.731,873.42
558.866,874.74
559.001,874.52
559.136,873.32
559.271,873.38
559.406,872.14
559.54,874.46
559.675,874.02
559.81,873.42
559.945,874.42
560.08,873.24
560.215,872.2
560.349,873.44
560.484,874.58
560.619,872.56
560.754,873.86
560.889,873.26
561.023,873.54
561.158,875.82
561.293,875.62
561.428,874.94
561.562,876.68
561.697,877.12
561.832,880.1
561.966,886.72
562.101,903.98
562.236,983.94
562.371,1054.2
562.505,964.12
562.64,898.34
562.775,884.54
562.909,882.48
563.044,880.08
563.179,879.0
563.313,879.4
563.448,878.94
563.583,879.88
563.717,882.5
563.852,892.38
563.986,917.0
564.121,926.86
564.256,899.06
564.39,887.26
564.525,886.22
564.659,885.64
564.794,886.48
564.929,885.88
565.063,883.86
565.198,883.84
565.332,885.18
565.467,885.66
565.601,886.38
565.736,889.9
565.87,895.36
566.005,912.66
566.139,950.06
566.274,962.56
566.408,934.38
566.543,908.9
566.677,894.58
566.812,887.24
566.946,883.72
567.081,882.0
567.215,881.76
567.35,882.44
567.484,884.2
567.619,883.04
567.753,880.2
567.888,878.78
568.022,879.7
568.156,879.76
568.291,878.82
568.425,878.3
568.56,878.46
568.694,879.2
568.828,880.32
568.963,881.66
569.097,880.5
569.231,880.34
569.366,880.3
569.5,879.76
569.635,881.66
569.769,880.5
569.903,880.68
570.038,881.6
570.172,881.44
570.306,880.44
570.441,883.1
570.575,882.96
570.709,884.98
570.843,884.56
570.978,885.5
571.112,886.84
571.246,889.22
571.38,906.14
571.515,955.66
571.649,960.3
571.783,910.16
571.917,897.04
572.052,892.48
572.186,890.62
572.32,889.26
572.454,886.84
572.589,884.9
572.723,884.84
572.857,884.44
572.991,883.5
573.125,885.3
573.26,884.7
573.394,884.68
573.528,884.84
573.662,886.36
573.796,885.32
573.93,888.1
574.064,890.82
574.199,887.78
574.333,885.42
574.467,884.96
574.601,885.26
574.735,882.56
574.869,885.78
575.003,885.54
575.137,886.18
575.271,888.94
575.406,901.72
575.54,928.82
575.674,925.32
575.808,907.3
575.942,907.46
576.076,915.68
576.21,929.78
576.344,940.76
576.478,931.28
576.612,922.74
576.746,918.54
576.88,919.24
577.014,919.7
577.148,918.32
577.282,910.62
577.416,903.32
577.55,898.4
577.684,896.86
577.818,893.3
577.952,893.9
578.086,893.74
578.22,893.86
578.354,891.62
578.488,892.56
578.622,893.32
578.756,893.04
578.89,893.72
579.023,893.92
579.157,893.94
579.291,893.2
579.425,895.92
579.559,896.26
579.693,895.78
579.827,898.26
579.961,896.56
580.095,897.48
580.228,897.24
580.362,897.36
580.496,897.8
580.63,898.92
580.764,899.78
580.898,900.4
581.032,899.86
