nm,Intensity
526.549,832.28
526.686,831.16
526.823,831.98
526.959,832.22
527.096,832.0
527.233,831.56
527.37,831.9
527.506,832.56
527.643,831.86
527.78,831.64
527.917,831.66
528.053,832.64
528.19,832.22
528.327,832.26
528.463,831.94
528.6,831.4
528.737,831.86
528.873,831.58
529.01,831.64
529.147,831.82
529.283,831.38
529.42,831.96
529.556,831.74
529.693,831.64
529.83,832.02
529.966,831.68
530.103,832.38
530.239,831.6
530.376,831.94
530.512,831.84
530.649,832.0
530.785,831.16
530.922,831.86
531.058,831.88
531.195,831.94
531.331,832.06
531.468,830.86
531.604,831.5
531.741,831.84
531.877,831.92
532.014,842.38
532.15,881.34
532.287,871.86
532.423,837.62
532.559,832.84
532.696,831.34
532.832,831.88
532.968,832.0
533.105,831.74
533.241,831.52
533.378,831.84
533.514,831.98
533.65,832.22
533.787,835.84
533.923,848.8
534.059,862.38
534.196,867.66
534.332,867.64
534.468,868.1
534.604,866.98
534.741,867.1
534.877,868.46
535.013,865.7
535.149,867.48
535.286,866.98
535.422,866.68
535.558,865.78
535.694,866.02
535.83,865.58
535.967,866.38
536.103,867.9
536.239,869.46
536.375,868.62
536.511,867.3
536.647,864.58
536.784,863.46
536.92,864.66
537.056,864.88
537.192,864.52
537.328,865.24
537.464,864.74
537.6,864.14
537.736,864.9
537.872,865.22
538.008,864.2
538.145,865.2
538.281,863.86
538.417,864.5
538.553,863.92
538.689,864.46
538.825,865.32
538.961,864.24
539.097,864.7
539.233,864.52
539.369,865.32
539.505,864.84
539.641,864.42
539.777,864.38
539.912,864.32
540.048,865.2
540.184,866.24
540.32,866.08
540.456,866.52
540.592,866.1
540.728,865.88
540.864,867.24
541.0,866.2
541.136,868.06
541.271,866.74
541.407,868.04
541.543,867.9
541.679,867.76
541.815,866.82
541.951,868.66
542.087,867.26
542.222,867.76
542.358,867.3
542.494,867.9
542.63,868.46
542.765,868.66
542.901,868.32
543.037,868.02
543.173,868.46
543.308,869.64
543.444,869.38
543.58,869.1
543.716,869.7
543.851,868.3
543.987,869.34
544.123,869.42
544.258,869.74
544.394,869.38
544.53,869.94
544.665,869.92
544.801,870.64
544.937,870.66
545.072,870.3
545.208,871.2
545.344,871.64
545.479,871.4
545.615,871.5
545.75,872.06
545.886,872.54
546.022,871.98
546.157,872.28
546.293,871.98
546.428,874.1
546.564,871.5
546.699,871.64
546.835,872.38
546.971,874.4
547.106,873.06
547.242,873.36
547.377,873.14
547.513,872.48
547.648,872.7
547.784,872.5
547.919,872.4
548.054,873.48
548.19,873.04
548.325,872.66
548.461,874.08
548.596,873.22
548.732,873.16
548.867,873.66
549.003,874.08
549.138,873.88
549.273,872.58
549.409,874.04
549.544,873.82
549.679,873.84
549.815,875.42
549.95,874.48
550.086,875.02
550.221,874.86
550.356,874.2
550.492,874.8
550.627,875.76
550.762,876.58
550.898,876.2
551.033,875.6
551.168,875.16
551.303,876.48
551.439,876.6
551.574,876.28
551.709,876.78
551.844,877.2
551.98,876.52
552.115,876.68
552.25,876.88
552.385,876.14
552.521,876.82
552.656,877.1
552.791,876.22
552.926,876.62
553.061,877.04
553.197,877.84
553.332,876.86
553.467,878.38
553.602,878.52
553.737,877.3
553.872,877.44
554.007,878.78
554.143,879.8
554.278,878.4
554.413,879.72
554.548,879.3
554.683,879.1
554.818,879.56
554.953,878.92
555.088,878.48
555.223,879.22
555.358,879.22
555.493,879.42
555.629,879.34
555.764,881.72
555.899,881.72
556.034,880.62
556.169,881.5
556.304,881.92
556.439,882.28
556.574,881.32
556.709,882.82
556.844,881.38
556.979,882.26
557.114,883.4
557.248,882.44
557.383,883.3
557.518,884.34
557.653,882.58
557.788,884.54
557.923,885.24
558.058,883.06
558.193,882.72
558.328,883.74
558.463,883.22
558.598,883.6
558.733,884.74
558.867,883.66
559.002,884.76
559.137,884.94
559.272,884.02
559.407,883.24
559.542,885.42
559.677,884.4
559.811,885.98
559.946,885.72
560.081,885.08
560.216,886.12
560.351,885.76
560.485,885.08
560.62,886.7
560.755,887.16
560.89,887.02
561.024,885.76
561.159,886.46
561.294,887.64
561.429,886.34
561.563,886.46
561.698,885.46
561.833,886.1
561.968,886.14
562.102,885.12
562.237,886.12
562.372,886.44
562.506,889.02
562.641,887.12
562.776,888.88
562.91,888.86
563.045,890.04
563.18,889.52
563.314,887.44
563.449,889.0
563.584,890.48
563.718,891.36
563.853,895.82
563.987,905.98
564.122,910.64
564.257,901.16
564.391,893.9
564.526,893.46
564.66,892.3
564.795,893.58
564.93,893.34
565.064,892.08
565.199,893.3
565.333,893.4
565.468,893.04
565.602,892.48
565.737,894.06
565.871,894.86
566.006,899.36
566.14,909.78
566.275,912.14
566.409,899.68
566.544,895.02
566.678,893.16
566.813,892.14
566.947,890.58
567.082,891.5
567.216,893.54
567.351,891.64
567.485,893.94
567.619,894.52
567.754,891.56
567.888,892.16
568.023,890.84
568.157,891.44
568.291,891.54
568.426,892.44
568.56,890.76
568.695,891.88
568.829,892.08
568.963,892.6
569.098,894.74
569.232,891.5
569.366,892.48
569.501,891.18
569.635,893.12
569.769,892.74
569.904,892.48
570.038,893.24
570.172,892.76
570.307,893.62
570.441,892.38
570.575,892.8
570.709,894.48
570.844,893.96
570.978,893.6
571.112,894.08
571.247,894.82
571.381,900.92
571.515,920.18
571.649,925.02
571.783,904.46
571.918,898.16
572.052,896.94
572.186,895.26
572.32,895.38
572.455,894.12
572.589,895.06
572.723,894.22
572.857,893.26
572.991,893.16
573.125,893.06
573.26,893.58
573.394,894.12
573.528,894.6
573.662,894.1
573.796,892.9
573.93,894.98
574.064,893.94
574.199,895.34
574.333,894.04
574.467,894.78
574.601,892.44
574.735,892.1
574.869,892.8
575.003,892.38
575.137,892.64
575.271,893.96
575.405,896.36
575.539,904.28
575.673,904.7
575.807,898.64
575.941,900.0
576.075,903.5
576.209,911.16
576.344,915.72
576.478,911.88
576.612,907.24
576.746,905.5
576.88,904.96
577.014,905.2
577.147,904.8
577.281,902.96
577.415,899.58
577.549,896.16
577.683,896.54
577.817,893.82
577.951,894.14
578.085,894.96
578.219,893.78
578.353,893.16
578.487,893.0
578.621,893.9
578.755,894.68
578.889,893.34
579.023,893.34
579.156,893.56
579.29,892.34
579.424,893.92
579.558,892.88
579.692,894.88
579.826,894.64
579.96,893.28
580.094,895.06
580.227,894.36
580.361,894.88
580.495,894.32
580.629,894.06
580.763,894.92
580.897,893.18
581.03,894.14
581.164,895.42
581.298,894.86
581.432,894.48
581.565,894.22
581.699,894.06
581.833,894.26
581.967,895.26
582.101,896.52
582.234,895.84
582.368,895.48
582.502,896.82
582.636,895.5
582.769,895.24
582.903,896.24
583.037,897.36
583.17,896.44
583.304,897.5
583.438,896.5
583.572,897.46
583.705,898.6
583.839,896.24
583.973,896.46
584.106,896.48
584.24,896.16
584.374,897.88
584.507,898.28
584.641,896.76
584.775,896.96
584.908,897.04
585.042,897.74
585.175,899.5
585.309,898.24
585.443,897.24
585.576,897.54
585.71,898.0
585.844,899.24
585.977,899.14
586.111,897.5
586.244,897.22
586.378,900.28
586.511,898.74
586.645,899.9
586.779,900.26
586.912,898.28
587.046,899.08
587.179,898.28
587.313,899.92
587.446,900.26
587.58,900.42
587.713,900.88
587.847,899.92
587.98,899.28
588.114,900.2
588.247,899.52
588.381,900.48
588.514,898.92
588.648,899.04
588.781,898.26
588.915,899.22
589.048,900.46
589.182,898.26
589.315,899.92
589.449,898.92
589.582,899.28
589.716,898.64
589.849,900.02
589.982,900.02
590.116,899.1
590.249,900.16
590.383,900.1
590.516,900.36
590.65,900.3
590.783,901.0
590.916,900.1
591.05,901.0
591.183,899.96
591.316,901.22
591.45,900.4
591.583,901.24
591.717,900.74
591.85,900.56
591.983,900.76
592.117,902.08
592.25,901.26
592.383,902.8
592.517,902.36
592.65,900.02
592.783,901.7
592.917,902.4
593.05,902.48
593.183,903.0
593.316,902.5
593.45,903.1
593.583,902.7
593.716,903.0
593.85,903.44
593.983,903.78
594.116,900.98
594.249,904.24
594.383,905.1
594.516,904.1
594.649,904.86
594.782,904.64
594.916,904.28
595.049,904.86
595.182,906.3
595.315,907.44
595.449,908.04
595.582,907.7
595.715,907.42
595.848,907.88
595.981,908.88
596.115,907.42
596.248,908.6
596.381,907.74
596.514,909.66
596.647,910.08
596.78,910.74
596.914,911.32
597.047,910.48
597.18,911.2
597.313,912.6
597.446,912.74
597.579,914.6
597.712,913.84
597.846,911.46
597.979,915.26
598.112,914.94
598.245,912.56
598.378,915.02
598.511,914.14
598.644,916.38
598.777,915.22
598.91,916.86
599.043,916.0
599.177,918.02
599.31,919.02
599.443,919.12
599.576,919.24
599.709,920.7
599.842,920.16
599.975,921.28
600.108,920.24
600.241,920.54
600.374,919.34
600.507,920.06
600.64,922.86
600.773,922.5
600.906,921.98
601.039,923.42
601.172,922.26
601.305,922.86
601.438,923.02
601.571,921.48
601.704,925.24
601.837,923.82
601.97,924.28
602.103,923.68
